,orig
2018-10-31,0.354
2018-11-01,0.549
2018-11-02,0.501
2018-11-03,0.575
2018-11-04,0.43
2018-11-05,0.377
2018-11-06,0.376
2018-11-07,0.386
2018-11-08,0.38
2018-11-09,0.425
2018-11-10,0.787
2018-11-11,0.775
2018-11-12,0.913
2018-11-13,0.748
2018-11-14,0.574
2018-11-15,0.469
2018-11-16,0.427
2018-11-17,0.41
2018-11-18,0.404
2018-11-19,0.413
2018-11-20,0.493
2018-11-21,0.445
2018-11-22,0.425
2018-11-23,0.398
2018-11-24,0.383
2018-11-25,0.374
2018-11-26,0.369
2018-11-27,0.44
2018-11-28,0.482
2018-11-29,0.577
2018-11-30,0.588
2018-12-01,0.596
2018-12-02,0.549
2018-12-03,0.601
2018-12-04,0.559
2018-12-05,0.569
2018-12-06,0.588
2018-12-07,0.745
2018-12-08,0.804
2018-12-09,0.84
2018-12-10,0.68
2018-12-11,0.56
2018-12-12,0.504
2018-12-13,0.478
2018-12-14,0.501
2018-12-15,0.592
2018-12-16,0.626
2018-12-17,0.734
2018-12-18,0.739
2018-12-19,0.705
2018-12-20,0.772
2018-12-21,0.857
2018-12-22,1.07
2018-12-23,1.32
2018-12-24,1.22
2018-12-25,1.1
2018-12-26,0.918
2018-12-27,0.77
2018-12-28,0.684
2018-12-29,0.628
2018-12-30,0.585
2018-12-31,0.557
2019-01-01,0.538
2019-01-02,0.508
2019-01-03,0.5
2019-01-04,0.487
2019-01-05,0.474
2019-01-06,0.476
2019-01-07,0.473
2019-01-08,0.461
2019-01-09,0.457
2019-01-10,0.444
2019-01-11,0.443
2019-01-12,0.442
2019-01-13,0.422
2019-01-14,0.432
2019-01-15,0.426
2019-01-16,0.481
2019-01-17,0.474
2019-01-18,0.452
2019-01-19,0.432
2019-01-20,0.423
2019-01-21,0.436
2019-01-22,0.473
2019-01-23,0.49
2019-01-24,0.449
2019-01-25,0.446
2019-01-26,0.564
2019-01-27,0.542
2019-01-28,0.572
2019-01-29,0.687
2019-01-30,0.65
2019-01-31,0.636
2019-02-01,0.702
2019-02-02,0.666
2019-02-03,0.618
2019-02-04,0.692
2019-02-05,0.87
2019-02-06,1.06
2019-02-07,1.08
2019-02-08,1.36
2019-02-09,1.16
2019-02-10,1.02
2019-02-11,0.934
2019-02-12,0.965
2019-02-13,0.792
2019-02-14,0.698
2019-02-15,0.626
2019-02-16,0.607
2019-02-17,0.587
2019-02-18,0.572
2019-02-19,0.554
2019-02-20,0.53
2019-02-21,0.519
2019-02-22,0.504
2019-02-23,0.494
2019-02-24,0.488
2019-02-25,0.474
2019-02-26,0.47
2019-02-27,0.467
2019-02-28,0.524
2019-03-01,0.519
2019-03-02,0.484
2019-03-03,0.563
2019-03-04,0.603
2019-03-05,0.562
2019-03-06,0.561
2019-03-07,0.589
2019-03-08,0.6
2019-03-09,0.69
2019-03-10,0.902
2019-03-11,1.24
2019-03-12,1.12
2019-03-13,1.14
2019-03-14,1.31
2019-03-15,1.15
2019-03-16,1.21
2019-03-17,1.37
2019-03-18,1.18
2019-03-19,0.914
2019-03-20,0.779
2019-03-21,0.715
2019-03-22,0.679
2019-03-23,0.648
2019-03-24,0.608
2019-03-25,0.577
2019-03-26,0.555
2019-03-27,0.54
2019-03-28,0.531
2019-03-29,0.52
2019-03-30,0.518
2019-03-31,0.503
2019-04-01,0.492
2019-04-02,0.506
2019-04-03,0.507
2019-04-04,0.493
2019-04-05,0.483
2019-04-06,0.47
2019-04-07,0.465
2019-04-08,0.457
2019-04-09,0.536
2019-04-10,0.442
2019-04-11,0.428
2019-04-12,0.427
2019-04-13,0.439
2019-04-14,0.425
2019-04-15,0.423
2019-04-16,0.411
2019-04-17,0.398
2019-04-18,0.403
2019-04-19,0.401
2019-04-20,0.387
2019-04-21,0.379
2019-04-22,0.358
2019-04-23,0.373
2019-04-24,0.371
2019-04-25,0.369
2019-04-26,0.359
2019-04-27,0.354
2019-04-28,0.35
2019-04-29,0.352
2019-04-30,0.345
2019-05-01,0.343
2019-05-02,0.341
2019-05-03,0.346
2019-05-04,0.365
2019-05-05,0.35
2019-05-06,0.34
2019-05-07,0.351
2019-05-08,0.486
2019-05-09,0.82
2019-05-10,0.566
2019-05-11,0.484
2019-05-12,0.432
2019-05-13,0.387
2019-05-14,0.357
2019-05-15,0.349
2019-05-16,0.339
2019-05-17,0.35
2019-05-18,0.35
2019-05-19,0.361
2019-05-20,0.386
2019-05-21,0.354
2019-05-22,0.331
2019-05-23,0.293
2019-05-24,0.28
2019-05-25,0.272
2019-05-26,0.285
2019-05-27,0.289
2019-05-28,0.292
2019-05-29,0.291
2019-05-30,0.283
2019-05-31,0.273
2019-06-01,0.263
2019-06-02,0.255
2019-06-03,0.245
2019-06-04,0.274
2019-06-05,0.288
2019-06-06,0.282
2019-06-07,0.331
2019-06-08,0.296
2019-06-09,0.332
2019-06-10,0.604
2019-06-11,0.489
2019-06-12,0.745
2019-06-13,0.578
2019-06-14,0.555
2019-06-15,0.59
2019-06-16,0.506
2019-06-17,0.433
2019-06-18,0.401
2019-06-19,0.431
2019-06-20,0.423
2019-06-21,0.507
2019-06-22,0.438
2019-06-23,0.33
2019-06-24,0.37799999999999995
2019-06-25,0.499
2019-06-26,0.435
2019-06-27,0.486
2019-06-28,0.391
2019-06-29,0.306
2019-06-30,0.276
2019-07-01,0.26
2019-07-02,0.253
2019-07-03,0.242
2019-07-04,0.23199999999999998
2019-07-05,0.226
2019-07-06,0.225
2019-07-07,0.222
2019-07-08,0.222
2019-07-09,0.226
2019-07-10,0.225
2019-07-11,0.223
2019-07-12,0.224
2019-07-13,0.222
2019-07-14,0.227
2019-07-15,0.229
2019-07-16,0.233
2019-07-17,0.234
2019-07-18,0.237
2019-07-19,0.325
2019-07-20,0.354
2019-07-21,0.286
2019-07-22,0.356
2019-07-23,0.297
2019-07-24,0.244
2019-07-25,0.23
2019-07-26,0.243
2019-07-27,0.258
2019-07-28,0.279
2019-07-29,0.276
2019-07-30,0.333
2019-07-31,0.311
