,54110
2018-08-20,30.5
2018-08-21,30.0
2018-08-22,29.9
2018-08-23,32.8
2018-08-24,33.9
2018-08-25,33.4
2018-08-26,33.1
2018-08-27,37.5
2018-08-28,40.3
2018-08-29,37.2
2018-08-30,33.5
2018-08-31,30.6
2018-09-01,29.7
2018-09-02,28.0
2018-09-03,28.4
2018-09-04,29.7
2018-09-05,29.5
2018-09-06,29.8
2018-09-07,30.2
2018-09-08,30.1
2018-09-09,28.5
2018-09-10,27.6
2018-09-11,30.0
2018-09-12,32.0
2018-09-13,39.9
2018-09-14,35.4
2018-09-15,31.6
2018-09-16,36.9
2018-09-17,36.6
2018-09-18,36.2
2018-09-19,35.0
2018-09-20,53.1
2018-09-21,90.4
2018-09-22,135.0
2018-09-23,147.0
2018-09-24,96.5
2018-09-25,68.2
2018-09-26,53.1
2019-02-14,179.0
2019-02-15,147.0
2019-02-16,119.0
2019-02-17,102.0
2019-02-18,93.3
2019-02-19,86.8
2019-02-20,80.9
2019-02-21,74.8
2019-02-22,70.7
2019-02-23,70.0
2019-02-24,64.1
2019-02-25,60.2
2019-02-26,58.4
2019-02-27,57.1
2019-02-28,56.4
2019-03-01,58.8
2019-03-02,58.6
2019-03-03,58.5
2019-03-04,62.9
2019-03-05,80.8
2019-03-06,144.0
2019-03-07,211.0
2019-03-08,208.0
2019-03-09,202.0
2019-03-10,208.0
2019-03-11,234.0
2019-04-15,61.7
2019-04-17,55.8
2019-04-19,48.6
2019-04-21,43.0
2019-04-22,42.3
2019-04-23,41.1
2019-04-24,43.2
2019-04-25,47.0
2019-04-26,47.0
2019-04-28,60.9
2019-04-29,137.0
2019-04-30,111.0
2019-05-01,74.4
2019-05-02,64.0
2019-05-03,62.5
2019-05-06,47.7
2019-05-07,45.1
2019-05-08,55.2
2019-05-09,72.9
2019-05-10,93.7
2019-05-11,106.0
2019-05-12,93.3
2019-05-13,71.6
2019-05-14,58.2
2019-05-15,51.2
2019-05-16,47.2
2019-05-17,40.6
2019-05-18,41.1
2019-05-19,39.9
2019-05-20,39.6
2019-05-21,39.1
2019-05-22,37.7
2019-05-23,34.9
2019-05-24,32.5
2019-05-25,29.7
2019-05-26,28.6
2019-05-27,28.7
2019-05-28,28.1
2019-05-29,28.5
2019-05-30,29.2
2019-05-31,28.4
2019-06-01,30.0
2019-06-02,30.2
2019-06-03,28.3
2019-06-04,28.6
2019-06-05,31.0
2019-06-06,31.8
2019-06-07,41.0
2019-06-08,54.9
2019-06-09,66.5
2019-06-10,77.8
2019-06-11,90.1
2019-06-12,196.0
2019-06-13,363.0
2019-06-14,402.0
2019-06-15,414.0
2019-06-16,414.0
2019-06-17,390.0
2019-06-18,318.0
2019-06-19,252.0
2019-06-20,212.0
2019-06-21,163.0
2019-06-22,120.0
2019-06-23,91.8
2019-06-24,77.1
2019-06-25,104.0
2019-06-26,158.0
2019-06-27,138.0
2019-06-28,101.0
2019-06-29,76.6
2019-06-30,63.0
2019-07-01,55.1
2019-07-02,50.3
2019-07-03,46.8
2019-07-04,43.7
2019-07-05,40.2
2019-07-06,37.4
2019-07-07,36.8
2019-07-08,36.3
2019-07-09,34.2
2019-07-10,33.1
2019-07-11,32.4
2019-07-12,32.3
2019-07-13,30.5
2019-07-14,29.0
2019-07-15,28.5
2019-07-16,28.6
2019-07-17,26.9
2019-07-18,26.2
2019-07-19,29.2
2019-07-20,32.8
2019-07-21,33.1
2019-07-22,30.8
2019-07-23,30.6
2019-07-24,35.1
2019-07-25,34.8
2019-07-26,30.3
2019-07-27,30.1
2019-07-28,31.6
2019-07-29,31.9
2019-07-30,40.3
2019-07-31,61.6
2019-08-01,49.8
2019-08-02,38.6
2019-08-03,31.7
2019-08-04,29.8
2019-08-05,27.2
2019-08-06,27.0
2019-08-07,26.1
2019-08-08,29.6
2019-08-09,56.3
2019-08-10,67.4
2019-08-11,77.5
2019-08-12,81.3
2019-08-13,69.1
2019-08-14,60.5
2019-08-15,68.5
2019-08-16,74.0
2019-08-17,82.3
2019-08-18,114.0
2019-08-19,108.0
2019-08-20,82.3
2019-08-21,74.5
2019-08-22,63.1
2019-08-23,56.4
2019-08-24,53.7
2019-08-25,45.1
2019-08-26,37.1
2019-08-27,34.4
2019-08-28,34.5
2019-08-29,36.4
2019-08-30,33.5
2019-08-31,29.6
2019-09-01,27.9
2019-09-02,25.4
2019-09-03,25.7
2019-09-04,25.5
2019-09-05,26.5
2019-09-06,31.0
2019-09-07,28.4
2019-09-08,29.3
2019-09-09,31.8
2019-09-10,30.6
2019-09-11,35.1
2019-09-12,33.6
2019-09-13,35.7
2019-09-14,34.1
2019-09-15,34.9
2019-09-16,30.0
2019-09-17,27.4
2019-09-18,27.4
2019-09-19,27.3
2019-09-20,25.3
2019-09-21,29.0
2019-09-22,35.7
2019-09-23,38.3
2019-09-24,67.1
2019-09-25,105.0
2019-09-26,104.0
2019-09-27,88.4
2019-09-28,120.0
2019-09-29,231.0
2019-09-30,294.0
2019-10-01,332.0
2019-10-02,359.0
2019-10-03,344.0
2019-10-04,331.0
2019-10-05,282.0
2019-10-06,261.0
2019-10-07,249.0
2019-10-08,215.0
2019-10-09,182.0
2019-10-10,145.0
2019-10-11,150.0
2019-10-12,189.0
2019-10-13,238.0
2019-10-14,250.0
2019-10-15,262.0
2019-10-16,241.0
2019-10-17,213.0
2019-10-18,213.0
2019-10-19,241.0
2019-10-20,222.0
2019-10-21,214.0
2019-10-22,172.0
2019-10-23,132.0
2019-10-24,117.0
2019-10-25,116.0
2019-10-26,349.0
2019-11-04,357.0
2019-11-05,325.0
2019-11-06,289.0
2019-11-07,271.0
2019-11-08,294.0
2019-11-09,326.0
2019-11-10,395.0
2019-11-11,432.0
2019-11-12,450.0
2019-11-13,422.0
2019-11-14,411.0
