,orig
2019-04-03,0.157
2019-04-04,0.168
2019-04-05,0.15
2019-04-06,0.143
2019-04-07,0.141
2019-04-08,0.139
2019-04-09,0.161
2019-04-10,0.145
2019-04-11,0.137
2019-04-12,0.129
2019-04-13,0.124
2019-04-14,0.119
2019-04-15,0.118
2019-04-16,0.118
2019-04-17,0.115
2019-04-18,0.12
2019-04-19,0.124
2019-04-20,0.123
2019-04-21,0.123
2019-04-22,0.124
2019-04-23,0.122
2019-04-24,0.121
2019-04-25,0.118
2019-04-26,0.116
2019-04-27,0.121
2019-04-28,0.121
2019-04-29,0.12
2019-04-30,0.122
2019-05-01,0.122
2019-05-02,0.121
2019-05-03,0.121
2019-05-04,0.129
2019-05-05,0.128
2019-05-06,0.137
2019-05-07,0.136
2019-05-08,0.31
2019-05-09,0.2
2019-05-10,0.17
2019-05-11,0.156
2019-05-12,0.149
2019-05-13,0.147
2019-05-14,0.145
2019-05-15,0.143
2019-05-16,0.142
2019-05-17,0.147
2019-05-18,0.145
2019-05-19,0.143
2019-05-20,0.131
2019-05-21,0.119
2019-05-22,0.116
2019-05-23,0.115
2019-05-24,0.115
2019-05-25,0.114
2019-05-26,0.115
2019-05-27,0.113
2019-05-28,0.131
2019-05-29,0.134
2019-05-30,0.133
2019-05-31,0.137
2019-06-01,0.161
2019-06-02,0.164
2019-06-03,0.162
2019-06-04,0.175
2019-06-05,0.166
2019-06-06,0.156
2019-06-07,0.172
2019-06-08,0.178
2019-06-09,0.161
2019-06-10,0.598
2019-06-11,0.232
2019-06-12,0.935
2019-06-13,0.292
2019-06-14,0.209
2019-06-15,0.194
2019-06-16,0.194
2019-06-17,0.178
2019-06-18,0.173
2019-06-19,0.202
2019-06-20,0.154
2019-06-21,0.144
2019-06-22,0.14
2019-06-23,0.152
2019-06-24,0.25
2019-06-25,0.375
2019-06-26,0.198
2019-06-27,0.186
2019-06-28,0.183
2019-06-29,0.18
2019-06-30,0.177
2019-07-01,0.163
2019-07-02,0.097
2019-07-03,0.07
2019-07-04,0.051
2019-07-05,0.048
2019-07-06,0.049
2019-07-07,0.057
2019-07-08,0.059
2019-07-09,0.057
2019-07-10,0.067
2019-07-11,0.069
2019-07-12,0.071
2019-07-13,0.067
2019-07-14,0.068
2019-07-15,0.06
2019-07-16,0.059
2019-07-17,0.061
2019-07-18,0.076
2019-07-19,0.146
2019-07-20,0.148
2019-07-21,0.062
2019-07-22,0.066
2019-07-23,0.062
2019-07-24,0.061
2019-07-25,0.063
2019-07-26,0.088
2019-07-27,0.397
2019-07-28,0.117
2019-07-29,0.109
2019-07-30,0.106
2019-07-31,0.1
2019-08-01,0.11
2019-08-02,0.151
2019-08-03,0.15
2019-08-04,0.154
2019-08-05,0.18
2019-08-06,0.175
2019-08-07,0.19
2019-08-08,0.2
2019-08-09,0.237
2019-08-10,0.247
2019-08-11,0.245
2019-08-12,0.31
2019-08-13,0.267
2019-08-14,0.301
2019-08-15,0.298
2019-08-16,0.268
2019-08-17,0.337
2019-08-18,0.276
2019-08-19,0.241
2019-08-20,0.236
2019-08-21,0.226
2019-08-22,0.237
2019-08-23,0.259
2019-08-24,0.257
2019-08-25,0.053
2019-08-26,0.216
2019-08-27,0.214
2019-08-28,0.055999999999999994
2019-08-29,0.054
2019-08-30,0.076
2019-08-31,0.096
2019-09-01,0.1
2019-09-02,0.096
2019-09-03,0.091
2019-09-04,0.059
2019-09-05,0.051
2019-09-06,0.051
2019-09-07,0.051
2019-09-08,0.05
2019-09-09,0.052000000000000005
2019-09-10,0.052
2019-09-11,0.052000000000000005
2019-09-12,0.052000000000000005
2019-09-13,0.05
2019-09-14,0.05
2019-09-15,0.05
2019-09-16,0.051
2019-09-17,0.05
2019-09-18,0.053
2019-09-19,0.049
2019-09-20,0.051
2019-09-21,0.036
2019-09-22,0.015
2019-09-23,0.014
2019-09-24,0.05
2019-09-25,0.038
2019-09-26,0.059
2019-09-27,0.05
2019-09-28,0.019
2019-09-29,0.161
2019-09-30,0.083
2019-10-01,0.11699999999999999
2019-10-02,0.040999999999999995
2019-10-03,0.02
2019-10-04,0.027000000000000003
2019-10-05,0.023
2019-10-06,0.107
2019-10-07,0.066
2019-10-08,0.094
2019-10-09,0.051
2019-10-10,0.036
2019-10-11,0.091
2019-10-12,0.25
2019-10-13,0.243
2019-10-14,0.534
2019-10-15,0.553
2019-10-16,1.04
2019-10-17,0.427
2019-10-18,3.51
2019-10-19,1.69
2019-10-20,0.45299999999999996
2019-10-21,1.17
2019-10-22,0.452
2019-10-23,0.336
2019-10-24,0.291
2019-10-25,0.26
2019-10-26,0.552
2019-10-27,0.348
2019-10-28,0.228
2019-10-29,0.209
2019-10-30,0.17
2019-10-31,0.148
2019-11-01,0.32
2019-11-02,5.15
2019-11-03,1.24
2019-11-04,1.66
2019-11-05,1.04
2019-11-06,0.92
2019-11-07,1.47
2019-11-08,0.507
2019-11-09,1.52
2019-11-10,0.8009999999999999
2019-11-11,1.81
2019-11-12,0.537
2019-11-13,0.816
2019-11-14,1.99
2019-11-15,1.48
2019-11-16,0.662
