,34010,nn_m,nn_std,orig
1968-04-04,0.498,0.460564546613046,0.01838751445072231,0.498
1968-04-05,0.445,0.4387715930713084,0.010956500333568212,0.445
1968-04-06,0.436,0.3969171022455265,0.010702604758186192,0.436
1968-04-07,0.4,0.3992325869099625,0.011386363454320337,0.4
1968-04-08,0.289,0.37063835496483627,0.012325730029061548,0.289
1968-04-09,0.265,0.2655148741545284,0.0077813198031157545,0.265
1968-04-10,0.254,0.26879801031104783,0.007080599714324959,0.254
1968-04-11,0.254,0.2444739637836709,0.004772200848202745,0.254
1968-04-12,0.25,0.25476793587247665,0.003903330152991611,0.25
1968-04-13,0.246,0.25395421933806106,0.004621495148986601,0.246
1968-04-14,0.24,0.2404113216043273,0.004060195720934699,0.24
1968-04-15,0.232,0.23578957495936456,0.003588800688458837,0.232
1968-04-16,0.24,0.2358686713422346,0.0034862166006962305,0.24
1968-04-17,0.298,0.2959902348656011,0.005720693128437746,0.298
1968-04-18,0.362,0.3875433633880165,0.01342935795356754,0.362
1968-04-19,0.295,0.3290077347222489,0.011156500723122869,0.295
1968-04-20,0.264,0.2693233510026714,0.00848246406102237,0.264
1968-04-21,0.25,0.2569517902797181,0.008280650949730123,0.25
1968-04-22,0.248,0.2400221331428619,0.0056299132575439465,0.248
1968-04-23,0.245,0.2474041369134172,0.005351274947102592,0.245
1968-04-24,0.234,0.2396288892541789,0.00442352603008673,0.234
1968-04-25,0.256,0.22823662094580785,0.0027222847587655627,0.256
1968-04-26,0.245,0.2472603961604535,0.0039044320256052148,0.245
1968-04-27,0.227,0.24579490795101644,0.0037514756125400016,0.227
1968-04-28,0.199,0.2268508152235187,0.003057766315212963,0.199
1968-04-29,0.206,0.19876321340667974,0.005525701768805468,0.206
1968-04-30,0.224,0.22206033737212846,0.005486628158267842,0.224
1968-05-01,0.223,0.2401079121881444,0.005610530748304378,0.223
1968-05-02,0.218,0.216087159712844,0.008075732935846475,0.218
1968-05-03,0.218,0.28800544706498005,0.007866564832619655,0.218
1968-05-04,0.316,0.4207261125923705,0.022738172785646268,0.316
1968-05-05,0.461,0.2589256752077453,0.03324287266147598,0.461
1968-05-06,0.33,0.5052344348276504,0.03424870050284897,0.33
1968-05-07,0.294,0.2821680941934437,0.025987665702725617,0.294
1968-05-08,0.275,0.2329649053152384,0.02197722984481008,0.275
1968-05-09,0.256,0.2955588074371825,0.02363492384226587,0.256
1968-05-10,0.245,0.24796838229897986,0.016718914325792127,0.245
1968-05-11,0.26,0.22858133246494824,0.014582924967037869,0.26
1968-05-12,0.227,0.2653070287450921,0.013465785290743488,0.227
1968-05-13,0.26,0.23800807613395164,0.008812838109067517,0.26
1968-05-14,0.227,0.2581355969096602,0.010426393268276182,0.227
1968-05-15,0.223,0.2777460376512729,0.007510805825142681,0.223
1968-05-16,0.227,0.1969396574097661,0.012726306541911895,0.227
1968-05-17,0.215,0.21669421931059368,0.013641096367238731,0.215
1968-05-18,0.199,0.20663439989883664,0.007577072059206378,0.199
1968-05-19,0.192,0.19391048276925416,0.005095039202316289,0.192
1968-05-20,0.195,0.18904752304976286,0.003115278469096737,0.195
1968-05-21,0.195,0.19625600559904893,0.0036749189780494844,0.195
1968-05-22,0.192,0.18930956914794225,0.003218941822490451,0.192
1968-05-23,0.18600000000000005,0.18537199834928886,0.0030421204643004047,0.18600000000000005
1968-05-24,0.175,0.18520376962024704,0.003660147119743129,0.175
1968-05-25,0.175,0.17704128858986876,0.0033485519156237838,0.175
1968-05-26,0.179,0.17372508053655436,0.0039003627919766953,0.179
1968-05-27,0.182,0.17604698099310276,0.004701237200644639,0.182
1968-05-28,0.175,0.1787693752401259,0.002337275321541619,0.175
1968-05-29,0.166,0.17787586622540685,0.00273791045797357,0.166
1968-05-30,0.172,0.16170897704486964,0.002899098401703706,0.172
1968-05-31,0.166,0.1671482651498409,0.002791335242993092,0.166
1968-06-01,0.15,0.16250405702365706,0.005745321054343918,0.15
1968-06-02,0.141,0.13985812957212074,0.005726069803669309,0.141
1968-06-03,0.135,0.1399195503014042,0.002487457711480053,0.135
1968-06-04,0.129,0.14369510157704954,0.002791403689163494,0.129
1968-06-05,0.132,0.14671964454145595,0.00424721938666087,0.132
1968-06-06,0.135,0.1643911631163638,0.006381696439593499,0.135
1968-06-07,0.138,0.13652872620635512,0.0079527693094786,0.138
1968-06-08,0.138,0.15045010003104342,0.005809358938961193,0.138
1968-06-09,0.147,0.13366816591038047,0.008188612645127026,0.147
1968-06-10,0.141,0.12568178253931347,0.0075194753309291654,0.141
