,orig
2019-04-15,29.3
2019-04-16,27.6
2019-04-17,28.8
2019-04-19,21.9
2019-04-20,19.0
2019-04-21,19.6
2019-04-22,21.0
2019-04-23,19.0
2019-04-24,16.1
2019-04-25,16.3
2019-04-27,18.8
2019-04-28,21.2
2019-04-30,16.8
2019-05-01,19.0
2019-05-02,15.2
2019-05-03,14.8
2019-05-04,14.2
2019-05-05,11.5
2019-05-06,12.8
2019-05-07,15.1
2019-05-08,14.8
2019-05-09,18.1
2019-05-10,32.3
2019-05-11,30.3
2019-05-12,20.6
2019-05-13,12.1
2019-05-14,20.0
2019-05-15,16.1
2019-05-16,12.5
2019-05-17,10.8
2019-05-18,13.3
2019-05-19,13.9
