,39001,nn_m,nn_std,orig
1994-06-27,27.5,26.09527564420712,0.5825355012037612,27.5
1994-06-28,25.8,25.101824427673375,0.5186536163420559,25.8
1994-06-29,20.3,23.981416041669178,0.4523274353083818,20.3
1994-06-30,13.2,19.694219822178773,0.3886597973724144,13.2
1996-06-04,14.0,12.956804769054203,0.38875357788377374,14.0
1996-06-05,14.5,13.029894210432964,0.4304010947550894,14.5
1996-08-15,4.35,4.495465333214912,0.2663330473213551,4.35
1996-08-16,7.02,4.610902495394409,0.2211543412782098,7.02
1996-08-25,7.0,10.039456091975252,1.1863176021868074,7.0
1996-08-26,6.13,7.946837965851243,0.4480590181005189,6.13
1996-08-27,12.4,6.704461663541526,0.5699359642154268,12.4
1996-08-28,20.5,10.699585048309148,0.8512799751766097,20.5
1996-08-29,20.0,17.13259716995377,0.8701390343510687,20.0
1996-08-30,7.66,17.09371962054234,0.6993031266562341,7.66
1996-08-31,9.47,8.982641343863444,0.4920481381613885,9.47
1996-09-13,3.64,3.8290186299777456,0.3216390315730958,3.64
1996-09-14,4.38,3.9963029083361112,0.2382383956077725,4.38
1996-09-21,4.14,4.266363921651628,0.3504494326403863,4.14
1996-09-22,4.12,4.1411825842954055,0.27251816108425725,4.12
1996-09-23,3.75,4.221034927761632,0.24277215349476786,3.75
1996-09-24,4.87,4.453958802580495,0.22075370060800295,4.87
1996-09-25,5.95,4.834562975407656,0.26895178205185577,5.95
1996-09-26,3.92,5.366297000425601,0.26233656559655644,3.92
1996-10-01,11.1,5.507295123376099,0.7355927342375985,11.1
1996-10-02,5.5,8.683468464162798,0.3084353006821404,5.5
1996-10-03,3.62,4.886059211426941,0.6179838249767126,3.62
1996-10-04,4.61,3.8502271871620257,0.3687496654166608,4.61
1996-10-05,4.32,4.905107984363712,0.27435878169773953,4.32
1996-10-06,5.99,4.4395099288183015,0.22601215302506894,5.99
1996-10-07,22.2,5.473903227347572,0.2596315729283112,22.2
1996-10-08,20.1,18.213690933043328,0.5667628325659352,20.1
1996-10-09,10.8,21.109989597841352,0.7172760891342499,10.8
1996-10-10,7.91,11.867885914439794,0.7571170466743713,7.91
1996-10-11,4.05,6.896850884171418,0.5179385984253674,4.05
1996-10-12,3.79,4.237340059826187,0.3525362731469079,3.79
1996-10-13,3.94,4.119064538160342,0.2778689910354502,3.94
1996-10-14,4.42,4.504795297716225,0.3486144100415637,4.42
1996-10-15,4.91,4.604232285733153,0.5104075639460075,4.91
1996-10-16,4.6,5.051627236228758,0.3312381384813925,4.6
1996-10-17,7.51,4.825934886101456,0.2809400553841757,7.51
1996-10-18,5.34,8.196289784099205,0.5023720186820048,5.34
1996-10-19,5.09,7.311151683795563,0.8082975771771095,5.09
1996-10-20,5.67,5.602847222352464,0.274407876502434,5.67
1996-10-21,12.0,5.436199254300021,0.5716758555736086,12.0
1996-10-22,4.47,9.409207483743554,0.3794830644682212,4.47
1996-10-23,4.24,5.4744180436224505,0.4794770492466188,4.24
1996-10-24,5.54,4.6076498322516155,0.4110360174605087,5.54
1996-10-25,3.65,5.117112703159757,0.931089022807818,3.65
1996-10-26,4.11,3.8583584262189388,1.3093967330701444,4.11
1996-10-27,4.52,7.136063140348637,1.185499384987179,4.52
1996-10-28,4.82,7.5527690096039555,0.8479800980850767,4.82
1996-10-29,5.03,5.150081363919941,0.6757432004046591,5.03
1996-10-30,5.14,4.945145726491372,0.4645844813816059,5.14
1996-10-31,7.14,5.849036933552308,0.5716956602160215,7.14
1996-11-01,9.61,6.948639623162576,0.4099048445579267,9.61
1996-11-02,4.59,8.793770346440954,0.16838445361049714,4.59
