,47019,nn_m,nn_std
2002-11-05,17.2,19.084394961262767,0.536672352299547
2002-11-06,33.0,35.386600001943854,1.2295848606495146
2002-11-07,20.8,19.51658973231392,0.4111959019299824
2002-11-08,56.6,55.60983427560653,0.8748169411249722
2002-11-09,34.4,34.883998797525145,0.6693965770466381
2002-11-10,46.5,46.22823127536091,0.6123742254683058
2002-11-11,28.2,28.40667782968705,0.458923342289926
2002-11-12,27.1,27.883007550487626,0.4235807435222419
2002-11-13,58.2,58.75560291888887,1.1469883487789407
2002-11-14,88.8,86.61171693975778,0.7112818663134478
2002-11-15,30.2,31.157638600339542,0.37795429972020456
2002-11-16,19.7,19.94478848797373,0.6404465002271933
2002-11-17,15.5,14.95673426822404,0.4427975362343299
2002-11-18,12.6,11.898587103694375,0.23857074787687227
2002-11-19,17.9,16.889852318939518,0.21509453590452512
2002-11-20,40.9,38.62590894810315,0.8352684519687334
2002-11-21,49.9,50.571506699076274,0.7481935223585292
2002-11-22,49.7,46.84875851692345,1.7151471043402224
2002-11-23,46.3,44.562240317751474,0.7859417807363026
2002-11-24,26.1,26.596185635696553,0.28294576620191
2002-11-25,19.1,18.62384735849064,0.323772934054754
2002-11-26,19.0,16.596989683708433,0.19629957643643503
2002-11-27,64.5,64.07851539565152,0.8574189602122498
2002-11-28,33.8,31.578153740569128,0.7670724144770802
2002-11-29,23.4,22.614567906297374,0.29075151944953176
2002-11-30,21.9,20.79194597331629,0.340068752056435
2002-12-01,26.1,24.787870245883592,0.27816388178544904
2002-12-02,19.7,17.95027120099364,0.2672130391042193
2002-12-03,13.8,13.069922015210006,0.24574469707917945
2002-12-04,13.7,13.353592625081637,0.1453172210419033
2002-12-05,11.3,10.52267555234033,0.1750087277285427
2002-12-06,9.65,8.86477362411981,0.23976749169209205
2002-12-07,8.62,8.034270682846344,0.15217325510895816
2002-12-08,7.54,7.158663685298649,0.21850477371250393
2002-12-09,6.79,6.385298888895253,0.17078063477611438
2002-12-10,6.03,5.694251585608534,0.2004179992786884
2002-12-11,5.51,5.181005141829907,0.18797842570949425
2002-12-12,6.04,5.4896987284145755,0.2750701424928992
2002-12-13,5.84,5.704520698013398,0.27545232725139707
2002-12-14,6.78,7.06987753971934,0.604819557158154
2002-12-15,21.2,18.364516500707314,0.7322005913911167
2002-12-16,10.5,9.590357899330977,0.669772131576731
2002-12-17,8.04,7.904116290672377,0.37460476607695514
2002-12-18,6.86,6.630205787832209,0.23661809068098266
2002-12-19,6.3,6.025009145381631,0.16592015686862538
2002-12-20,14.1,13.357175708338316,0.5018480347616842
2002-12-21,35.1,36.2640559021852,0.4198721808402437
2002-12-22,32.7,35.36603954410745,0.7190244839799748
2002-12-23,22.1,23.659159640886088,0.5236794348737651
2002-12-24,20.7,21.279786576718998,0.4718022731804435
2002-12-25,30.7,28.96034775278176,0.3083585329214341
2002-12-26,75.6,72.72881080881838,0.8133628498971879
2002-12-27,41.9,41.45030628397658,0.4096604499776684
2002-12-28,30.4,30.45015784059945,0.37961494704751
2002-12-29,76.2,74.5167040217874,1.272106691844633
2002-12-30,52.6,47.981181912995325,0.605790338286326
