,23011,nn_m,nn_std
1992-03-04,1.16,1.0574237791870555,0.10599136452163051
1992-03-05,0.924,1.0806533933411562,0.11536073762999957
1992-03-06,1.19,1.1938942896149967,0.13308416169846715
1992-03-07,2.05,1.2169509907711424,0.12521681722221215
1992-03-08,1.16,1.3236686917933325,0.0861934496668457
1992-03-09,5.22,4.334364955503222,0.1413458016141751
1992-03-10,4.06,5.1358713167101735,0.31304937199596466
1992-03-11,3.72,3.2730344536539246,0.229147447732462
1992-03-12,3.91,4.631245632077227,0.3772165560119231
1992-03-13,1.85,1.9503421804256962,0.18817605693888567
1992-03-14,1.22,0.9980739684582385,0.12088953746813509
1992-03-15,1.01,0.9725372578267177,0.09326862864337658
1992-03-16,1.11,0.8543840399116016,0.06709718279502445
1992-03-17,0.917,0.9367052067263226,0.03801574330728138
1992-03-18,1.81,1.5011742274736684,0.20002379665692363
1992-03-19,1.53,1.8294816297147838,0.1420428509171042
1992-03-20,2.03,1.9362717461472656,0.1117308441348614
1992-03-21,2.2,2.247544894557804,0.10140951029510464
1992-03-22,1.28,1.371209142101867,0.12474443961394309
1992-03-23,1.52,1.4381519579891662,0.1577263872286735
1992-03-24,2.62,1.925883073368238,0.1999097777210822
1992-03-25,1.76,1.6046511938971457,0.10323942606834956
1992-03-26,1.49,1.5911208351512212,0.1330397997168057
1992-03-27,1.06,1.1883347962542512,0.0828478809164863
1992-03-28,0.9,0.8711664168093486,0.0758139774054049
1992-03-29,4.71,2.6385154266976514,0.4030254890615742
1992-03-30,5.5,8.280429248993247,1.1653716208152525
1992-03-31,25.1,21.7934610159961,1.7868598095008692
1992-05-04,0.963,0.8978427710544075,0.08820046354016557
1992-05-05,0.99,0.9272489426143886,0.12965832571634392
1992-05-06,0.8640000000000001,0.7244359696128441,0.06530289855161418
1992-05-07,0.93,0.7885386664878289,0.047487776308435446
1992-05-08,0.927,0.9779631222743236,0.12997787582162018
1992-05-09,0.84,1.3025275725578473,0.08321868454663689
1992-05-10,0.748,0.8049205389460077,0.1455975379102933
1992-05-11,4.44,4.244025431256202,0.35154417075384703
1992-05-12,3.98,3.7095792794178823,0.23342117422342873
1992-05-13,1.3,1.1393108045401334,0.08682765221694155
1992-05-14,0.858,0.8266944183837284,0.1251429633206505
1992-05-15,0.6920000000000001,0.7061838259891606,0.1423869557557862
1992-05-16,0.626,0.6303888510563792,0.04714146826671075
1992-05-17,0.574,0.5506271239497726,0.028505020741341053
1992-05-18,0.532,0.5157738319669817,0.023788263829417237
1992-05-19,0.516,0.47893655852238465,0.029251424334959076
1992-05-20,3.78,5.838651601742177,0.29031646299787556
1992-05-21,4.21,3.891886559054195,0.40546033248368163
1992-05-22,1.14,1.2242987372939405,0.17665209433347315
1992-05-23,0.7979999999999999,0.8990883894419562,0.1046952675230723
1992-05-24,0.685,0.6853283273737208,0.13941551412594583
1992-05-25,0.605,0.6252625406828201,0.02916638786555006
1992-05-26,0.524,0.541537034675675,0.0314793453814486
1992-05-27,0.488,0.4765386567463921,0.030733967711431723
1992-05-28,0.4920000000000001,0.4799583917459573,0.027749429775195816
1992-05-29,0.461,0.4635340906520924,0.05591020235303772
1992-05-30,0.45299999999999996,0.37765334804930484,0.043461348343606494
1992-05-31,0.444,0.38711560667754574,0.02453152901759016
1992-06-01,0.446,0.39454704137510493,0.03383589335287188
1992-06-02,0.441,0.4347772916930357,0.06750738208498559
