,0,1,2,3,4,5,6,7,8,9
1992-03-04,1.1219167,1.1694603,1.0338235,0.9721817,0.9713676,0.90908664,0.92086375,1.2318965,1.0901418,1.1513085
1992-03-05,1.1526693,1.0490829,0.94426537,1.0907426,1.3492895,0.9539245,1.1731001,1.0572022,1.0507793,0.9791871
1992-03-06,1.2104582,1.206282,1.1053367,1.1028142,1.1190733,1.224288,1.5707619,1.1076891,1.1194115,1.1720824
1992-03-07,1.3680255,1.2892952,1.3025852,1.2925509,1.3574365,1.2466666,0.9958451,1.151739,1.0531646,1.0947995
1992-03-08,1.3020674,1.2262131,1.3353547,1.4897265,1.2437694,1.2595191,1.2474813,1.313229,1.3608612,1.4627645
1992-03-09,4.64084,4.30841,4.322131,4.34337,4.233912,4.3688335,4.4544716,4.344189,4.210987,4.090306
1992-03-10,5.677328,5.3276196,5.192065,5.5027156,4.6298275,5.0832725,5.0604568,4.692244,5.192375,4.954146
1992-03-11,2.8894675,2.8597274,3.4445467,3.3715127,3.3386924,3.2977288,3.1517622,3.5918803,3.3855677,3.4345005
1992-03-12,3.864403,4.813571,4.888106,4.299528,4.2499094,4.723244,5.2527175,4.7960086,4.7560678,4.728062
1992-03-13,2.1057222,2.1337972,2.1056206,2.0032227,1.6961583,2.1393619,1.5447373,1.930546,1.9438256,1.8842423
1992-03-14,1.0659806,0.9977963,1.021996,0.80106145,1.0329591,0.9506749,1.1774906,0.76886064,1.1064221,1.0544102
1992-03-15,0.8428023,0.98109496,1.0989873,0.8179022,0.957122,1.044485,0.87514424,1.0438206,1.0143974,1.060621
1992-03-16,0.85595155,0.6972433,0.8545341,0.932724,0.81089103,0.9105452,0.86960375,0.89196306,0.92207044,0.7994523
1992-03-17,0.93382955,0.8724731,0.96682,1.0148761,0.9016651,0.9416077,0.95387185,0.9110253,0.9119396,0.9593133
1992-03-18,1.8136543,1.3883022,1.3405535,1.8590533,1.262467,1.4366242,1.3142216,1.6721511,1.4645869,1.4381742
1992-03-19,1.5373328,1.8954612,1.852632,1.7876004,2.0253391,1.9219499,2.0156581,1.6997021,1.8291664,1.7480226
1992-03-20,2.021237,1.7693052,1.9200225,1.981888,2.1792772,1.9092494,1.8931189,2.0046594,1.8066943,1.8701301
1992-03-21,2.3909068,2.14073,2.023917,2.3490639,2.2119226,2.2703793,2.2609925,2.3078606,2.2141356,2.2983248
1992-03-22,1.2134522,1.511355,1.2377983,1.5487965,1.2268726,1.3596755,1.3434199,1.2911292,1.4696531,1.5231562
1992-03-23,1.1968869,1.5704529,1.195701,1.6997801,1.5334162,1.5407016,1.4000647,1.434475,1.5128255,1.3117678
1992-03-24,2.1779237,1.8659285,2.001852,1.7488161,2.2125027,1.8104697,2.135554,1.6502318,1.9827609,1.6500616
1992-03-25,1.4090112,1.578311,1.6015075,1.7739712,1.5824994,1.6531752,1.7214264,1.6865877,1.4993253,1.553139
1992-03-26,1.7229952,1.5866126,1.6851809,1.5401448,1.71936,1.4028895,1.3627943,1.5018249,1.7817229,1.5986638
1992-03-27,1.15509,1.1971822,1.2034893,1.1225723,1.1579405,1.214127,1.1143653,1.3188319,1.3415328,1.0607753
1992-03-28,0.72733444,0.8680542,0.80052555,1.0132982,0.8878423,0.822565,0.9435272,0.92017853,0.8757641,0.86315554
1992-03-29,2.7126775,2.8607502,2.1607575,1.9994034,3.0928953,2.6805954,3.093459,3.1356392,2.5205786,2.120595
1992-03-30,9.669703,10.702855,6.7387567,7.4818635,8.4708395,8.399491,7.197118,8.900995,7.5238347,7.5913796
1992-03-31,22.55853,24.462248,17.691929,20.70793,20.737848,21.46731,21.482523,23.511917,23.143297,22.154415
1992-05-04,0.8690389,0.73792744,0.92745775,0.8404317,0.99799716,0.96521705,0.9863739,0.9331405,0.96503633,0.7579999
1992-05-05,0.81798995,0.73990625,0.87481403,1.0633688,1.2133265,0.91555315,0.96182185,0.98346543,0.81825966,0.8914669
1992-05-06,0.76337594,0.72143817,0.6412515,0.71843415,0.8855248,0.6803147,0.67530644,0.70612645,0.6825506,0.7675732
1992-05-07,0.80305326,0.6922276,0.7943541,0.7758603,0.84338653,0.78531003,0.85197324,0.8173872,0.802582,0.7183955
1992-05-08,1.2671872,0.97550684,0.91653836,0.8617305,1.1390918,0.83793294,0.93698764,0.87362427,1.0243,0.9256627
1992-05-09,1.2215574,1.2381063,1.1547757,1.4178134,1.3926641,1.3287133,1.3666637,1.2324169,1.3041041,1.3760309
1992-05-10,0.9383167,0.72896665,0.60084105,0.7759281,0.8579392,0.91164935,0.54245114,1.0315629,0.75446635,0.9012546
1992-05-11,3.4359753,4.547869,4.4128966,4.0533543,4.050871,4.322474,4.20271,4.806425,4.264254,4.4045043
1992-05-12,3.8149374,4.077051,3.7114596,3.5723143,3.6147716,3.8863313,3.327584,3.4862638,4.0534654,3.5392544
1992-05-13,1.3163824,1.1017884,1.1314662,0.99853283,1.1742834,1.1895864,1.1714673,1.0454035,1.0666468,1.1853378
1992-05-14,0.6991831,0.6673832,0.8278041,0.919102,0.7488208,0.91008204,0.70729506,0.7623416,1.0419207,0.9974837
1992-05-15,0.5422187,0.6417905,0.9565265,0.60910594,0.55253834,0.6983991,0.6893747,0.89515257,0.8796783,0.60982424
1992-05-16,0.6252893,0.6718801,0.64458454,0.7206847,0.59691757,0.5845492,0.58674765,0.680997,0.6283357,0.5625757
1992-05-17,0.5617724,0.5780814,0.5420892,0.597144,0.5785442,0.51368356,0.5099972,0.53659314,0.52162033,0.56526536
1992-05-18,0.50913215,0.51181006,0.49539346,0.57422274,0.5289069,0.49128097,0.52208674,0.498398,0.49520487,0.53165454
1992-05-19,0.49308157,0.46858084,0.466461,0.5427666,0.46174058,0.45261034,0.47122577,0.49235082,0.43322432,0.5063457
1992-05-20,5.5829835,5.6887527,6.2436833,5.5798655,5.628124,5.996032,5.873245,6.4694533,5.6421447,5.7005887
1992-05-21,2.9973989,4.205176,4.040154,4.02654,4.3026443,4.235078,3.5846143,4.2528005,3.5150886,3.813609
1992-05-22,1.2148148,1.0121701,1.3467015,1.481549,1.4562981,1.3357128,1.2856436,1.1169204,0.9940337,0.9926754
1992-05-23,1.0442408,0.8809093,0.7780808,0.87746644,1.0199087,0.95486444,0.97694063,0.6831491,0.85496414,0.90929925
1992-05-24,0.5828615,0.618848,0.73337126,0.57544005,0.64028955,0.6650948,0.7714176,0.98779774,0.8192772,0.46705312
1992-05-25,0.6600576,0.6400348,0.6369717,0.63338184,0.56323177,0.6593221,0.60710645,0.60310364,0.6456296,0.60075766
1992-05-26,0.49443173,0.52127683,0.5232534,0.59588194,0.561561,0.5747924,0.5545842,0.52691066,0.50248206,0.5634599
1992-05-27,0.4977739,0.47596234,0.44665825,0.5233585,0.44938383,0.444759,0.4425233,0.515705,0.45776457,0.5106014
1992-05-28,0.49912137,0.46093512,0.47704452,0.5399836,0.475787,0.45592642,0.46148396,0.46959996,0.44494134,0.51345384
1992-05-29,0.53652704,0.51626194,0.38813382,0.53344184,0.42600542,0.48294812,0.40995282,0.48021728,0.37834907,0.4773665
1992-05-30,0.38507235,0.32761148,0.33824944,0.39284545,0.47012445,0.39873868,0.3643349,0.34894007,0.3270197,0.42352802
1992-05-31,0.36678904,0.37663448,0.35603237,0.390436,0.41799933,0.3782232,0.39569694,0.3868475,0.36374345,0.441108
1992-06-01,0.42063415,0.3995049,0.33849716,0.3615365,0.43376467,0.34706712,0.39270064,0.4215737,0.39041054,0.4392082
1992-06-02,0.40501785,0.40170735,0.3869394,0.41301566,0.5736042,0.5083522,0.4377742,0.32021075,0.4150484,0.48850566
1992-06-03,0.35411972,0.36422554,0.30083677,0.3780594,0.34661943,0.28292003,0.2493692,0.2721679,0.23326114,0.38886827
1992-06-04,0.40098375,0.33934832,0.27366188,0.3209855,0.43321326,0.3963717,0.42098072,0.29491913,0.42543057,0.41887262
1992-06-05,0.4211945,0.38234344,0.4223305,0.44118762,0.42775953,0.406191,0.3739703,0.38471198,0.29343748,0.34060115
1992-06-06,0.38713998,0.3331933,0.37834328,0.5221461,0.4104714,0.4894082,0.30601278,0.43639332,0.34573555,0.39577857
1992-06-07,0.40017122,0.30858916,0.31191242,0.3258955,0.401763,0.32264858,0.41511035,0.33960158,0.347449,0.37392908
1992-06-08,0.38042015,0.41551012,0.31565386,0.35903484,0.45500267,0.32810295,0.2753986,0.3213008,0.37909248,0.5130271
1992-06-09,0.2674709,0.6403731,0.18371224,0.6748544,0.2950952,0.5186843,0.23002517,0.45866162,0.32956392,0.57088697
1992-06-10,0.41249716,0.17462823,0.42906117,0.62852275,0.519136,0.55158037,1.0378935,0.6709579,0.39953077,0.24025786
1992-06-11,0.28185803,0.24526589,0.24147429,0.25450808,0.23792177,0.22796756,0.25000933,0.29924688,0.23497203,0.31980735
