,28044
2018-08-20,0.209
2018-08-21,0.19399999999999998
2018-08-22,0.19899999999999998
2018-08-23,0.223
2018-08-24,0.201
2018-08-25,0.20800000000000002
2018-08-26,0.23800000000000002
2018-08-27,0.228
2018-08-28,0.225
2018-08-29,0.218
2018-08-30,0.21100000000000002
2018-08-31,0.221
2018-09-01,0.221
2018-09-02,0.21600000000000005
2018-09-03,0.213
2018-09-04,0.212
2018-09-05,0.201
2018-09-06,0.212
2018-09-07,0.215
2018-09-08,0.222
2018-09-09,0.218
2018-09-10,0.217
2018-09-11,0.215
2018-09-12,0.218
2018-09-14,0.223
2018-09-15,0.22399999999999998
2018-09-16,0.23399999999999999
2018-09-17,0.24
2018-09-18,0.214
2018-09-19,0.19699999999999998
2018-09-20,0.285
2018-09-21,0.248
2018-09-22,0.19699999999999998
2018-09-23,0.18899999999999997
2018-09-24,0.159
2018-09-25,0.125
2018-09-26,0.109
2018-09-27,0.122
2018-09-28,0.145
2018-09-29,0.157
2018-09-30,0.17600000000000002
2018-10-01,0.174
2018-10-02,0.179
2018-10-03,0.16899999999999998
2018-10-04,0.166
2018-10-05,0.196
2018-10-06,0.23399999999999999
2018-10-07,0.21100000000000002
2018-10-08,0.198
2018-10-09,0.19
2018-10-10,0.204
2018-10-11,0.196
2018-10-12,0.18899999999999997
2018-10-13,0.201
2018-10-14,0.262
2018-10-15,0.253
2018-10-16,0.23800000000000002
2018-10-17,0.23
2018-10-18,0.23
2018-10-19,0.228
2018-10-20,0.225
2018-10-21,0.253
2018-10-22,0.215
2018-10-23,0.218
2018-10-24,0.22899999999999998
2018-10-25,0.237
2018-10-26,0.249
2018-10-27,0.23800000000000002
2018-10-28,0.21899999999999997
2018-10-29,0.22399999999999998
2018-10-30,0.225
2018-10-31,0.22899999999999998
2018-11-01,0.215
2018-11-02,0.209
2018-11-03,0.228
2018-11-04,0.22899999999999998
2018-11-05,0.231
2018-11-06,0.239
2018-11-07,0.23600000000000002
2018-11-08,0.228
2018-11-09,0.264
2018-11-10,0.272
2018-11-11,0.24600000000000002
2018-11-12,0.245
2018-11-13,0.242
2018-11-14,0.245
2018-11-15,0.254
2018-11-16,0.253
2018-11-17,0.245
2018-11-18,0.24
2018-11-19,0.235
2018-11-20,0.271
2018-11-21,0.281
2018-11-22,0.265
2018-11-23,0.256
2018-11-24,0.243
2018-11-25,0.245
2018-11-26,0.231
2018-11-27,0.27399999999999997
2018-11-28,0.29
2018-11-29,0.27
2018-11-30,0.26
2018-12-01,0.266
2018-12-02,0.258
2018-12-03,0.282
2018-12-04,0.261
2018-12-05,0.275
2018-12-06,0.268
2018-12-07,0.268
2018-12-08,0.26
2018-12-09,0.252
2018-12-10,0.237
2018-12-11,0.237
2018-12-12,0.239
2018-12-13,0.23600000000000002
2018-12-14,0.23800000000000002
2018-12-15,0.275
2018-12-16,0.27
2018-12-17,0.248
2018-12-18,0.271
2018-12-19,0.355
2018-12-20,0.276
2018-12-21,0.311
2018-12-22,0.28
2018-12-23,0.344
2018-12-24,0.295
2018-12-25,0.26899999999999996
2018-12-26,0.266
2018-12-27,0.255
2018-12-28,0.255
2018-12-29,0.253
2018-12-30,0.249
2018-12-31,0.248
2019-01-01,0.243
2019-01-02,0.24100000000000002
2019-01-03,0.242
2019-01-04,0.24100000000000002
2019-01-05,0.23399999999999999
2019-01-06,0.233
2019-01-07,0.233
2019-01-08,0.239
2019-01-09,0.22
2019-01-10,0.222
2019-01-11,0.22399999999999998
2019-01-12,0.233
2019-01-13,0.228
2019-01-14,0.23
2019-01-15,0.22399999999999998
2019-01-16,0.228
2019-01-17,0.214
2019-01-18,0.215
2019-01-19,0.228
2019-01-20,0.2
2019-01-21,0.204
2019-01-22,0.21
2019-01-23,0.204
2019-01-24,0.2
2019-01-25,0.20600000000000002
2019-01-26,0.20800000000000002
2019-01-27,0.22
2019-01-28,0.21100000000000002
2019-01-29,0.21100000000000002
2019-01-30,0.21
2019-01-31,0.20600000000000002
2019-02-01,0.207
2019-02-02,0.19699999999999998
2019-02-03,0.18899999999999997
2019-02-04,0.207
2019-02-05,0.193
2019-02-06,0.196
2019-02-07,0.222
2019-02-08,0.22
2019-02-09,0.21600000000000005
2019-02-10,0.218
2019-02-11,0.217
2019-02-12,0.204
2019-02-13,0.20199999999999999
2019-02-14,0.214
2019-02-15,0.191
2019-02-16,0.184
2019-02-17,0.18100000000000002
2019-02-18,0.17800000000000002
2019-02-19,0.17600000000000002
2019-02-20,0.183
2019-02-21,0.177
2019-02-22,0.179
2019-02-23,0.177
2019-02-24,0.177
2019-02-25,0.175
2019-02-26,0.17
2019-02-27,0.155
2019-02-28,0.162
2019-03-01,0.159
2019-03-02,0.16399999999999998
2019-03-03,0.217
2019-03-04,0.20800000000000002
2019-03-05,0.215
2019-03-06,0.293
2019-03-07,0.24600000000000002
2019-03-08,0.212
2019-03-09,0.222
2019-03-10,0.27399999999999997
2019-03-11,0.231
2019-03-12,0.28300000000000003
2019-03-13,0.267
2019-03-14,0.281
2019-03-15,0.252
2019-03-16,0.267
2019-03-17,0.242
2019-03-18,0.228
2019-03-19,0.223
2019-03-20,0.221
