,orig
2018-08-20,0.213
2018-08-21,0.204
2018-08-22,0.209
2018-08-23,0.222
2018-08-24,0.207
2018-08-25,0.209
2018-08-26,0.226
2018-08-27,0.217
2018-08-28,0.214
2018-08-29,0.21
2018-08-30,0.207
2018-08-31,0.214
2018-09-01,0.217
2018-09-02,0.214
2018-09-03,0.212
2018-09-04,0.211
2018-09-05,0.203
2018-09-06,0.211
2018-09-07,0.211
2018-09-08,0.215
2018-09-09,0.213
2018-09-10,0.211
2018-09-11,0.211
2018-09-12,0.213
2018-09-14,0.221
2018-09-15,0.218
2018-09-16,0.227
2018-09-17,0.229
2018-09-18,0.213
2018-09-19,0.211
2018-09-20,0.288
2018-09-21,0.261
2018-09-22,0.215
2018-09-23,0.212
2018-09-24,0.209
2018-09-25,0.208
2018-09-26,0.208
2018-09-27,0.207
2018-09-28,0.208
2018-09-29,0.208
2018-09-30,0.209
2018-10-01,0.208
2018-10-02,0.209
2018-10-03,0.209
2018-10-04,0.207
2018-10-05,0.209
2018-10-06,0.232
2018-10-07,0.212
2018-10-08,0.209
2018-10-09,0.209
2018-10-10,0.219
2018-10-11,0.21
2018-10-12,0.205
2018-10-13,0.223
2018-10-14,0.307
2018-10-15,0.289
2018-10-16,0.256
2018-10-17,0.245
2018-10-18,0.241
2018-10-19,0.239
2018-10-20,0.24
2018-10-21,0.297
2018-10-22,0.26
2018-10-23,0.275
2018-10-24,0.287
2018-10-25,0.302
2018-10-26,0.32
2018-10-27,0.316
2018-10-28,0.298
2018-10-29,0.315
2018-10-30,0.317
2018-10-31,0.322
2018-11-01,0.311
2018-11-02,0.3
2018-11-03,0.315
2018-11-04,0.315
2018-11-05,0.32
2018-11-06,0.331
2018-11-07,0.334
2018-11-08,0.303
2018-11-09,0.345
2018-11-10,0.358
2018-11-11,0.32
2018-11-12,0.32
2018-11-13,0.316
2018-11-14,0.321
2018-11-15,0.334
2018-11-16,0.337
2018-11-17,0.337
2018-11-18,0.327
2018-11-19,0.321
2018-11-20,0.372
2018-11-21,0.383
2018-11-22,0.363
2018-11-23,0.348
2018-11-24,0.318
2018-11-25,0.308
2018-11-26,0.289
2018-11-27,0.34
2018-11-28,0.361
2018-11-29,0.341
2018-11-30,0.336
2018-12-01,0.339
2018-12-02,0.333
2018-12-03,0.359
2018-12-04,0.33
2018-12-05,0.348
2018-12-06,0.348
2018-12-07,0.359
2018-12-08,0.348
2018-12-09,0.334
2018-12-10,0.313
2018-12-11,0.308
2018-12-12,0.303
2018-12-13,0.298
2018-12-14,0.3
2018-12-15,0.343
2018-12-16,0.342
2018-12-17,0.316
2018-12-18,0.349
2018-12-19,0.462
2018-12-20,0.348
2018-12-21,0.396
2018-12-22,0.355
2018-12-23,0.442
2018-12-24,0.372
2018-12-25,0.335
2018-12-26,0.326
2018-12-27,0.314
2018-12-28,0.314
2018-12-29,0.316
2018-12-30,0.314
2018-12-31,0.311
2019-01-01,0.301
2019-01-02,0.299
2019-01-03,0.297
2019-01-04,0.294
2019-01-05,0.291
2019-01-06,0.288
2019-01-07,0.287
2019-01-08,0.287
2019-01-09,0.275
2019-01-10,0.278
2019-01-11,0.272
2019-01-12,0.279
2019-01-13,0.272
2019-01-14,0.271
2019-01-15,0.271
2019-01-16,0.279
2019-01-17,0.259
2019-01-18,0.265
2019-01-19,0.285
2019-01-20,0.254
2019-01-21,0.255
2019-01-22,0.261
2019-01-23,0.254
2019-01-24,0.247
2019-01-25,0.258
2019-01-26,0.258
2019-01-27,0.271
2019-01-28,0.259
2019-01-29,0.263
2019-01-30,0.259
2019-01-31,0.254
2019-02-01,0.253
2019-02-02,0.246
2019-02-03,0.247
2019-02-04,0.265
2019-02-05,0.25
2019-02-06,0.256
2019-02-07,0.288
2019-02-08,0.287
2019-02-09,0.281
2019-02-10,0.283
2019-02-11,0.278
2019-02-12,0.259
2019-02-13,0.259
2019-02-14,0.276
2019-02-15,0.251
2019-02-16,0.248
2019-02-17,0.248
2019-02-18,0.242
2019-02-19,0.235
2019-02-20,0.239
2019-02-21,0.227
2019-02-22,0.228
2019-02-23,0.226
2019-02-24,0.239
2019-02-25,0.24
2019-02-26,0.231
2019-02-27,0.222
2019-02-28,0.231
2019-03-01,0.228
2019-03-02,0.226
2019-03-03,0.277
2019-03-04,0.247
2019-03-05,0.256
2019-03-06,0.373
2019-03-07,0.311
2019-03-08,0.269
2019-03-09,0.276
2019-03-10,0.337
2019-03-11,0.289
2019-03-12,0.354
2019-03-13,0.334
2019-03-14,0.353
2019-03-15,0.318
2019-03-16,0.345
2019-03-17,0.313
2019-03-18,0.296
2019-03-19,0.29
2019-03-20,0.283
2019-03-21,0.276
