st_id,std,abs_d,f1_max
33013,6,0.6558273085680579,0.036516853932584276
34010,7,0.1380661367249593,0.18852459016393447
34012,2,0.015494949548312187,0.05573770491803279
34018,4,0.0,0.3182711198428291
39056,2,0.0,0.035023041474654376
40017,6,0.03250821393523065,0.3734939759036145
46005,13,1.150098033228091,0.1509433962264151
47019,4,0.0,0.10741138560687434
48001,17,0.349079037121248,0.23272727272727273
49006,3,0.17134197389512223,0.426614481409002
