,orig
2018-08-20,0.124
2018-08-21,0.172
2018-08-22,0.163
2018-08-23,0.183
2018-08-24,0.191
2018-08-25,0.152
2018-08-26,0.329
2018-08-27,0.267
2018-08-28,0.203
2018-08-29,0.154
2018-08-30,0.132
2018-08-31,0.139
2018-09-01,0.117
2018-09-02,0.112
2018-09-03,0.12
2018-09-04,0.112
2018-09-05,0.167
2018-09-06,0.06
2018-09-07,0.116
2018-09-08,0.142
2018-09-09,0.131
2018-09-10,0.156
2018-09-11,0.108
2018-09-12,0.127
2018-09-13,0.152
2018-09-14,0.133
2018-09-15,0.113
2018-09-16,0.107
2018-09-17,0.108
2018-09-18,0.109
2018-09-19,0.14
2018-09-20,0.18
2018-09-21,0.185
2018-09-22,0.189
2018-09-23,0.174
2018-09-24,0.209
2018-09-25,0.168
2018-09-26,0.144
2018-09-27,0.128
2018-09-28,0.118
2018-09-29,0.115
2018-09-30,0.114
2018-10-01,0.114
2018-10-02,0.112
2018-10-03,0.114
2018-10-04,0.129
2018-10-05,0.088
2018-10-06,0.227
2018-10-07,0.163
2018-10-08,0.161
2018-10-09,0.14
2018-10-10,0.129
2018-10-11,0.115
2018-10-12,0.155
2018-10-13,0.185
2018-10-14,0.462
2018-10-15,0.382
2018-10-16,0.305
2018-10-17,0.242
2018-10-18,0.192
2018-10-19,0.167
2018-10-20,0.149
2018-10-21,0.144
2018-10-22,0.137
2018-10-23,0.124
2018-10-24,0.125
2018-10-25,0.134
2018-10-26,0.133
2018-10-27,0.149
2018-10-28,0.139
2018-10-29,0.138
2018-10-30,0.145
2018-10-31,0.129
2018-11-01,0.134
2018-11-02,0.13
2018-11-03,0.137
2018-11-04,0.133
2018-11-05,0.135
2018-11-06,0.179
2018-11-07,0.198
2018-11-08,0.181
2018-11-09,0.328
2018-11-10,0.364
2018-11-11,0.362
2018-11-12,0.315
2018-11-13,0.25
2018-11-14,0.219
2018-11-15,0.186
2018-11-16,0.194
2018-11-17,0.184
2018-11-18,0.176
2018-11-19,0.169
2018-11-20,0.166
2018-11-21,0.165
