,47006
2018-09-30,1.38
2018-10-01,1.33
2018-10-10,1.51
2018-10-12,18.0
2018-10-13,20.2
2018-10-14,16.3
2018-10-15,9.52
2018-10-16,7.08
2018-10-17,5.79
2018-10-18,4.59
2018-10-19,3.83
2018-10-20,3.21
2018-10-21,2.74
2018-10-22,2.28
2018-10-23,2.03
2018-10-24,1.88
2018-10-25,1.8
2018-10-26,1.79
2018-10-27,1.72
2018-10-29,1.51
2018-10-30,1.45
2018-10-31,2.9
2018-11-01,2.86
2018-11-02,1.87
2018-11-03,3.43
2018-11-04,5.7
2018-11-05,4.69
2018-11-07,19.7
2018-11-08,13.2
2018-11-09,32.8
2018-11-11,16.1
2018-11-12,13.7
2018-11-13,10.4
2018-11-14,8.29
2018-11-15,6.91
2018-11-16,5.89
2018-11-17,5.06
2018-11-18,4.4
2018-11-19,3.93
2018-11-20,3.56
2018-11-21,3.39
2018-11-23,4.81
2018-11-24,6.91
2018-11-25,5.12
2018-11-26,4.4
2018-11-27,15.5
2018-11-28,19.5
2018-11-29,32.8
2018-11-30,18.0
2019-01-04,3.35
2019-01-06,2.85
2019-01-07,2.67
2019-01-08,2.48
2019-01-09,2.27
2019-01-10,2.14
2019-01-11,2.09
2019-01-12,2.12
2019-01-13,1.99
2019-01-14,1.87
2019-01-15,1.85
2019-01-16,2.18
2019-01-17,2.3
2019-01-18,5.33
2019-01-19,4.63
2019-01-20,3.75
2019-01-21,3.8
2019-01-22,5.57
2019-01-23,4.93
2019-01-24,4.81
2019-01-25,4.65
2019-01-26,6.35
2019-01-27,7.13
2019-01-28,5.76
2019-01-29,6.97
2019-01-30,6.99
2019-01-31,7.23
2019-02-01,6.4
2019-02-02,5.61
2019-02-03,6.38
2019-02-04,10.0
2019-02-05,10.8
2019-02-06,10.9
2019-02-07,12.1
2019-02-08,21.1
2019-02-09,16.5
2019-02-10,19.4
2019-02-11,12.5
2019-02-12,10.1
2019-02-13,8.46
2019-02-14,7.22
2019-02-15,6.32
2019-02-16,5.66
2019-02-17,5.13
2019-02-18,4.58
2019-02-19,4.14
2019-02-20,3.79
2019-02-21,3.41
2019-02-22,3.11
2019-02-23,2.86
2019-02-24,2.62
2019-02-25,2.39
2019-02-26,2.22
2019-02-27,2.12
2019-02-28,2.97
2019-03-01,2.8
2019-03-02,4.01
2019-03-03,8.21
2019-03-04,6.24
2019-03-05,25.2
2019-03-06,27.4
2019-03-07,15.3
2019-03-08,11.3
2019-03-09,10.3
2019-03-10,9.31
2019-03-11,8.09
2019-03-12,22.1
2019-03-13,12.6
2019-03-14,17.3
2019-03-15,12.9
2019-03-16,14.2
2019-03-17,11.3
2019-03-18,10.0
2019-03-19,8.64
2019-03-20,7.46
2019-03-21,6.67
2019-03-22,6.0
2019-03-23,5.41
2019-03-24,4.84
2019-03-25,4.39
2019-03-26,4.02
2019-03-27,3.69
2019-03-28,3.43
2019-03-29,3.21
2019-03-30,2.99
2019-03-31,2.76
2019-04-01,2.58
2019-04-02,2.74
2019-04-03,3.87
2019-04-04,7.76
2019-04-05,5.54
2019-04-06,4.46
2019-04-07,3.73
2019-04-08,3.4
2019-04-10,2.87
2019-04-11,2.62
2019-04-12,2.42
2019-04-13,2.22
2019-04-14,2.1
2019-04-15,2.11
2019-04-16,2.06
2019-04-17,1.85
2019-04-18,1.74
2019-04-19,1.65
2019-04-20,1.59
2019-04-21,1.56
2019-04-22,1.52
2019-04-23,1.41
2019-04-24,1.49
2019-04-25,1.48
2019-04-26,1.5
2019-04-27,1.35
2019-04-28,1.32
2019-04-29,1.28
2019-04-30,1.25
2019-05-01,1.22
2019-05-02,1.18
2019-05-03,1.16
2019-05-04,1.1
2019-05-05,1.06
2019-05-06,1.04
2019-05-07,1.12
2019-05-08,5.05
2019-05-09,2.05
2019-05-10,2.72
2019-05-11,1.86
2019-05-12,1.49
2019-05-13,1.34
2019-05-14,1.25
2019-05-15,1.19
2019-05-16,1.14
2019-05-17,1.16
2019-05-18,1.13
2019-05-19,1.07
2019-05-20,1.02
