,orig
2018-09-30,1.37
2018-10-01,1.32
2018-10-10,1.5
2018-10-12,17.8
2018-10-13,20.1
2018-10-14,16.0
2018-10-15,9.15
2018-10-16,6.79
2018-10-17,5.58
2018-10-18,4.46
2018-10-19,3.76
2018-10-20,3.2
2018-10-21,2.78
2018-10-22,2.36
2018-10-23,2.14
2018-10-24,1.93
2018-10-25,1.81
2018-10-26,1.8
2018-10-27,1.73
2018-10-29,1.5
2018-10-30,1.44
2018-10-31,2.84
2018-11-01,2.88
2018-11-02,1.9
2018-11-03,3.36
2018-11-04,5.5
2018-11-05,4.55
2018-11-07,19.5
2018-11-08,12.7
2018-11-09,34.2
2018-11-11,15.7
2018-11-12,13.3
2018-11-13,10.0
2018-11-14,7.95
2018-11-15,6.64
2018-11-16,5.67
2018-11-17,4.89
2018-11-18,4.29
2018-11-19,3.85
2018-11-20,3.51
2018-11-21,3.36
2018-11-23,4.69
2018-11-24,6.63
2018-11-25,4.95
2018-11-26,4.29
2018-11-27,15.3
2018-11-28,19.3
2018-11-29,33.6
2018-11-30,17.7
2019-01-04,3.32
2019-01-06,2.88
2019-01-07,2.71
2019-01-08,2.54
2019-01-09,2.35
2019-01-10,2.24
2019-01-11,2.19
2019-01-12,2.22
2019-01-13,2.1
2019-01-14,1.9
2019-01-15,1.87
2019-01-16,2.24
2019-01-17,2.38
2019-01-18,5.18
2019-01-19,4.5
2019-01-20,3.69
2019-01-21,3.74
2019-01-22,5.37
2019-01-23,4.78
2019-01-24,4.67
2019-01-25,4.51
2019-01-26,6.11
2019-01-27,6.84
2019-01-28,5.55
2019-01-29,6.7
2019-01-30,6.71
2019-01-31,6.94
2019-02-01,6.15
2019-02-02,5.41
2019-02-03,6.16
2019-02-04,9.68
2019-02-05,10.4
2019-02-06,10.5
2019-02-07,11.6
2019-02-08,20.9
2019-02-09,16.2
2019-02-10,19.2
2019-02-11,12.1
2019-02-12,9.75
2019-02-13,8.12
2019-02-14,6.92
2019-02-15,6.07
2019-02-16,5.46
2019-02-17,4.96
2019-02-18,4.45
2019-02-19,4.05
2019-02-20,3.72
2019-02-21,3.38
2019-02-22,3.1
2019-02-23,2.88
2019-02-24,2.66
2019-02-25,2.46
2019-02-26,2.31
2019-02-27,2.22
2019-02-28,2.98
2019-03-01,2.82
2019-03-02,3.93
2019-03-03,7.89
2019-03-04,6.0
2019-03-05,26.3
2019-03-06,27.7
2019-03-07,14.9
2019-03-08,10.9
2019-03-09,9.88
2019-03-10,8.94
2019-03-11,7.76
2019-03-12,22.2
2019-03-13,12.2
2019-03-14,17.0
2019-03-15,12.5
2019-03-16,13.8
2019-03-17,10.9
2019-03-18,9.66
2019-03-19,8.29
2019-03-20,7.15
2019-03-21,6.4
2019-03-22,5.77
2019-03-23,5.22
2019-03-24,4.69
2019-03-25,4.28
2019-03-26,3.93
2019-03-27,3.64
2019-03-28,3.4
