,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1979-01-08,0.6130391,0.566537,0.6261673,0.6498123,0.6191706,0.624942,0.5471048,0.5806948,0.61760855,0.58821625,0.62615895,0.6309202,0.6049401,0.5796838,0.5841294,0.5894061,0.5755865,0.56642973,0.6237654,0.6472948
1979-01-09,0.7288134,0.6965792,0.68364894,0.74204,0.78375787,0.7350925,0.679027,0.74114454,0.76698995,0.73335844,0.77674305,0.7258421,0.7482694,0.7555718,0.7197644,0.73706996,0.75587523,0.7577842,0.77400017,0.7823609
1979-01-10,1.3852303,1.3051159,1.2298988,1.2771974,1.2542976,1.3322839,1.1987468,1.2613299,1.2465216,1.203683,1.2430717,1.219729,1.3178314,1.2365716,1.3101925,1.3237071,1.3257114,1.2684164,1.3597662,1.2760832
1979-01-11,0.487086,0.48758808,0.52721184,0.50245005,0.54329556,0.5133688,0.5308223,0.4817517,0.5042956,0.5010368,0.5067603,0.50126827,0.46066955,0.5165725,0.5365757,0.43419474,0.5363687,0.48557726,0.50763416,0.4726906
1979-01-12,0.3579912,0.3609971,0.46312225,0.4682976,0.41945955,0.38167012,0.41363737,0.4614478,0.4413862,0.43354312,0.45865208,0.45810586,0.42466047,0.38952056,0.3831615,0.42322066,0.3989842,0.43910784,0.38508084,0.39832297
1979-01-13,0.2462219,0.29291674,0.30540666,0.33280665,0.30441254,0.2585947,0.31801745,0.26880983,0.30782306,0.34930316,0.33607948,0.25524476,0.32536545,0.22868237,0.22265267,0.340629,0.23386747,0.27359933,0.25975224,0.28984043
1979-01-14,0.275084,0.30540642,0.27897492,0.2493287,0.33405992,0.27425227,0.2634652,0.2677048,0.2276176,0.29157957,0.26186833,0.27573642,0.2909953,0.26286215,0.27204916,0.30117702,0.23135297,0.24847938,0.2508744,0.2770945
1979-01-15,0.2666893,0.30664814,0.26530272,0.25934917,0.2855417,0.29938534,0.28063145,0.26087782,0.23578286,0.2613208,0.2655204,0.2629462,0.21893264,0.28959996,0.2569724,0.2485523,0.28553817,0.30087575,0.24404183,0.2753955
1979-01-16,0.34170672,0.3566656,0.3215019,0.33113337,0.35553756,0.3559207,0.3482742,0.34229186,0.2845993,0.35973915,0.34079418,0.33492422,0.32371375,0.31214926,0.32219943,0.34324774,0.3398567,0.34316137,0.3195193,0.33650398
1979-01-17,0.7261302,0.7636541,0.75398016,0.7073384,0.7113328,0.7500592,0.71989745,0.725496,0.7050501,0.6970212,0.7362529,0.73928803,0.7079182,0.7529553,0.7206272,0.723604,0.7245502,0.7278854,0.72964656,0.7775041
1979-01-18,0.33201873,0.3697147,0.35144785,0.3907771,0.3595308,0.4033595,0.33211464,0.3861681,0.37938377,0.38123086,0.38147238,0.40098906,0.34310046,0.38218415,0.3726208,0.37598416,0.39474145,0.34740883,0.36343846,0.3768433
1979-01-19,0.53967506,0.527783,0.5130788,0.5622838,0.53022,0.55276704,0.500988,0.6024468,0.49807513,0.5311552,0.53741497,0.5463088,0.53802615,0.53245586,0.51304567,0.5575133,0.5660183,0.5253064,0.5558705,0.56576216
1979-01-20,0.46683374,0.46219996,0.50608766,0.44510606,0.5345734,0.46743044,0.45195094,0.5075025,0.43170357,0.4775711,0.43460828,0.52273136,0.46323726,0.37853432,0.32235956,0.39072195,0.49818516,0.5226278,0.4883053,0.4415074
1979-01-21,0.31666553,0.35076925,0.37831336,0.3990557,0.31680992,0.28538972,0.2582433,0.2857865,0.36278403,0.3478657,0.30882603,0.36590117,0.2987493,0.38967535,0.41726047,0.2983001,0.33890378,0.3868012,0.33313844,0.2782641
1979-01-22,0.3615537,0.36010468,0.37623397,0.39389932,0.39809206,0.37294176,0.3265805,0.37049788,0.35853228,0.3207071,0.31381366,0.37371385,0.36808258,0.3593936,0.32435045,0.33207545,0.3689043,0.3810926,0.30311444,0.29879707
