,39056,orig,nn_m,nn_std
1979-01-08,0.613,0.613,0.6031734426520451,0.02815009612634893
1979-01-09,0.752,0.752,0.7406886831955595,0.029671818519546703
1979-01-10,1.17,1.17,1.278493251197869,0.05080797162068406
1979-01-11,0.491,0.491,0.5020892837203937,0.026463370235085108
1979-01-12,0.391,0.391,0.41808452740527335,0.03428446725522736
1979-01-13,0.295,0.295,0.28779337704596264,0.03854255649430373
1979-01-14,0.28600000000000003,0.28600000000000003,0.27226698981927805,0.024646005831882555
1979-01-15,0.284,0.284,0.26859968935645995,0.021858710899653116
1979-01-16,0.401,0.401,0.3357782547936326,0.017688104576828834
1979-01-17,0.7140000000000001,0.7140000000000001,0.7299500613263636,0.02045858608201738
1979-01-18,0.376,0.376,0.371097140810097,0.020790117731051907
1979-01-19,0.501,0.501,0.5395917463228177,0.024381361824340114
1979-01-20,0.461,0.461,0.4609943344872669,0.05108968602497042
1979-01-21,0.364,0.364,0.3358669193508057,0.043870062611755634
1979-01-22,0.37,0.37,0.3536013310015184,0.02881813183489412
1979-01-23,0.41,0.41,0.3847701363966372,0.022653882160414487
1979-01-24,0.431,0.431,0.43811917142024065,0.024641016359678816
1979-01-25,1.43,1.43,1.6236202453453317,0.07802915360634484
1979-01-26,0.78,0.78,0.7333948459414581,0.04051859883779523
1979-01-27,0.49,0.49,0.45707422470692954,0.02865385643949442
1979-01-28,0.706,0.706,0.7792345464410234,0.04112279898928029
1979-01-29,1.09,1.09,1.2561576214955252,0.043832993567321794
1979-01-30,0.599,0.599,0.6007773226534978,0.03645878285627482
1979-01-31,0.52,0.52,0.5032346375732415,0.03531416132304321
1979-02-01,1.3,1.3,1.4702550224284168,0.08963864131571204
1979-02-02,0.654,0.654,0.6748252702328632,0.06386084062712857
1979-02-03,0.48700000000000004,0.48700000000000004,0.4480329541276759,0.03608398388116773
1979-02-04,0.441,0.441,0.3777382608160121,0.02687664892992044
1979-02-05,0.375,0.375,0.3636624540353741,0.02306788057718618
1979-02-06,0.568,0.568,0.5379281286108919,0.02456614716374298
1979-02-07,0.693,0.693,0.7387717648535784,0.042667994901278934
1979-02-08,0.46299999999999997,0.46299999999999997,0.4701532464614273,0.029103055742141972
1979-02-09,0.39899999999999997,0.39899999999999997,0.4036950303946207,0.024760359389283865
1979-02-10,0.355,0.355,0.3755893599770168,0.023581089796471673
1979-02-11,0.616,0.616,0.5788790699304115,0.030679367245225724
1979-02-12,1.02,1.02,1.1184022822586956,0.06293754348395565
1979-02-13,1.51,1.51,1.635414107046693,0.07273859622317981
1979-02-14,0.9940000000000001,0.9940000000000001,1.0775399922266606,0.04990764771367038
1979-02-15,0.573,0.573,0.6039668667949545,0.02312184168634267
1979-02-16,0.46799999999999997,0.46799999999999997,0.47574278296822736,0.027080734812170968
1979-02-17,0.41700000000000004,0.41700000000000004,0.4096315946238264,0.024256842392731126
1979-02-18,0.385,0.385,0.3866474211979717,0.025670165242478265
1979-02-19,0.397,0.397,0.36901690629389755,0.025311853577930962
1979-02-20,0.402,0.402,0.3882686764668066,0.020903913754462915
1979-02-21,0.409,0.409,0.3870528448185928,0.013909358957130021
1979-02-22,0.581,0.581,0.5764352868323757,0.02585962409475089
1979-02-23,0.41700000000000004,0.41700000000000004,0.40444342083425777,0.02166558181818421
1979-02-24,0.355,0.355,0.35193702770973473,0.021109588032627344
1979-02-25,0.337,0.337,0.3221004010611401,0.02567991431580995
1979-02-26,0.337,0.337,0.33001408167387436,0.018887644377169846
1979-02-27,0.32799999999999996,0.32799999999999996,1.0325253263091219,0.16306165092385946
1979-02-28,0.478,0.478,0.4255136417261538,0.021433036932964084
1979-03-01,0.319,0.319,0.3231549657943247,0.020908290617094035
1979-03-02,0.317,0.317,0.2885984093721935,0.013791248293260873
1979-03-03,0.659,0.659,0.6693309213710218,0.017367314759540724
1979-03-04,0.485,0.485,0.4997706549486631,0.02171521027382309
1979-03-05,0.392,0.392,0.36295258691512927,0.018349680377888793
1979-03-06,0.675,0.675,0.7085042752054288,0.03047893863707848
1979-03-07,0.41,0.41,0.42164864991322276,0.025202942961715862
1979-03-08,0.47,0.47,0.44777601892568114,0.020165633500302822
1979-03-09,1.07,1.07,1.0909894479179645,0.03416894758167308
1979-03-10,0.5920000000000001,0.5920000000000001,0.6103806823964995,0.03122398363886289
1979-03-11,0.469,0.469,0.4287389682809097,0.021264398203246843
1979-03-12,0.406,0.406,0.3788512704616737,0.02649545647033339
1979-03-13,1.78,1.78,1.9926186082590813,0.08774882270128787
1979-03-14,1.42,1.42,1.4740089600583652,0.07482451620131846
1979-03-15,1.12,1.12,1.1474919433750859,0.05006869676321575
1979-03-16,1.41,1.41,1.6306317893689375,0.08876277433396183
1979-03-17,1.71,1.71,1.8916284376254695,0.09283668159652449
1979-03-18,0.937,0.937,0.9587183241586839,0.03582218370771617
1979-03-19,0.708,0.708,0.7132980461251685,0.032224225763257806
1979-03-20,0.659,0.659,0.6556927913424059,0.03710071658178459
1979-03-21,0.741,0.741,0.7443677679345978,0.04023282432679393
1979-03-22,0.667,0.667,0.6363982893944876,0.03287354322450794
1979-03-23,0.483,0.483,0.4554328242006331,0.025849405120234575
1979-03-24,1.34,1.34,1.3682255270638186,0.045535442531462314
1979-03-25,1.05,1.05,1.1175468731105145,0.05847862521466574
1979-03-26,0.9620000000000001,0.9620000000000001,1.0127693506014692,0.034351719161648496
1979-03-27,1.18,1.18,1.2733149450686008,0.03652444044387997
1979-03-28,1.25,1.25,1.341595823400672,0.03796636526426412
1979-03-29,1.44,1.44,1.6099765440812526,0.04400504939953983
1979-03-30,0.879,0.879,0.8208294184789272,0.03382621839814472
1979-03-31,0.6940000000000001,0.6940000000000001,0.6331112246227618,0.03084882169155907
1979-04-01,0.768,0.768,0.7171759968223617,0.0318422245520736
1979-04-02,1.44,1.44,1.4929563411760431,0.0741482817468019
1979-04-03,1.13,1.13,0.9905544653161408,0.03241444526667511
1979-04-04,1.29,1.29,1.043665136558832,0.05138712622992797
1979-04-05,0.903,0.903,0.8047781633514757,0.05287068900961218
1979-04-06,0.84,0.84,0.7577234200972479,0.04215527950572197
1979-04-07,1.99,1.99,1.922622444460681,0.09568176284998826
1979-04-08,1.59,1.59,1.775639923978679,0.24553075609886177
1979-04-09,0.889,0.889,0.8984778025948503,0.06769544621341557
1979-04-10,0.987,0.987,0.9961167396498806,0.052386028594886655
1979-04-11,0.867,0.867,0.856099548715045,0.05127192121004806
1979-04-12,0.74,0.74,0.6936992201855332,0.04304128602993983
1979-04-13,0.59,0.59,0.5617552514737978,0.03582676919709757
1979-04-14,0.514,0.514,0.49486889780101717,0.025030767801652972
1979-04-15,0.469,0.469,0.428128658919352,0.028787944413358496
1979-04-16,0.439,0.439,0.3793165205844184,0.016262958651030987
1979-04-17,0.41700000000000004,0.41700000000000004,0.3607019498659062,0.02031553687992777
