,40017,orig
1971-01-01,0.327,0.327
1971-01-02,0.292,0.292
1971-01-03,0.267,0.267
1971-01-04,0.253,0.253
1971-01-05,0.256,0.256
1971-01-06,1.209,1.209
1971-01-07,2.288,2.288
1971-01-08,1.086,1.086
1971-01-09,0.59,0.59
1971-01-10,0.467,0.467
1971-01-11,0.406,0.406
1971-01-12,0.344,0.344
1971-01-13,0.314,0.314
1971-01-14,0.305,0.305
1971-01-15,0.29,0.29
1971-01-16,0.41,0.41
1971-01-17,0.408,0.408
1971-01-18,0.527,0.527
1971-01-19,0.7,0.7
1971-01-20,1.156,1.156
1971-01-21,1.356,1.356
1971-01-22,0.799,0.799
1971-01-23,10.69,10.69
1971-01-24,1.162,1.162
1971-01-25,2.085,2.085
1971-01-26,1.579,1.579
1971-01-27,1.292,1.292
1971-01-28,0.81,0.81
1971-01-29,0.62,0.62
1971-01-30,1.304,1.304
1971-01-31,0.692,0.692
1971-02-01,0.507,0.507
1971-02-02,0.434,0.434
1971-02-03,0.403,0.403
1971-02-04,0.367,0.367
1971-02-05,0.34,0.34
1971-02-06,0.321,0.321
1971-02-07,0.309,0.309
1971-02-08,0.294,0.294
1971-02-09,0.285,0.285
1971-02-10,0.272,0.272
1971-02-11,0.26,0.26
1971-02-12,0.262,0.262
1971-02-13,0.311,0.311
1971-02-14,0.288,0.288
1971-02-15,0.798,0.798
1971-02-16,0.581,0.581
1971-02-17,0.844,0.844
1971-02-18,0.562,0.562
1971-02-19,0.395,0.395
1971-02-20,0.382,0.382
1971-02-21,0.354,0.354
1971-02-22,0.299,0.299
1971-02-23,0.272,0.272
1971-02-24,0.264,0.264
1971-02-25,0.256,0.256
1971-02-26,0.245,0.245
1971-02-27,0.233,0.233
1971-02-28,0.217,0.217
1971-03-01,0.22,0.22
1971-03-02,0.397,0.397
1971-03-03,0.268,0.268
1971-03-04,0.237,0.237
1971-03-05,0.226,0.226
1971-03-06,0.218,0.218
1971-03-07,0.204,0.204
1971-03-08,0.21,0.21
1971-03-09,0.209,0.209
1971-03-10,0.195,0.195
1971-03-11,0.19,0.19
1971-03-12,0.183,0.183
1971-03-13,0.182,0.182
1971-03-14,0.187,0.187
1971-03-15,0.304,0.304
1971-03-16,0.289,0.289
1971-03-17,1.642,1.642
1971-03-18,1.628,1.628
1971-03-19,1.37,1.37
1971-03-20,0.671,0.671
1971-03-21,0.458,0.458
1971-03-22,0.359,0.359
1971-03-23,0.309,0.309
1971-03-24,0.299,0.299
1971-03-25,0.299,0.299
1971-03-26,0.265,0.265
1971-03-27,0.239,0.239
1971-03-28,0.234,0.234
1971-03-29,0.229,0.229
1971-03-30,0.215,0.215
1971-03-31,0.205,0.205
1971-04-01,0.204,0.204
1971-04-02,0.197,0.197
1971-04-03,0.186,0.186
1971-04-04,0.185,0.185
