,40017,orig,nn_m,nn_std
1978-11-06,0.077,0.077,0.05189081350934613,0.003545952170624623
1978-12-06,0.063,0.063,0.05352929839146686,0.00867261132032651
1978-12-07,0.075,0.075,0.11828057255890083,0.048262177005173414
1978-12-08,0.301,0.301,0.3364451078161841,0.06404321364836828
1978-12-09,0.105,0.105,0.06743491770826932,0.0400940970094395
1978-12-10,0.153,0.153,0.14254081035942856,0.035124164480700396
1978-12-11,0.106,0.106,0.08578409805489846,0.028883776413279872
1978-12-12,0.273,0.273,0.29828245739598497,0.05173254057163828
1978-12-13,0.29600000000000004,0.29600000000000004,0.23393506881067458,0.05594132350359248
1978-12-14,0.179,0.179,0.1711166298701891,0.05068975015009817
1978-12-15,0.15,0.15,0.1272760754234104,0.031905545720439486
1978-12-16,0.106,0.106,0.09765930214211875,0.033054634594945904
1978-12-17,0.087,0.087,0.0660758773265307,0.03623707322446425
1978-12-18,0.078,0.078,0.07265070472545347,0.0138851504992313
1978-12-19,0.077,0.077,0.07226802768638849,0.012188387672853303
1978-12-20,0.077,0.077,0.06397109507059388,0.008863262686816765
1978-12-21,0.073,0.073,0.0705763285009506,0.011583526310981265
1978-12-22,0.07400000000000001,0.07400000000000001,0.07018269387697619,0.006956196431718649
1978-12-23,0.182,0.182,0.18915035387444631,0.04059072679225996
1978-12-24,1.038,1.038,1.0560947845409494,0.11910394881384746
1978-12-25,0.67,0.67,0.5394148901888136,0.1115162607607968
1978-12-26,0.33899999999999997,0.33899999999999997,0.3168424734826471,0.028622932869232714
1978-12-27,0.33,0.33,0.30531146177738167,0.05420900262830127
1978-12-28,1.516,1.516,1.5062643994084028,0.10012378723658583
1978-12-29,1.048,1.048,0.9217317564964496,0.14903289594215896
1978-12-30,0.486,0.486,0.4845371077229088,0.09744796040330467
1978-12-31,0.303,0.303,0.26405997288206207,0.033245667046559416
1979-01-01,0.20600000000000002,0.20600000000000002,0.2200602290930939,0.02194063212473218
1979-01-02,0.18600000000000003,0.18600000000000003,0.17738030943781952,0.0239265779440431
1979-01-03,0.18600000000000003,0.18600000000000003,0.166130871399038,0.016470104883305123
1979-01-04,0.17,0.17,0.15023051521295086,0.01577529845744979
1979-01-05,0.133,0.133,0.11658153346913588,0.01402164413682323
1979-01-06,0.13699999999999998,0.13699999999999998,0.10740480194367068,0.011897445817676726
1979-01-07,0.391,0.391,0.46041394799339064,0.05402035494247693
1979-01-08,1.105,1.105,1.128080387155174,0.11915371182869976
1979-01-09,0.5670000000000001,0.5670000000000001,0.6209957691881155,0.1209639616823841
1979-01-10,1.51,1.51,1.46299013116507,0.09236630801957216
1979-01-11,0.563,0.563,0.5419030311966208,0.050212354238928
1979-01-12,0.335,0.335,0.30979697882660895,0.050636324364310294
1979-01-13,0.237,0.237,0.21262571595653268,0.02066113203417292
1979-01-14,0.222,0.222,0.17690533578599674,0.01689724593080022
1979-01-15,0.22,0.22,0.18532518767546827,0.024747997886736605
1979-01-16,0.22,0.22,0.16717737663301513,0.03284386696034018
1979-01-17,0.29100000000000004,0.29100000000000004,0.28960660493867973,0.03316402305034187
1979-01-18,0.24100000000000002,0.24100000000000002,0.2661865873561024,0.028147851974416056
1979-01-19,0.302,0.302,0.3291403484655393,0.053833786274431424
1979-01-20,0.945,0.945,0.7461781624560249,0.09157755693598524
1979-01-21,0.42100000000000004,0.42100000000000004,0.3872579145952046,0.0379912412804242
1979-01-22,0.353,0.353,0.3185116856640905,0.06544757421243051
1979-01-23,0.391,0.391,0.37083818927391893,0.028246915381326964
1979-01-24,0.315,0.315,0.284229744541337,0.0428731352991259
1979-01-25,0.937,0.937,0.6177866558402295,0.11979870297115365
1979-01-26,0.667,0.667,0.5433837170035382,0.04883424120676152
1979-01-27,0.429,0.429,0.3791027700827345,0.040580090949121336
