,48001,nn_m,nn_std,orig
2006-09-16,0.309,0.31947109590435113,0.01824645013597911,0.309
2006-09-17,0.311,0.3428453857414358,0.01528171344844162,0.311
2006-09-18,0.312,0.32529887907927524,0.017396875822704244,0.312
2006-09-19,0.316,0.3280389719224621,0.01660336692490205,0.316
2006-09-20,0.312,0.3347535677269049,0.015737381217307302,0.312
2006-09-21,0.328,0.3296265244675085,0.01551060979603759,0.328
2006-09-22,0.325,0.3427884607242973,0.015791194419423237,0.325
2006-09-23,0.328,0.34324540611927384,0.013602070265771331,0.328
2006-09-24,0.326,0.3500628748547103,0.009711464375777471,0.326
2006-09-25,0.315,0.33902917363038376,0.01584006496831144,0.315
2006-09-26,0.314,0.33240220195281384,0.013947368251940344,0.314
2006-09-27,0.383,0.39855270424371947,0.017562138306338067,0.383
2006-09-28,0.3720000000000001,0.36936981529688173,0.02041226723466219,0.3720000000000001
2006-09-29,0.5589999999999999,0.5826266128907563,0.016589880477359594,0.5589999999999999
2006-09-30,0.835,0.8547329135164234,0.018642045295071144,0.835
2006-10-01,1.59,1.3228727820513508,0.03658887403805657,1.59
2006-10-02,0.6990000000000001,0.7244489900973058,0.03194986079321309,0.6990000000000001
2006-10-03,0.49,0.5371815458407422,0.0342428530550112,0.49
2006-10-04,0.44,0.4699930593371072,0.014789368682642771,0.44
2006-10-05,0.541,0.5316852074940184,0.0180412624168966,0.541
2006-10-06,1.21,1.162580620110616,0.03674975590552755,1.21
2006-10-07,0.575,0.6894532497570389,0.02582608278706081,0.575
2006-10-08,0.7,0.6959381250274851,0.023102728791499192,0.7
2006-10-09,0.642,0.6504426245805632,0.010461201664202944,0.642
2006-10-10,0.969,0.994415656123596,0.0966043508800342,0.969
2006-10-11,1.26,1.200072043625357,0.0846832777294336,1.26
2006-10-12,0.688,0.6519913491698981,0.07108446655212376,0.688
2006-10-13,0.5870000000000001,0.570017347648383,0.053081837249465066,0.5870000000000001
2006-10-14,0.5539999999999999,0.535505680349629,0.025165436898701002,0.5539999999999999
2006-10-15,0.523,0.5325469119845966,0.01925764242271837,0.523
2006-10-16,0.525,0.5524849222102228,0.015225092313281915,0.525
2006-10-17,0.706,0.7808944238591586,0.01624695260462199,0.706
2006-10-18,0.759,0.6402594552147688,0.045526199807128534,0.759
2006-10-19,1.2,1.1681900345943557,0.040787888549128334,1.2
2006-10-20,0.865,1.002856725639821,0.04169008359627596,0.865
2006-10-21,0.992,0.9272024392443096,0.02496590126838848,0.992
2006-10-22,1.42,1.5462537594904058,0.056354447697256685,1.42
2006-10-23,0.893,0.985792533497293,0.0939801342092174,0.893
2006-10-24,0.768,0.7190862069780104,0.06811227440977574,0.768
2006-10-25,1.48,1.6889132705786565,0.12585828684448572,1.48
2006-10-26,0.877,0.9727839647378652,0.06518854249907496,0.877
2006-10-27,0.78,0.8014024370209578,0.0746887634033461,0.78
2006-10-28,0.8270000000000001,0.8788442181261606,0.0345437403688221,0.8270000000000001
2006-10-29,0.826,0.935586012428479,0.024761290172182662,0.826
2006-10-30,0.777,0.8110119817807326,0.033142424143910755,0.777
2006-10-31,0.693,0.7452860123724645,0.03502594303348371,0.693
2006-11-01,0.629,0.6481973748434822,0.03125523234372178,0.629
2006-11-02,0.598,0.6528629777326925,0.026107799759530197,0.598
2006-11-03,0.5579999999999999,0.6068661420683467,0.02345321073142133,0.5579999999999999
2006-11-04,0.532,0.5821173087430654,0.021488939889960482,0.532
2006-11-05,0.514,0.5711922541787171,0.020769545700982276,0.514
2006-11-06,0.502,0.5519164280841492,0.0212379108652264,0.502
2006-11-07,0.4970000000000001,0.5491126046025694,0.019247987156398538,0.4970000000000001
2006-11-08,0.514,0.5611346133839009,0.01905801728705498,0.514
2006-11-09,0.478,0.5452224253489261,0.01752538257482295,0.478
2006-11-10,0.6920000000000001,0.6333517474918791,0.02689288180231533,0.6920000000000001
