,0,1,2,3,4,5
40003,0.00532193,0.0,0.0,0.0,0.0,0.019561479
40004,0.019823717,0.0,0.0,0.0,0.0,0.0
40005,0.005380208,0.0,0.0,0.0,0.0,0.0051730796999999995
40008,0.014324752,0.0,0.0,0.0,0.0,0.0
40009,0.0057536443,0.0,0.0,0.01261232,0.0,0.004946082
40010,0.009353727,0.0,0.0,0.0,0.017931057,0.0
40012,0.0,0.0,0.015939072,0.0,0.0,0.0
40018,0.0056187073,0.01688784,0.0,0.019247903,0.0,0.0
40020,0.039698865,0.023045852999999998,0.0,0.006135745,0.0,0.0
40023,0.011793773,0.016551932,0.0,0.0,0.0,0.0
41003,0.030463416,0.0,0.0,0.0,0.0059808386,0.0
41012,0.0,0.00572613,0.0,0.04902106,0.0,0.0
41016,0.45864972,0.007132716,0.0,0.0,0.0,0.014008018999999998
41020,0.010884895,0.029547387999999997,0.0,0.0,0.0,0.006618960300000001
41029,0.018846124,0.00629027,0.0,0.0,0.0,0.0
