,0,1,2,3
240350,0.004936568400000001,0.0,0.0,0.0
240470,0.011319029,0.0,0.0,0.0
241790,0.0041322364,0.0,0.0,0.0
242534,0.011071388,0.0,0.0,0.0
277407,0.0,0.0053353556,0.0,0.0
33065,0.08945299,0.0,0.0,0.0
38002,0.054846764000000006,0.0,0.0,0.0
38003,-1.0,0.012830955,0.0,0.008252365
38004,0.0,0.0,0.0,0.0036324078999999997
38011,0.071741,0.0,0.0,0.0
38012,0.009464006,0.0,0.0,0.0
38018,0.07852677,0.0,0.0,0.0
38029,0.0151970545,0.0,0.0,0.0
38030,0.044506807,0.0,0.0,0.0
38031,0.09862549,0.0,0.0,0.0
38033,0.01015259,0.0,0.0,0.0
39014,0.37763804,0.0,0.0,0.0
39125,0.010250675,0.0,0.0,0.0
39126,0.027005877,0.0,0.0,0.0
