,0,1,2,3,4,5
33013,0.11590883,0.0,0.0,0.0,0.0,0.0
33014,0.0,0.0,0.004245049,0.005419691999999999,0.0,0.006016825
33019,0.0,0.0,0.009932239,0.00544645,0.0,0.0
33034,0.021517241,0.0,0.0,0.0,0.0,0.0
33044,0.0536136,0.0,0.0,0.0,0.0,0.0
33045,0.097919665,0.0,0.0,0.008285105,0.013194626999999999,0.0
34001,0.032211266,0.0,0.0073436759999999995,0.0,0.0,0.0
34004,0.032847095,0.0,0.0,0.0,0.0,0.0
34005,0.022881651,0.0,0.0,0.0,0.0,0.010826866999999999
34007,0.27790582,0.011849219,0.0,0.0,0.0,0.0
34014,0.011476271000000001,0.0,0.004557881,0.015324863999999999,0.0,0.004307175999999999
35002,0.010637947,0.0,0.0,0.0,0.0,0.0
35003,0.00428809,0.0,0.0,0.012882862,0.0208447,0.0
35004,0.0054816959999999994,0.0,0.0,0.004259913,0.0,0.0
35008,0.009608924,0.044508304000000005,0.0,0.004392242,0.0,0.0
36006,0.0,0.0,0.0,0.0,0.004580608,0.0
