,0,1,2,3
47004,0.004855633,0.0,0.0,0.0
47009,0.0,0.0016241692,0.0013893351,0.0
47013,0.10544445,0.0,0.0,0.0
47019,0.009697589,0.0013209508999999999,0.0,0.0
47020,0.02453654,0.0,0.0024715436,0.0
47021,0.09514303,0.0,0.0,0.0
48001,-1.0,0.005560137299999999,0.0,0.0
48004,0.37581658,0.0019377177999999999,0.0,0.0
48009,0.0019722022000000002,0.0,0.0,0.0
48010,0.021270717999999997,0.0015770720000000001,0.0,0.0016867107000000001
48011,0.04238243,0.0015174396,0.0,0.0
49003,0.27695817,0.0,0.0,0.0
49006,0.0,0.0019785925,0.0,0.0
