,0,1,2,3
33065,0.00037453137000000004,0.0,0.0,0.0
38003,0.013299982,0.0,0.0,0.0
38011,0.052895013,0.0,0.0,0.0
38012,0.00036761598,0.0,0.0,0.0
38017,0.06013922,0.0,0.0,0.0
38018,0.0011411596,0.0,0.0,0.0
38033,0.0007343635000000001,0.0,0.0,0.0
39013,0.0,0.000775073,0.0,0.0
39014,0.021287507999999997,0.00089237356,0.0,0.0
39030,0.0044239373,0.0,0.0,0.0
39088,0.026828436,0.0,0.0,0.00056013424
39089,0.2323073,0.0015194448999999999,0.0,0.0
39125,-1.0,0.54925287,0.006303994,0.020976616
39126,0.00162951,0.00088615465,0.0,0.0
