,0,1,2,3
369483,0.0,0.005304388,0.0,0.0
371600,0.005054368,0.0013352045000000002,0.0,0.0
371799,0.0013464345999999999,0.0,0.0,0.0
372437,0.0014167132999999999,0.0,0.0,0.0
374385,0.0011152613,0.0,0.0,0.0
47001,0.22521794,0.0,0.0,0.0
47006,-1.0,0.022230952999999998,0.009256255,0.0048797354
47008,0.34065762,0.0,0.0,0.0
47013,0.005660406999999999,0.0,0.0,0.0
47014,0.0013106447,0.0,0.0,0.0
47015,0.10657691,0.0,0.0,0.0
47018,0.16646151,0.0013894548,0.0,0.0
47020,0.06364617,0.0,0.0,0.0
47024,0.0049505294,0.0,0.0,0.0
47025,0.00578049,0.0046992023,0.0,0.0
