,0,1,2,3,4
37019,0.02685103,0.0,0.0,0.0,0.0
37031,0.0053232033,0.0,0.0,0.0,0.0
38003,0.003858965,0.008067929,0.0,0.0,0.0
38007,0.029845537999999998,0.0,0.0,0.0,0.0
38011,0.0,0.0,0.006423613000000001,0.0,0.00883726
38012,0.004209381,0.0,0.0,0.0,0.0
38020,0.013447975,0.0,0.0,0.0,0.0
38021,0.0039361529999999995,0.0,0.0,0.0,0.0
38030,0.014897873999999998,0.0,0.0,0.0,0.0
39001,0.0,0.0032811966,0.0,0.06652579,0.0
39003,0.005075167,0.0,0.0,0.0,0.0
39012,0.0555908,0.0,0.0,0.005266806,0.0
39014,0.0039180573,0.0,0.0,0.007347993000000001,0.0
39029,0.033772282,0.0,0.0,0.0,0.0
39030,0.0,0.006499336999999999,0.0,0.0,0.0
39036,0.00522048,0.0,0.0,0.0,0.0
39049,0.004563846,0.0,0.0,0.0,0.0
39058,0.39052040000000005,0.0,0.0,0.0,0.0
39079,0.078751825,0.0,0.0,0.0,0.0
39088,0.012182295,0.0,0.007680329499999999,0.0,0.0
39096,0.009755602,0.0,0.0,0.0,0.0
40003,0.010619394499999999,0.0,0.0,0.0,0.0
40005,0.0,0.0,0.0039870576,0.0,0.0
40009,0.01839379,0.0,0.0,0.0,0.0
40016,0.020299096000000003,0.0,0.0,0.0,0.0
41030,0.0059391222999999995,0.0,0.0,0.0,0.0
