,0,1,2,3
256229,0.0007166688,0.0,0.0,0.0
261436,0.0005547745999999999,0.00073564966,0.0,0.0
263709,0.0006877706,0.0005220377,0.0,0.0
263853,0.0009796813000000001,0.0007642149,0.0,0.0
264250,0.0009113444,0.0,0.0,0.0
264253,0.0009958012,0.0,0.0,0.0
264282,0.0008033170599999999,0.0,0.0,0.0
264844,0.0,0.00070581754,0.0,0.0
273622,0.0,0.0,0.0,0.0006135373
39027,0.002376111,0.0,0.003771955,0.0050382023
39046,0.00054088974,0.0,0.0,0.0
39065,-1.0,0.77743685,0.16463354,0.027076299999999998
39130,0.0,0.0010558214,0.0,0.0
