,0,1,2,3,4,5
45002,0.007964271,0.017632628,0.0,0.0,0.0,0.0
45003,0.0,0.0,0.015911315,0.0073853033,0.0,0.0
45005,0.007083686999999999,0.04394357,0.02353969,0.0,0.0,0.0055572726000000005
45012,0.0,0.016258894,0.013420293,0.0,0.0084431395,0.0
46003,0.38474697,0.05532401,0.040289447,0.015042985,0.009596061999999999,0.009873853
47001,0.0,0.0060819546,0.0,0.0,0.0,0.0
47004,0.005956348,0.019232364,0.0,0.0,0.0,0.0
47007,0.0,0.055654824000000006,0.0,0.017115653,0.0,0.0
48001,0.026396262,0.0,0.015960803,0.006844156,0.0063183126,0.0
50001,0.0,0.0065111066,0.01374466,0.0,0.0,0.0
50002,0.012840431000000001,0.010993913000000001,0.0,0.0,0.0,0.0
50006,0.0,0.0066120946,0.007420633,0.0,0.0,0.0
