,0,1,2,3
180956,0.026730043999999998,0.0,0.0,0.0
181415,0.0,0.0,0.0,0.0060729734
38001,0.0,0.007745866999999999,0.0,0.0
38002,0.20544843,0.027757462000000004,0.0,0.0052812580000000005
38004,0.45098457,0.0,0.0,0.0
38007,0.020424448,0.0,0.0,0.008154266
38012,0.035577882000000005,0.0,0.0,0.0047367592
38016,0.006680088000000001,0.0,0.0,0.0
38018,0.0,0.014532853,0.0,0.0
38028,0.0048211140000000005,0.0,0.0,0.00633677
38029,-1.0,0.017676223,0.008562581,0.0
38030,0.0071761740000000004,0.028390145,0.0,0.0
38031,0.0,0.014730113000000001,0.0,0.0
