,0,1,2,3,4,5
47005,0.043415915,0.0,0.0,0.0,0.0,0.0
47010,0.042391133,0.0,0.01087825,0.0124454945,0.0,0.0
47013,0.02207164,0.0,0.0,0.00703814,0.0090099815,0.0
47014,0.028828269,0.0,0.0,0.0,0.008433807,0.0
47019,0.0,0.0,0.0,0.0,0.0,0.00518109
47020,0.15001673,0.0,0.0,0.0,0.0,0.0
47021,0.012717029,0.0,0.0,0.0,0.0,0.0
47024,0.0,0.007400333,0.0,0.0,0.00573245,0.0
47025,0.012015808000000001,0.005296326,0.0,0.0,0.015727651999999998,0.0
48001,0.051331352000000004,0.0058402396,0.0,0.0,0.0,0.0
48004,0.0073315627000000005,0.0,0.0,0.0,0.007995543,0.0
48008,0.0,0.0,0.005988009,0.0,0.0,0.0
48011,0.01886787,0.0,0.0,0.0,0.0,0.0
48012,0.0045742840000000005,0.0,0.0,0.0,0.0,0.0
49001,0.21781743,0.0,0.0,0.0,0.0,0.0
49003,0.02692152,0.0,0.0,0.0,0.0060274266,0.0
49004,0.0,0.0056983936,0.0046601426,0.0,0.0,0.0
50008,0.0,0.0,0.0,0.010896527,0.0,0.008488866999999999
50009,0.037923522,0.0,0.0,0.0,0.0,0.0
