,0,1,2,3,4,5
46003,0.0,0.00097342726,0.0,0.0,0.0011637083,0.0
46006,0.0,0.0,0.0,0.0010378635000000002,0.0,0.0
46007,0.0,0.0,0.0,0.0013129974,0.0,0.0
47001,0.22830833,0.0,0.0,0.0,0.0,0.0
47004,0.0,0.0,0.0,0.0,0.0,0.001668934
47005,0.30269393,0.0,0.0017190708,0.0010229206,0.0,0.0
47007,0.0,0.0010505628,0.0,0.0,0.0,0.0
47008,0.0010422035,0.0,0.0,0.0,0.0,0.0010529143
47009,0.0,0.0,0.0,0.0034035148999999997,0.007896321999999999,0.0
47010,0.11926575,0.0,0.0,0.0,0.0,0.0
47013,0.0,0.0,0.003203177,0.0,0.0,0.0
47014,0.0,0.0,0.002860969,0.0,0.0,0.0
47015,0.0,0.0,0.0013048698,0.0010355194,0.0,0.0
47018,0.0048812213,0.0,0.0,0.0,0.0,0.0
47020,0.0,0.0,0.0,0.0018131775,0.0,0.0
48004,0.0,0.0,0.0,0.0,0.001069221,0.0
48009,0.0013594767000000001,0.0,0.0,0.0,0.0,0.0
48010,0.0,0.0011537003,0.0,0.0,0.0037079887,0.0031676766999999997
49003,0.0101320995,0.0,0.0014072153,0.0,0.0,0.0
50001,0.0014619079999999998,0.0,0.0,0.0,0.0,0.0
50002,0.2126771,0.0,0.0,0.0,0.0,0.0
50008,0.027363002,0.0,0.0,0.0,0.0,0.0
50009,0.012745247,0.0,0.0,0.0,0.0,0.0
