,0,1,2,3
180956,0.0,0.018357104,0.0,0.0
181415,0.03489429,0.02720858,0.0,0.0
183969,0.008726214,0.012993949,0.0,0.0
223524,0.024878515,0.041453738,0.0,0.0
224050,0.0,0.0,0.010535838999999998,0.0
230425,0.01213927,0.0,0.0,0.0
231780,0.008899705,0.0,0.0,0.0
33021,0.0,0.030498362999999997,0.0,0.0
33024,0.0,0.02402837,0.0443836,0.0
33051,0.20271760000000003,0.018291295,0.0,0.0
33053,0.0,0.011063709,0.0,0.0
33055,0.18245123,0.038159255,0.0,0.0
33056,0.0,0.031562135,0.0,0.0
37016,0.11968474,0.0,0.0,0.0
33066,-1.0,,,
