,0,1,2,3
27022,0.010421696999999999,0.0,0.006665039,0.0
580664,0.005721706,0.0,0.0,0.0
598145,0.012451626,0.011271985,0.012548908000000001,0.005119407
598285,0.009455301999999999,0.016685527,0.0,0.0
598343,0.0,0.009370844,0.0,0.0
598678,0.005826638,0.0,0.0,0.0
598691,0.013969684,0.0,0.0,0.0
598802,0.014203738999999998,0.0,0.0,0.0
598929,0.004113072,0.0,0.0,0.0
600023,0.0,0.010959027,0.0,0.007360874
72015,0.0055112196,0.0,0.0,0.0
76014,0.73287725,0.0,0.0,0.0
76021,-1.0,0.037958816,0.0,0.006425485999999999
