,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1965-01-16,8.524208,8.957041,8.833551,8.561737,8.788784,8.976691,8.522579,8.407897,9.013973,8.290708,8.97507,8.883316,8.239232,8.281871,9.09051,8.922071,8.33421,7.8111143,8.481882,8.574059
1965-01-17,2.1423016,2.3339257,2.2676687,2.0812488,2.7388327,2.145282,2.0025146,1.9165418,2.7216878,2.3841412,2.2375512,2.0213327,2.2626488,2.104196,1.807599,2.5058591,1.8965358,2.1271348,2.4982743,2.2029736
1965-01-18,2.7081032,1.7422956,1.7651273,2.0590782,1.8403463,1.6731311,2.1842413,2.0539536,1.5290419,1.8051124,1.8026385,1.7934809,2.2474418,2.0958648,1.9327784,2.3454585,2.2480743,2.3229032,1.9460821,1.5463785
1965-01-19,2.6849208,2.593229,3.1430995,2.6564946,2.630298,2.9843793,2.5819945,3.4922383,2.8470974,2.557499,2.4670243,2.9920022,2.5708783,2.5486639,3.0659547,2.3366516,2.5574858,2.9538293,2.5296984,2.5685744
1965-01-20,2.8099918,3.5840309,3.323205,2.5135992,3.0938096,2.6608903,3.2337384,3.1799626,2.867993,3.2318184,3.1141875,3.022218,2.9797478,3.7515285,2.6713285,3.1646287,2.9637353,2.5917912,2.7348776,3.3612485
1965-01-21,2.363607,2.1280413,1.7894027,1.9618975,1.9070375,1.6888345,1.6478691,2.122977,1.6648902,2.0360901,1.5684588,1.7442607,2.0424716,1.9951773,1.6766944,1.8258661,1.961917,2.1056416,1.9241894,1.8633178
1965-01-22,2.8611436,2.868293,3.052556,3.2818902,3.2881773,2.5983708,2.675993,3.2102032,2.6531632,2.874574,3.067654,2.699239,2.643505,2.8745735,2.6853254,2.8785536,2.789901,3.0390496,2.6230283,2.870718
1965-01-23,2.8414357,3.1583915,3.0296032,3.0552833,2.1630485,2.5416179,2.6486893,3.041462,2.7781203,2.8467886,2.044598,2.725928,2.2232084,2.5207963,2.7052517,2.4821692,2.8181605,2.813754,2.4986253,2.217592
1965-01-24,7.2411165,6.574711,6.867136,6.734846,6.430274,6.5248637,6.7177663,6.5719085,6.4075065,6.284452,6.9758506,5.9402933,6.2223525,6.102811,6.558069,6.696085,6.3435316,6.502806,6.848773,6.3553457
1965-01-25,2.1399763,1.6583716,1.550869,1.3242553,1.8310056,2.1173136,1.2434305,2.0349457,1.5774763,2.0404263,2.1243565,2.0604897,2.106085,2.195876,1.9164544,2.6965585,2.0401144,1.4013877,2.0940313,1.4601059
1965-01-26,1.5741804,1.9583316,1.6389701,1.5080317,1.3009019,1.3678523,1.45777,1.7112699,1.821197,1.6915586,1.3774469,1.3781224,2.0492797,1.676261,1.6216097,1.4768404,1.8031229,1.8119584,1.5467362,1.2305127
1965-01-27,1.275156,1.6104438,1.2914072,1.3284421,1.3217286,1.291904,1.0606419,1.2808033,1.5050819,1.4496772,1.3877025,1.4008458,1.2393317,1.2675719,1.5422764,1.2853893,0.8968107,1.1561917,1.2684172,1.303224
1965-01-28,1.0659871,1.2447128,1.0516808,1.3913746,1.3489536,1.3218555,1.0471876,0.8592284,1.1627637,1.1305231,1.1860569,0.86185974,0.91178185,1.0882854,0.90950865,1.0946459,1.2805192,1.2285744,1.2284168,0.91906965
1965-01-29,1.076224,1.2375557,1.1739331,1.0456609,1.142164,1.2226816,1.19657,1.1644987,1.2774663,1.0926557,1.2386389,0.94578356,0.9337912,1.0627179,1.0830752,0.97506016,1.2169163,1.2978798,1.0453668,1.0250945
1965-01-30,1.1046312,1.0759934,1.1353315,0.9584005,1.1450343,1.1265861,1.0111034,1.0335194,1.1823894,1.0450317,1.158673,0.9610758,0.97193104,1.08066,1.1948298,1.1045219,1.1254458,1.0934454,1.0477973,0.8579588
1965-01-31,1.133114,1.0008873,1.104341,1.0740256,1.1705577,1.1167879,1.0022643,0.99986315,1.1125232,1.0150152,1.1394982,0.9828209,0.994193,1.0499647,1.1134626,1.0102649,1.0103362,1.0541975,1.058465,0.94571614
1965-02-01,1.0342718,0.91967845,1.0146711,0.9658514,1.0276247,1.0533179,0.93323165,0.87681973,0.922806,0.9629657,1.0076814,0.9552285,0.88569796,0.93406576,0.96956706,0.92071295,1.0006775,0.9618702,0.99661225,0.9419627
1965-02-02,0.8983862,0.86349654,0.8928754,0.8931211,0.93482184,0.9459419,0.8492631,0.75319344,0.8659846,0.8248856,0.8966239,0.8842283,0.81823164,0.90793246,0.8713958,0.8343978,0.99604845,0.83909976,0.9102266,0.91192377
1965-02-03,0.87973326,0.9366126,0.9547904,0.86884063,0.9036719,0.9914047,0.8653679,0.8102034,0.8679607,0.87413555,0.8451658,0.91521937,0.8551162,0.9547759,0.8830231,0.8945574,0.998753,0.8236114,0.8723334,0.98016644
1965-02-04,0.8539194,0.9003184,0.90116596,0.81628406,0.8522452,0.9471028,0.8340062,0.7938473,0.83037937,0.81684697,0.76105577,0.8210528,0.81877434,0.88110864,0.84231496,0.8098295,0.87140733,0.7494633,0.77903455,0.91934764
1965-02-05,0.92183584,0.92006755,0.91908133,0.88809633,0.90524995,1.0149077,0.88169056,0.8595235,0.9441297,0.9198112,0.844308,0.88333917,0.8874949,0.9481843,0.9170095,0.87319714,0.95807624,0.8742688,0.8895739,0.9766365
1965-02-06,0.9489099,0.902042,0.8824256,0.8827671,0.9389221,0.991171,0.89101994,0.8442898,0.9481717,0.9379971,0.84250563,0.8786247,0.9205157,0.9404719,0.89791316,0.8956821,0.95628947,0.8661405,0.8977832,1.0133198
1965-02-07,0.8678393,0.7923059,0.7532904,0.759477,0.8415261,0.89712197,0.79498637,0.7614897,0.87121385,0.84258056,0.7493568,0.78385824,0.8629178,0.85875064,0.81025136,0.8087141,0.8525905,0.7854854,0.81241614,0.93678474
1965-02-08,0.78881437,0.67758834,0.6760702,0.63831764,0.74855745,0.80854225,0.7153543,0.6524351,0.7875285,0.7361049,0.653928,0.70416296,0.75800973,0.75747657,0.73188514,0.7037876,0.73813844,0.7082447,0.7059433,0.8454943
1965-02-09,0.7271978,0.65286887,0.64887106,0.6239809,0.69933385,0.7503427,0.6943095,0.6506188,0.80014956,0.7175756,0.634576,0.6623473,0.70123065,0.7136494,0.6939891,0.69223744,0.71848845,0.67408466,0.6599932,0.79193544
