,46005,orig
1964-03-31,0.7,0.7
1964-04-01,0.657,0.657
1964-04-02,0.604,0.604
1964-04-03,0.579,0.579
1964-04-04,0.623,0.623
1964-04-05,0.683,0.683
1964-04-06,0.643,0.643
1964-04-07,0.564,0.564
1964-04-08,0.494,0.494
1964-04-09,0.457,0.457
1964-04-10,0.448,0.448
1964-04-11,0.476,0.476
1964-04-12,0.697,0.697
1964-04-13,0.603,0.603
1964-04-14,0.503,0.503
1964-04-15,3.84,3.84
1964-04-16,1.98,1.98
1964-04-17,1.14,1.14
1964-04-18,0.674,0.674
1964-04-19,0.6,0.6
1964-04-20,2.03,2.03
1964-04-21,4.06,4.06
1964-04-22,3.21,3.21
1964-04-23,1.19,1.19
1964-04-24,0.758,0.758
1964-04-25,0.713,0.713
1964-04-26,0.659,0.659
1964-04-27,0.835,0.835
1964-04-28,3.18,3.18
1964-04-29,0.864,0.864
1964-04-30,0.662,0.662
1964-05-01,0.706,0.706
1964-05-02,1.86,1.86
1964-05-03,1.69,1.69
1964-05-04,0.885,0.885
1964-05-05,0.77,0.77
1964-05-06,1.5,1.5
1964-05-07,2.23,2.23
1964-05-08,0.926,0.926
1964-05-09,0.885,0.885
1964-05-10,0.854,0.854
1964-05-11,0.735,0.735
1964-05-12,0.642,0.642
1964-05-13,0.615,0.615
1964-05-14,0.55,0.55
1964-05-15,0.522,0.522
1964-05-16,0.513,0.513
1964-05-17,0.497,0.497
1964-05-18,0.516,0.516
1964-05-19,0.49,0.49
1964-05-20,0.461,0.461
1964-05-21,0.752,0.752
1964-05-22,0.677,0.677
1964-05-23,1.33,1.33
1964-05-24,1.15,1.15
1964-05-25,1.33,1.33
1964-05-26,0.649,0.649
1964-05-27,0.533,0.533
1964-05-28,0.489,0.489
1964-05-29,0.465,0.465
1964-05-30,0.454,0.454
1964-05-31,0.454,0.454
1964-06-01,0.643,0.643
1964-06-02,0.582,0.582
1964-06-03,0.661,0.661
1964-06-04,0.777,0.777
1964-06-05,0.543,0.543
1964-06-06,5.4,5.4
1964-06-07,3.45,3.45
1964-06-08,0.878,0.878
1964-06-09,0.601,0.601
1964-06-10,0.507,0.507
1964-06-11,0.479,0.479
1964-06-12,0.56,0.56
1964-06-13,0.535,0.535
1964-06-14,0.816,0.816
1964-06-15,0.964,0.964
1964-06-16,0.511,0.511
1964-06-17,0.461,0.461
1964-06-18,0.418,0.418
1964-06-19,0.384,0.384
1964-06-20,0.369,0.369
1964-06-21,0.378,0.378
1964-06-22,0.371,0.371
1964-06-23,0.363,0.363
1964-06-24,0.339,0.339
1964-06-25,0.329,0.329
1964-06-26,0.326,0.326
1964-06-27,0.318,0.318
1964-06-28,0.321,0.321
1964-06-29,0.306,0.306
1964-06-30,0.287,0.287
1964-07-01,0.279,0.279
1964-07-02,0.265,0.265
1964-07-03,0.265,0.265
1964-07-04,0.263,0.263
1964-07-05,0.258,0.258
1964-07-06,0.258,0.258
1964-07-07,0.468,0.468
1964-07-08,0.885,0.885
1964-07-09,0.431,0.431
1964-07-10,0.411,0.411
1964-07-11,0.973,0.973
1964-07-12,2.27,2.27
1964-07-13,0.46,0.46
1964-07-14,3.82,3.82
1964-07-15,1.11,1.11
1964-07-16,0.446,0.446
1964-07-17,0.372,0.372
1964-07-18,0.35,0.35
1964-07-19,0.367,0.367
1964-07-20,0.339,0.339
1964-07-21,0.294,0.294
1964-07-22,0.278,0.278
1964-07-23,0.269,0.269
1964-07-24,0.269,0.269
1964-07-25,0.268,0.268
1964-07-26,0.275,0.275
1964-07-27,0.268,0.268
1964-07-28,0.254,0.254
1964-07-29,0.245,0.245
1964-07-30,0.245,0.245
1964-07-31,0.245,0.245
1964-08-01,0.253,0.253
1964-08-02,0.264,0.264
1964-08-03,0.238,0.238
1964-08-04,0.22,0.22
1964-08-05,0.205,0.205
1964-08-06,0.223,0.223
1964-08-07,0.35,0.35
1964-08-08,0.916,0.916
1964-08-09,0.329,0.329
1964-08-10,0.256,0.256
1964-08-11,0.221,0.221
1964-08-12,0.195,0.195
1964-08-13,0.189,0.189
1964-08-14,0.207,0.207
1964-08-15,0.496,0.496
1964-08-16,0.282,0.282
1964-08-17,1.14,1.14
1964-08-18,2.06,2.06
1964-08-19,0.922,0.922
1964-08-20,0.336,0.336
1964-08-21,0.26,0.26
1964-08-22,0.221,0.221
1964-08-23,0.232,0.232
1964-08-24,0.737,0.737
1964-08-25,0.387,0.387
1964-08-26,0.24,0.24
1964-08-27,0.209,0.209
1964-08-28,0.198,0.198
1964-08-29,0.194,0.194
1964-08-30,0.194,0.194
1964-08-31,0.19,0.19
1964-09-01,0.184,0.184
1964-09-02,0.18,0.18
1964-09-03,0.169,0.169
1964-09-04,0.171,0.171
1964-09-05,0.193,0.193
1964-09-06,0.198,0.198
1964-09-07,0.202,0.202
1964-09-08,0.202,0.202
1964-09-09,0.208,0.208
1964-09-10,0.202,0.202
1964-09-11,0.194,0.194
1964-09-12,0.188,0.188
1964-09-13,0.186,0.186
1964-09-14,0.31,0.31
1964-09-15,1.18,1.18
1964-09-16,0.593,0.593
1964-09-17,0.804,0.804
1964-09-18,0.396,0.396
1964-09-19,0.424,0.424
1964-09-20,0.333,0.333
1964-09-21,0.268,0.268
1964-09-22,0.24,0.24
1964-09-23,0.218,0.218
1964-09-24,0.207,0.207
1964-09-25,0.205,0.205
1964-09-26,0.229,0.229
1964-09-27,0.278,0.278
1964-09-28,0.229,0.229
1964-09-29,0.203,0.203
1964-09-30,0.191,0.191
1964-10-01,0.186,0.186
1964-10-02,0.185,0.185
1964-10-03,0.185,0.185
1964-10-04,0.183,0.183
1964-10-05,0.294,0.294
1964-10-06,0.369,0.369
1964-10-07,3.33,3.33
1964-10-08,2.25,2.25
1964-10-09,4.07,4.07
1964-10-10,1.83,1.83
1964-10-11,1.38,1.38
1964-10-12,0.768,0.768
1964-10-13,0.54,0.54
1964-10-14,0.512,0.512
1964-10-15,4.09,4.09
1964-10-16,1.26,1.26
1964-10-17,0.722,0.722
1964-10-18,0.626,0.626
1964-10-19,0.574,0.574
1964-10-20,0.513,0.513
1964-10-21,0.468,0.468
1964-10-22,0.511,0.511
1964-10-23,0.777,0.777
1964-10-24,0.738,0.738
1964-10-25,0.805,0.805
1964-10-26,0.579,0.579
1964-10-27,0.478,0.478
1964-10-28,0.429,0.429
1964-10-29,0.402,0.402
1964-10-30,0.42,0.42
1964-10-31,0.402,0.402
1964-11-01,0.389,0.389
1964-11-02,0.379,0.379
1964-11-03,0.354,0.354
1964-11-04,0.327,0.327
1964-11-05,0.309,0.309
1964-11-06,0.299,0.299
1964-11-07,0.3,0.3
1964-11-08,0.309,0.309
1964-11-09,0.311,0.311
1964-11-10,0.299,0.299
1964-11-11,0.761,0.761
1964-11-12,1.49,1.49
1964-11-13,7.33,7.33
1964-11-14,2.59,2.59
1964-11-15,5.16,5.16
1964-11-16,3.48,3.48
1964-11-17,4.79,4.79
1964-11-18,1.58,1.58
1964-11-19,1.17,1.17
1964-11-20,0.924,0.924
1964-11-21,0.809,0.809
1964-11-22,0.75,0.75
1964-11-23,0.834,0.834
1964-11-24,0.797,0.797
1964-11-25,0.814,0.814
1964-11-26,0.683,0.683
1964-11-27,0.722,0.722
1964-11-28,1.19,1.19
1964-11-29,1.79,1.79
1964-11-30,1.49,1.49
1964-12-01,1.6,1.6
1964-12-02,1.11,1.11
1964-12-03,1.12,1.12
1964-12-04,0.788,0.788
1964-12-05,1.58,1.58
1964-12-06,2.43,2.43
1964-12-07,5.07,5.07
1964-12-08,1.72,1.72
1964-12-09,5.45,5.45
1964-12-10,1.09,1.09
1964-12-11,1.24,1.24
1964-12-12,7.04,7.04
1964-12-13,4.8,4.8
1964-12-14,1.25,1.25
1964-12-15,0.997,0.997
1964-12-16,0.899,0.899
1964-12-17,0.854,0.854
1964-12-18,0.77,0.77
1964-12-19,0.695,0.695
1964-12-20,0.678,0.678
