,orig
2018-08-20,0.805
2018-08-21,0.784
2018-08-22,0.814
2018-08-23,1.07
2018-08-24,1.42
2018-08-25,1.22
2018-08-26,1.12
2018-08-28,1.5
2018-08-29,1.25
2018-08-30,1.1
2018-08-31,1.05
2018-09-01,0.92
2018-09-02,0.888
2018-09-03,0.881
2018-09-04,0.904
2018-09-05,0.861
2018-09-06,0.892
2018-09-07,0.976
2018-09-08,1.09
2018-09-09,1.06
2018-09-11,0.992
2018-09-12,0.989
2018-09-13,0.96
2018-09-14,0.894
2018-09-15,0.956
2018-09-16,1.16
2018-09-17,1.21
2018-09-18,1.32
2018-09-19,1.16
2018-09-20,1.37
2018-09-21,2.04
2018-09-22,2.48
2018-09-23,1.96
2018-09-24,1.55
2018-09-25,1.31
2018-09-26,1.22
2018-09-27,1.13
2018-09-28,1.07
2018-09-29,1.03
2018-09-30,1.07
2018-10-01,1.0
2018-10-02,0.999
2018-10-03,1.07
2018-10-04,1.06
2018-10-05,1.07
2018-10-06,1.18
2018-10-07,1.38
2018-10-08,1.23
2018-10-09,1.16
2018-10-10,1.14
2018-10-11,1.08
2018-10-12,1.01
2018-10-13,0.989
2018-10-14,1.29
2018-10-15,1.61
2018-10-16,1.61
2018-10-17,1.39
2018-10-18,1.27
2018-10-19,1.19
2018-10-20,1.09
2018-10-21,1.08
2018-10-22,1.06
2018-10-23,1.07
2018-10-24,1.1
2018-10-25,1.08
2018-10-26,1.11
2018-10-27,1.14
2018-10-28,1.09
2018-10-29,1.09
2018-10-30,1.13
2018-10-31,1.11
2018-11-01,1.09
2018-11-02,1.13
2018-11-03,1.04
2018-11-04,1.11
2018-11-05,1.13
2018-11-06,1.06
2018-11-07,1.13
2018-11-08,1.28
2018-11-09,1.21
2018-11-10,1.38
2018-11-12,1.36
2018-11-13,1.25
2018-11-14,1.11
2018-11-15,1.09
2018-11-16,1.05
2018-11-17,1.01
2018-11-18,1.04
2018-11-19,1.07
2018-11-20,1.23
2018-11-21,1.57
2018-11-22,1.63
2018-11-23,1.48
2018-11-24,1.31
2018-11-25,1.24
2018-11-26,1.18
2018-11-27,1.36
2018-11-28,2.2
2018-11-29,2.48
2018-11-30,2.16
2018-12-01,1.77
2018-12-02,1.73
2018-12-03,1.77
2018-12-04,1.8
2018-12-05,1.8
2018-12-06,2.07
2018-12-07,2.16
2018-12-08,2.72
2018-12-09,2.45
2018-12-10,2.06
2018-12-11,1.82
2018-12-12,1.61
2018-12-13,1.5
2018-12-14,1.3
2018-12-15,1.16
2018-12-16,1.21
2018-12-17,1.17
2018-12-18,1.74
2018-12-19,2.61
2018-12-20,2.53
2018-12-21,2.73
2018-12-22,3.14
2018-12-23,3.45
2018-12-24,3.86
2018-12-25,3.23
2018-12-26,2.51
2018-12-27,2.16
2018-12-28,1.97
2018-12-29,1.88
2018-12-30,1.79
2018-12-31,1.76
2019-01-01,1.69
2019-01-02,1.56
2019-01-03,1.5
2019-01-04,1.52
2019-01-05,1.46
2019-01-06,1.42
2019-01-07,1.45
2019-01-08,1.51
2019-01-09,1.41
2019-01-10,1.4
2019-01-11,1.43
2019-01-12,1.5
2019-01-13,1.55
2019-01-14,1.43
2019-01-15,1.44
2019-01-16,1.49
2019-01-17,1.57
2019-01-18,1.48
2019-01-19,1.43
2019-01-20,1.5
2019-01-21,1.51
2019-01-22,1.49
2019-01-23,1.48
2019-01-24,1.47
2019-01-25,1.49
2019-01-26,1.62
2019-01-27,1.78
2019-01-28,1.76
2019-01-29,1.68
2019-01-30,1.74
2019-01-31,1.76
2019-02-01,1.73
