,33013,orig,nn_m,nn_std
1953-10-05,0.48100000000000004,0.48100000000000004,0.47552714601698526,0.010920598624777032
1953-10-06,0.48100000000000004,0.48100000000000004,0.48791467516591747,0.013346643441493902
1953-10-07,0.425,0.425,0.43650293365915954,0.012514158960976697
1953-10-08,0.34,0.34,0.38181319619966225,0.014485237721619089
1953-10-09,0.34,0.34,0.34425755491479787,0.010566736639418883
1953-10-10,0.34,0.34,0.3644722164940242,0.010522569871747676
1953-10-11,0.34,0.34,0.3251694319138881,0.017216594205206454
1953-10-12,0.34,0.34,0.3399184377146812,0.015406866532014825
1953-10-13,0.425,0.425,0.35724317059502014,0.0155641902077276
1953-10-14,0.425,0.425,0.4764457019626665,0.027351551316183487
1953-10-15,0.48100000000000004,0.48100000000000004,0.4057107562821234,0.023758419465961692
1953-10-16,0.48100000000000004,0.48100000000000004,0.474331897760957,0.022355797163264614
1953-10-17,0.48100000000000004,0.48100000000000004,0.43955292798392304,0.02177294722032692
1953-10-18,0.297,0.297,0.44052137806220426,0.02101204413077482
1953-10-19,0.297,0.297,0.30172198704538683,0.026123765656811498
1953-10-20,0.297,0.297,0.3037753095676665,0.01566529052936935
1953-10-21,0.255,0.255,0.3081149309755586,0.014485979256349743
1953-10-22,0.221,0.221,0.31852234811009483,0.012345894769753733
1953-10-23,0.297,0.297,0.23645547594615274,0.0073173484545546045
1953-10-24,0.297,0.297,0.2964517368889734,0.00997845490800613
1953-10-25,0.297,0.297,0.30057435069399874,0.007406947533665556
1953-10-26,0.297,0.297,0.28715949744486213,0.007290581861113811
1953-10-27,0.297,0.297,0.2981557827583424,0.0062362022285476675
1953-10-28,0.34,0.34,0.3650531257868513,0.01018046828746169
1953-10-29,0.425,0.425,0.3925376534045036,0.012192344397873082
1953-10-30,0.48100000000000004,0.48100000000000004,0.4078859268209933,0.01137614320827005
1953-10-31,0.48100000000000004,0.48100000000000004,0.501518908131701,0.009208610871318941
1953-11-01,0.48100000000000004,0.48100000000000004,0.5360484049929131,0.015773282311211487
1953-11-02,0.48100000000000004,0.48100000000000004,0.4896050199750684,0.013307420087634345
1953-11-03,0.524,0.524,0.5204374923284943,0.01432281668708933
1953-11-04,0.5660000000000001,0.5660000000000001,0.5493923850216536,0.010413213955648162
1953-11-05,0.623,0.623,0.6558714002710759,0.01100926910044571
1953-11-06,0.736,0.736,0.6258097461296952,0.01067664297827161
1953-11-07,0.736,0.736,0.731564843094946,0.015426204401639753
1953-11-08,0.85,0.85,0.6864351827326692,0.014704345470397616
1953-11-09,0.85,0.85,0.810855782941437,0.013880845598071765
1953-11-10,0.85,0.85,0.8137194340384167,0.018460093854764225
1953-11-11,0.963,0.963,0.833189256959777,0.02386068668494395
1953-11-12,0.85,0.85,0.7512203223172149,0.025888871534837866
1953-11-13,0.736,0.736,0.764742758351682,0.023794401194573087
1953-11-14,0.736,0.736,0.7271432021224938,0.01789721858082284
1953-11-15,0.736,0.736,0.7646803294553678,0.021856978445618788
1953-11-16,0.736,0.736,0.7121103212512945,0.02074424696318285
1953-11-17,0.68,0.68,0.7064772037936743,0.017870065860069204
1953-11-18,0.623,0.623,0.5930507735609587,0.022961457088628935
1953-11-19,0.623,0.623,0.6377377476657969,0.0201737946086801
1953-11-20,0.524,0.524,0.5914728090572101,0.019866015685516564
1953-11-21,0.524,0.524,0.5187028442025822,0.013367917596200974
1953-11-22,0.623,0.623,0.5217422125680833,0.01296398671418431
