,orig
2019-02-28,0.482
2019-03-01,0.426
2019-03-02,0.452
2019-03-03,0.541
2019-03-04,0.492
2019-03-05,0.554
2019-03-06,4.21
2019-03-07,2.13
2019-03-08,1.36
2019-03-09,1.14
2019-03-10,3.73
2019-03-11,3.54
2019-03-12,6.14
2019-03-13,4.6
2019-03-14,2.84
2019-03-15,1.92
2019-03-16,2.61
2019-03-17,2.06
2019-03-18,1.51
2019-03-19,1.29
2019-03-20,1.1
2019-04-14,0.304
2019-04-15,0.311
2019-04-16,0.314
2019-04-17,0.287
2019-04-18,0.268
2019-04-19,0.253
2019-04-22,0.249
2019-04-23,0.25
2019-04-24,0.253
2019-04-25,0.246
2019-04-27,0.237
2019-04-28,0.225
2019-05-01,0.179
2019-05-02,0.194
2019-05-03,0.196
2019-05-04,0.185
2019-05-05,0.174
2019-05-06,0.19699999999999998
2019-05-07,0.19399999999999998
2019-05-08,0.431
2019-05-09,0.403
2019-05-10,0.28
2019-05-11,1.6540000000000001
2019-06-11,2.66
2019-06-18,2.1
2019-06-19,1.49
2019-06-20,1.0
2019-06-21,0.784
2019-06-22,0.681
2019-06-23,0.626
2019-06-24,0.622
2019-06-25,0.627
2019-06-26,0.594
2019-06-27,0.524
2019-06-28,0.484
2019-06-29,0.458
2019-06-30,0.415
2019-07-01,0.383
2019-07-02,0.314
2019-07-03,0.296
2019-07-04,0.27399999999999997
2019-07-05,0.26
2019-07-06,0.254
2019-07-07,0.243
2019-07-08,0.233
2019-07-09,0.249
2019-07-10,0.261
2019-07-11,0.257
2019-07-12,0.262
2019-07-13,0.285
2019-07-14,0.307
2019-07-15,0.281
2019-07-16,0.248
2019-07-17,0.235
2019-07-18,0.23800000000000002
2019-07-19,0.252
2019-07-20,0.3
2019-07-21,0.273
2019-07-22,0.245
2019-07-23,0.223
2019-07-24,0.253
2019-07-25,0.222
2019-07-26,0.203
2019-07-27,0.33899999999999997
2019-07-28,0.299
2019-07-29,0.272
2019-07-30,0.26899999999999996
2019-08-04,0.21899999999999997
2019-08-05,0.212
2019-08-06,0.207
2019-08-07,0.215
2019-08-08,0.249
2019-08-09,0.44299999999999995
2019-08-10,0.411
2019-08-11,0.282
2019-08-12,0.221
2019-08-13,0.249
2019-08-14,0.287
2019-08-15,0.309
2019-08-16,0.409
2019-08-17,1.31
2019-08-18,0.6729999999999999
2019-08-19,0.45
2019-08-20,0.348
2019-08-21,0.326
2019-08-22,0.305
2019-08-23,0.281
2019-08-24,0.247
2019-08-25,0.244
2019-08-26,0.226
2019-08-27,0.284
2019-08-28,0.383
2019-08-29,0.358
2019-08-30,0.29
2019-08-31,0.265
2019-09-01,0.266
2019-09-02,0.248
2019-09-03,0.235
2019-09-04,0.234
2019-09-05,0.236
2019-09-06,0.226
2019-09-07,0.215
2019-09-08,0.213
2019-09-09,0.21899999999999997
2019-09-10,0.21
2019-09-11,0.213
2019-09-12,0.213
2019-09-13,0.20600000000000002
2019-09-14,0.19399999999999998
2019-09-15,0.23600000000000002
2019-09-16,0.303
2019-09-17,0.269
2019-09-18,0.221
2019-09-19,0.198
2019-09-20,0.195
2019-09-21,0.205
2019-09-22,0.275
2019-09-23,0.298
2019-09-24,0.425
2019-09-25,2.0340000000000003
2019-09-26,2.85
2019-09-27,2.57
2019-09-28,5.215
2019-09-29,15.4
2019-09-30,16.491
2019-10-01,15.328
2019-10-02,10.655999999999999
2019-10-03,8.129
2019-10-04,9.019
2019-10-05,7.4289999999999985
2019-10-06,8.14
2019-10-07,10.0
2019-10-08,8.25
2019-10-09,6.51
2019-10-10,5.11
2019-10-11,4.43
2019-10-12,3.721
2019-10-13,3.56
2019-10-14,13.2
2019-10-15,23.8
2019-10-16,14.2
2019-10-17,9.67
2019-10-18,8.08
2019-10-19,6.78
2019-10-20,5.7010000000000005
2019-10-21,5.52
2019-10-22,4.927
2019-10-23,4.54
2019-10-24,8.63
2019-10-30,8.72
2019-10-31,7.04
2019-11-01,7.07
2019-11-06,7.13
2019-11-07,27.495
2019-11-12,14.7
2019-11-13,10.697000000000001
2019-11-14,9.66
