,34010,orig
1968-04-01,0.421,0.421
1968-04-02,0.476,0.476
1968-04-03,0.508,0.508
1968-04-04,0.498,0.498
1968-04-05,0.445,0.445
1968-04-06,0.436,0.436
1968-04-07,0.4,0.4
1968-04-08,0.289,0.289
1968-04-09,0.265,0.265
1968-04-10,0.254,0.254
1968-04-11,0.254,0.254
1968-04-12,0.25,0.25
1968-04-13,0.246,0.246
1968-04-14,0.24,0.24
1968-04-15,0.232,0.232
1968-04-16,0.24,0.24
1968-04-17,0.298,0.298
1968-04-18,0.362,0.362
1968-04-19,0.295,0.295
1968-04-20,0.264,0.264
1968-04-21,0.25,0.25
1968-04-22,0.248,0.248
1968-04-23,0.245,0.245
1968-04-24,0.234,0.234
1968-04-25,0.256,0.256
1968-04-26,0.245,0.245
1968-04-27,0.227,0.227
1968-04-28,0.199,0.199
1968-04-29,0.206,0.206
1968-04-30,0.224,0.224
1968-05-01,0.223,0.223
1968-05-02,0.218,0.218
1968-05-03,0.218,0.218
1968-05-04,0.316,0.316
1968-05-05,0.461,0.461
1968-05-06,0.33,0.33
1968-05-07,0.294,0.294
1968-05-08,0.275,0.275
1968-05-09,0.256,0.256
1968-05-10,0.245,0.245
1968-05-11,0.26,0.26
1968-05-12,0.227,0.227
1968-05-13,0.26,0.26
1968-05-14,0.227,0.227
1968-05-15,0.223,0.223
1968-05-16,0.227,0.227
1968-05-17,0.215,0.215
1968-05-18,0.199,0.199
1968-05-19,0.192,0.192
1968-05-20,0.195,0.195
1968-05-21,0.195,0.195
1968-05-22,0.192,0.192
1968-05-23,0.186,0.186
1968-05-24,0.175,0.175
1968-05-25,0.175,0.175
1968-05-26,0.179,0.179
1968-05-27,0.182,0.182
1968-05-28,0.175,0.175
1968-05-29,0.166,0.166
1968-05-30,0.172,0.172
1968-05-31,0.166,0.166
1968-06-01,0.15,0.15
1968-06-02,0.141,0.141
1968-06-03,0.135,0.135
1968-06-04,0.129,0.129
1968-06-05,0.132,0.132
1968-06-06,0.135,0.135
1968-06-07,0.138,0.138
1968-06-08,0.138,0.138
1968-06-09,0.147,0.147
1968-06-10,0.141,0.141
1968-06-11,0.153,0.153
1968-06-12,0.141,0.141
1968-06-13,0.129,0.129
1968-06-14,0.123,0.123
1968-06-15,0.106,0.106
1968-06-16,0.086,0.086
1968-06-17,0.13,0.13
1968-06-18,0.149,0.149
1968-06-19,0.149,0.149
1968-06-20,0.155,0.155
1968-06-21,0.134,0.134
1968-06-22,0.122,0.122
1968-06-23,0.114,0.114
1968-06-24,0.122,0.122
1968-06-25,0.128,0.128
1968-06-26,0.128,0.128
1968-06-27,0.248,0.248
1968-06-28,0.917,0.917
1968-06-29,0.935,0.935
1968-06-30,0.503,0.503
1968-07-01,0.458,0.458
1968-07-02,0.257,0.257
1968-07-03,0.196,0.196
1968-07-04,0.165,0.165
1968-07-05,0.157,0.157
1968-07-06,0.145,0.145
1968-07-07,0.132,0.132
1968-07-08,0.149,0.149
1968-07-09,0.153,0.153
1968-07-10,0.186,0.186
1968-07-11,0.266,0.266
1968-07-12,0.25,0.25
1968-07-13,0.232,0.232
1968-07-14,0.214,0.214
1968-07-15,0.22,0.22
1968-07-16,0.208,0.208
1968-07-17,0.203,0.203
1968-07-18,0.212,0.212
1968-07-19,0.19,0.19
1968-07-20,0.173,0.173
1968-07-21,0.161,0.161
1968-07-22,0.152,0.152
1968-07-23,0.18,0.18
1968-07-24,0.18,0.18
1968-07-25,0.164,0.164
1968-07-26,0.144,0.144
1968-07-27,0.134,0.134
1968-07-28,0.131,0.131
1968-07-29,0.124,0.124
1968-07-30,0.124,0.124
1968-07-31,0.122,0.122
1968-08-01,0.121,0.121
1968-08-02,0.131,0.131
1968-08-03,0.165,0.165
1968-08-04,0.17,0.17
1968-08-05,0.165,0.165
1968-08-06,0.163,0.163
1968-08-07,0.402,0.402
1968-08-08,0.6,0.6
1968-08-09,1.64,1.64
1968-08-10,1.26,1.26
1968-08-11,0.577,0.577
1968-08-12,0.459,0.459
1968-08-13,0.459,0.459
1968-08-14,0.506,0.506
1968-08-15,0.44,0.44
1968-08-16,0.494,0.494
1968-08-17,0.598,0.598
1968-08-18,0.531,0.531
1968-08-19,0.514,0.514
1968-08-20,0.447,0.447
1968-08-21,0.386,0.386
1968-08-22,0.34,0.34
1968-08-23,0.305,0.305
1968-08-24,0.286,0.286
1968-08-25,0.279,0.279
1968-08-26,0.244,0.244
1968-08-27,0.228,0.228
1968-08-28,0.235,0.235
1968-08-29,0.232,0.232
1968-08-30,0.244,0.244
1968-08-31,0.22,0.22
1968-09-01,0.21,0.21
1968-09-02,0.246,0.246
1968-09-03,0.25,0.25
1968-09-04,0.221,0.221
1968-09-05,0.21,0.21
1968-09-06,0.195,0.195
1968-09-07,0.182,0.182
1968-09-08,0.173,0.173
1968-09-09,0.167,0.167
1968-09-10,0.167,0.167
1968-09-11,1.45,1.45
1968-09-12,4.87,4.87
1968-09-13,3.31,3.31
1968-09-14,2.21,2.21
1968-09-15,10.8,10.8
1968-09-16,52.8,52.8
1968-09-17,35.2,35.2
1968-09-18,20.6,20.6
1968-09-19,14.2,14.2
1968-09-20,10.8,10.8
1968-09-21,7.75,7.75
1968-09-22,5.4,5.4
1968-09-23,4.47,4.47
1968-09-24,5.9,5.9
1968-09-25,4.54,4.54
1968-09-26,4.69,4.69
1968-09-27,5.34,5.34
1968-09-28,3.75,3.75
1968-09-29,3.28,3.28
1968-09-30,3.36,3.36
1968-10-01,3.05,3.05
1968-10-02,2.96,2.96
1968-10-03,2.5,2.5
1968-10-04,2.07,2.07
1968-10-05,1.7,1.7
1968-10-06,1.46,1.46
1968-10-07,1.26,1.26
1968-10-08,2.51,2.51
1968-10-09,4.08,4.08
