,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1969-10-06,0.120635234,0.16795814,0.154809,0.1342144,0.11003673,0.144624,0.11038791,0.1393446,0.115366414,0.13392082,0.1412763,0.118110776,0.118380085,0.16210365,0.16868725,0.1289263,0.1397588,0.1562638,0.11468204,0.08244749
1969-10-07,0.11040708,0.16075985,0.14811812,0.11684817,0.10755614,0.12338932,0.1034749,0.12580572,0.123797916,0.12681681,0.13432309,0.12375693,0.11841806,0.1434938,0.15085998,0.1303624,0.14767426,0.14135575,0.11477557,0.07640743
1969-10-08,0.115294136,0.17134264,0.14218786,0.11150214,0.11187281,0.1544042,0.12912172,0.14901903,0.12452368,0.13658914,0.13202292,0.12735917,0.13357668,0.14033721,0.1506359,0.12296362,0.15258585,0.16083613,0.13374305,0.09245273
1969-10-09,0.13006964,0.15570483,0.15437102,0.120543614,0.13263708,0.14574382,0.15207008,0.181131,0.14149562,0.1458186,0.11919148,0.15718585,0.16313218,0.1383822,0.13827407,0.15326506,0.17555173,0.17205787,0.14211479,0.12253345
1969-10-10,0.12540153,0.14740834,0.15955973,0.111866675,0.12471991,0.13991877,0.15357329,0.16415666,0.14431185,0.14032967,0.12757151,0.1513829,0.15831405,0.121879116,0.13782999,0.14925888,0.16968827,0.17014018,0.14459038,0.1279467
1969-10-11,0.121102415,0.15189305,0.15415931,0.10584055,0.10451592,0.14681703,0.14528248,0.14684479,0.15402523,0.15871875,0.13170952,0.1461449,0.14416687,0.1505743,0.12983608,0.1452074,0.13686591,0.15448579,0.13806942,0.1400689
1969-10-12,0.12549542,0.15241435,0.15576118,0.12442964,0.12996835,0.13370559,0.14387724,0.14559457,0.13647947,0.1479813,0.14174654,0.15192764,0.14361973,0.14577271,0.15259023,0.16452943,0.153181,0.16376889,0.1414535,0.12210866
1969-10-13,0.14059472,0.15143563,0.15358025,0.14007014,0.12878391,0.15896787,0.15449058,0.16654256,0.14255756,0.16040666,0.14593409,0.149219,0.1587309,0.1625843,0.16717981,0.15524139,0.16310143,0.17881602,0.14152443,0.13459542
1969-10-14,0.13330898,0.15066394,0.15127954,0.13158181,0.13077612,0.1478457,0.15208647,0.15241627,0.14056845,0.14617415,0.1437894,0.14927799,0.15021124,0.14789417,0.15830515,0.1582974,0.15884747,0.1643685,0.14385125,0.1396106
1969-10-15,0.1270898,0.14957565,0.14047867,0.12650771,0.1165832,0.14057273,0.1414429,0.14132185,0.13276824,0.1459093,0.13610739,0.13912919,0.14282466,0.14884354,0.14839435,0.1449706,0.14511923,0.1580471,0.1349307,0.12980813
1969-10-16,0.12837374,0.15723291,0.13992196,0.12810886,0.12000879,0.13884668,0.1400198,0.13740337,0.1257801,0.1417124,0.14441475,0.13635476,0.14524469,0.15193082,0.16353181,0.1466317,0.15146959,0.16236395,0.13162053,0.13089654
1969-10-17,0.13152039,0.15096056,0.14357305,0.13108611,0.1233609,0.13449252,0.13785917,0.14348698,0.1329847,0.1425344,0.13556747,0.14152278,0.13365676,0.14148816,0.1560995,0.1617605,0.15012665,0.16522995,0.13373393,0.13854699
