,49006,orig
2006-09-13,0.042,0.042
2006-09-14,0.042,0.042
2006-09-15,0.041,0.041
2006-09-16,0.041,0.041
2006-09-17,0.041,0.041
2006-09-18,0.041,0.041
2006-09-19,0.04,0.04
2006-09-20,0.04,0.04
2006-09-21,0.041,0.041
2006-09-22,0.044,0.044
2006-09-23,0.044,0.044
2006-09-24,0.045,0.045
2006-09-25,0.045,0.045
2006-09-26,0.045,0.045
2006-09-27,0.046,0.046
2006-09-28,0.047,0.047
2006-09-29,0.06,0.06
2006-09-30,0.056,0.056
2006-10-01,0.056,0.056
2006-10-02,0.048,0.048
2006-10-03,0.048,0.048
2006-10-04,0.052,0.052
2006-10-05,0.092,0.092
2006-10-06,0.106,0.106
2006-10-07,0.048,0.048
2006-10-08,0.049,0.049
2006-10-09,0.049,0.049
2006-10-10,0.105,0.105
2006-10-11,0.108,0.108
2006-10-12,0.07,0.07
2006-10-13,0.058,0.058
2006-10-14,0.055,0.055
2006-10-15,0.052,0.052
2006-10-16,0.06,0.06
2006-10-17,0.096,0.096
2006-10-18,0.16,0.16
2006-10-19,0.11,0.11
2006-10-20,0.066,0.066
2006-10-21,0.064,0.064
2006-10-22,0.333,0.333
2006-10-23,0.192,0.192
2006-10-24,0.167,0.167
2006-10-25,0.234,0.234
2006-10-26,0.198,0.198
2006-10-27,0.199,0.199
2006-10-28,0.212,0.212
2006-10-29,0.207,0.207
2006-10-30,0.202,0.202
2006-10-31,0.185,0.185
2006-11-01,0.17,0.17
2006-11-02,0.163,0.163
2006-11-03,0.156,0.156
2006-11-04,0.15,0.15
2006-11-05,0.143,0.143
2006-11-06,0.138,0.138
2006-11-07,0.131,0.131
2006-11-08,0.136,0.136
2006-11-09,0.12,0.12
2006-11-10,0.154,0.154
2006-11-11,0.135,0.135
2006-11-12,0.116,0.116
2006-11-13,0.144,0.144
2006-11-14,0.17,0.17
2006-11-15,0.165,0.165
2006-11-16,0.201,0.201
2006-11-17,0.334,0.334
2006-11-18,0.331,0.331
2006-11-19,0.573,0.573
2006-11-20,0.602,0.602
2006-11-21,0.551,0.551
2006-11-22,1.16,1.16
2006-11-23,0.907,0.907
2006-11-24,1.59,1.59
2006-11-25,1.43,1.43
2006-11-26,1.5,1.5
2006-11-27,1.7,1.7
2006-11-28,1.35,1.35
2006-11-29,1.03,1.03
2006-11-30,1.09,1.09
2006-12-01,0.862,0.862
2006-12-02,0.983,0.983
2006-12-03,0.959,0.959
2006-12-04,1.12,1.12
2006-12-05,0.953,0.953
2006-12-06,1.0,1.0
2006-12-07,0.88,0.88
2006-12-08,0.729,0.729
2006-12-09,0.613,0.613
2006-12-10,0.945,0.945
2006-12-11,1.45,1.45
2006-12-12,0.927,0.927
2006-12-13,0.752,0.752
2006-12-14,0.636,0.636
2006-12-15,0.728,0.728
2006-12-16,0.589,0.589
2006-12-17,0.663,0.663
2006-12-18,0.656,0.656
2006-12-19,0.571,0.571
2006-12-20,0.509,0.509
2006-12-21,0.442,0.442
2006-12-22,0.383,0.383
2006-12-23,0.332,0.332
2006-12-24,0.288,0.288
2006-12-25,0.253,0.253
2006-12-26,0.221,0.221
2006-12-27,0.202,0.202
2006-12-28,0.187,0.187
2006-12-29,0.503,0.503
2006-12-30,0.468,0.468
2006-12-31,0.598,0.598
2007-01-01,0.683,0.683
2007-01-02,0.596,0.596
2007-01-03,0.616,0.616
2007-01-04,0.516,0.516
2007-01-05,0.549,0.549
2007-01-06,0.975,0.975
2007-01-07,1.0,1.0
2007-01-08,0.916,0.916
2007-01-09,1.25,1.25
2007-01-10,1.0,1.0
2007-01-11,0.912,0.912
2007-01-12,0.776,0.776
2007-01-13,0.667,0.667
2007-01-14,0.571,0.571
2007-01-15,0.546,0.546
2007-01-16,0.504,0.504
2007-01-17,0.683,0.683
2007-01-18,0.732,0.732
2007-01-19,0.852,0.852
2007-01-20,0.908,0.908
2007-01-21,0.851,0.851
