,orig
2018-08-20,0.121
2018-08-21,0.116
2018-08-22,0.114
2018-08-23,0.14
2018-08-24,0.285
2018-08-25,0.154
2018-08-26,0.759
2018-08-27,0.129
2018-08-28,0.123
2018-08-29,0.574
2018-08-30,0.138
2018-08-31,0.113
2018-09-01,0.115
2018-09-02,0.113
2018-09-03,0.118
2018-09-04,0.123
2018-09-05,0.123
2018-09-06,0.108
2018-09-07,0.104
2018-09-08,0.102
2018-09-09,0.101
2018-09-10,0.099
2018-09-11,0.164
2018-09-12,0.159
2018-09-13,0.118
2018-09-14,0.106
2018-09-15,0.107
2018-09-16,0.108
2018-09-17,0.124
2018-09-18,0.129
2018-09-19,0.116
2018-09-20,0.444
2018-09-21,0.148
2018-09-22,0.638
2018-09-23,1.42
2018-09-24,0.165
2018-09-25,0.126
2018-09-26,0.128
2018-09-27,0.13
2018-09-28,0.113
2018-09-29,0.117
2018-09-30,0.122
2018-10-01,0.114
2018-10-02,0.118
2018-10-03,0.122
2019-04-01,0.214
2019-04-02,0.3
2019-04-03,0.221
2019-04-04,0.314
2019-04-05,0.228
2019-04-06,0.212
2019-04-07,0.204
2019-04-08,0.528
2019-04-09,0.351
2019-04-10,0.209
2019-04-11,0.19
2019-04-12,0.185
2019-04-13,0.197
2019-04-14,0.188
2019-04-15,0.188
2019-04-16,0.186
2019-04-17,0.179
2019-04-18,0.18
2019-04-19,0.177
2019-04-20,0.178
2019-04-21,0.181
2019-04-22,0.184
2019-04-23,0.186
2019-04-24,0.187
2019-04-25,0.18
2019-04-26,0.187
2019-04-27,0.179
2019-04-28,0.177
2019-04-29,0.163
2019-04-30,0.17
2019-05-01,0.173
2019-05-02,0.362
2019-05-03,0.277
2019-05-04,0.223
2019-05-05,0.167
2019-05-06,0.162
2019-05-07,0.161
2019-05-08,1.02
2019-05-09,0.74
2019-05-10,0.209
2019-05-11,0.182
2019-05-12,0.162
2019-05-13,0.16
2019-05-14,0.158
2019-05-15,0.161
2019-05-16,0.162
2019-05-17,0.172
2019-05-18,0.175
2019-05-19,0.175
2019-05-20,0.177
2019-05-21,0.145
2019-05-22,0.132
2019-05-23,0.135
2019-05-24,0.148
2019-05-25,0.141
2019-05-26,0.168
2019-05-27,0.154
2019-05-28,0.158
2019-05-29,0.17
2019-05-30,0.172
2019-05-31,0.19
2019-06-01,0.208
2019-06-02,0.224
2019-06-03,0.131
2019-06-04,0.175
2019-06-05,0.107
2019-06-06,0.107
2019-06-07,0.292
2019-06-08,0.159
2019-06-09,0.322
2019-06-10,8.07
2019-06-11,1.37
2019-06-12,1.7
2019-06-13,0.462
2019-06-14,0.26899999999999996
2019-06-15,0.212
2019-06-16,0.189
2019-06-17,0.155
2019-06-18,0.245
2019-06-19,0.25
2019-06-20,0.155
2019-06-21,0.134
2019-06-22,0.132
2019-06-23,0.144
2019-06-24,0.523
2019-06-25,0.247
2019-06-26,0.147
2019-06-27,0.13699999999999998
2019-06-28,0.14
2019-06-29,0.133
2019-06-30,0.134
2019-07-01,0.135
2019-07-02,0.14
2019-07-03,0.124
2019-07-04,0.127
2019-07-05,0.124
2019-07-06,0.127
2019-07-07,0.122
2019-07-08,0.121
2019-07-09,0.121
2019-07-10,0.109
2019-07-11,0.104
2019-07-12,0.092
2019-07-13,0.078
2019-07-14,0.078
2019-07-15,0.091
2019-07-16,0.089
2019-07-17,0.142
2019-07-18,0.238
2019-07-19,1.34
2019-07-20,0.375
2019-07-21,0.098
2019-07-22,0.101
2019-07-23,0.09
2019-07-24,0.094
2019-07-25,0.094
2019-07-26,0.095
2019-07-27,7.09
2019-07-28,0.135
2019-07-29,0.11
2019-07-30,0.267
2019-07-31,0.094
2019-08-01,0.081
2019-08-02,0.078
2019-08-03,0.073
2019-08-04,0.073
2019-08-05,0.075
2019-08-06,0.069
2019-08-07,0.365
2019-08-08,0.08
2019-08-09,1.24
2019-08-10,0.147
2019-08-11,0.086
2019-08-12,1.63
2019-08-13,0.136
2019-08-14,0.924
2019-08-15,0.141
2019-08-16,0.27
2019-08-17,0.125
2019-08-18,0.124
2019-08-19,0.14800000000000002
2019-08-20,0.10300000000000001
2019-08-21,0.086
2019-08-22,0.086
2019-08-23,0.087
2019-08-24,0.085
2019-08-25,0.085
2019-08-26,0.08
2019-08-27,0.08
2019-08-28,0.088
2019-08-29,0.085
2019-08-30,0.082
2019-08-31,0.084
2019-09-01,0.077
2019-09-02,0.071
2019-09-03,0.076
2019-09-04,0.21
2019-09-05,0.065
2019-09-06,0.072
2019-09-07,0.064
2019-09-08,0.062
2019-09-09,0.214
2019-09-10,0.069
2019-09-11,0.066
2019-09-12,0.06
2019-09-13,0.057
2019-09-14,0.055
2019-09-15,0.06
2019-09-16,0.059000000000000004
2019-09-17,0.055
2019-09-18,0.054000000000000006
2019-09-19,0.052000000000000005
2019-09-20,0.046
2019-09-21,0.053
2019-09-22,0.055999999999999994
2019-09-23,0.226
2019-09-24,1.13
2019-09-25,0.192
2019-09-26,0.133
2019-09-27,0.338
2019-09-28,0.259
2019-09-29,3.18
2019-09-30,0.40399999999999997
2019-10-01,1.69
2019-10-02,0.165
2019-10-03,0.12
2019-10-04,0.099
2019-10-05,0.871
2019-10-06,0.33399999999999996
2019-10-07,0.162
2019-10-08,0.186
2019-10-09,0.102
2019-10-10,0.083
2019-10-11,0.701
2019-10-12,0.84
2019-10-13,0.327
2019-10-14,0.44
2019-10-15,0.19
2019-10-16,0.177
2019-10-17,1.48
2019-10-18,0.416
2019-10-19,0.196
2019-10-20,0.147
2019-10-21,0.348
2019-10-22,0.14
2019-10-23,0.127
2019-10-24,1.69
2019-10-25,0.247
2019-10-26,0.313
2019-10-27,0.166
2019-10-28,0.136
2019-10-29,0.122
2019-10-30,0.109
2019-10-31,0.108
