,54017,nn_m,nn_std,orig
1995-12-04,0.935,1.0678661055827725,0.04043067131374645,0.935
1995-12-05,0.879,0.8543314291233023,0.055825010178057806,0.879
1995-12-06,0.833,0.8344201334947735,0.06472173292779894,0.833
1995-12-07,0.7829999999999999,0.8179387388217528,0.0565445594420557,0.7829999999999999
1995-12-08,0.703,0.7659007367652437,0.04462257404250857,0.703
1995-12-09,0.645,0.6695657326704288,0.03977891701212317,0.645
1995-12-10,0.648,0.6398703776963506,0.03529593867079605,0.648
1995-12-11,0.6920000000000001,0.6510114390147225,0.02977934153305029,0.6920000000000001
1995-12-12,0.648,0.6801241317410913,0.03511278032650012,0.648
1995-12-13,0.643,0.6360579942259099,0.028678031160256894,0.643
1995-12-14,0.613,0.6511925555647885,0.028909066236185645,0.613
1995-12-15,0.597,0.6211220715551586,0.02296412213060693,0.597
1995-12-16,0.63,0.6110371259395747,0.02969317046582585,0.63
1995-12-17,0.657,0.6899516993290481,0.025131121625123303,0.657
1995-12-18,2.36,0.6767712856642236,0.0367044994234438,2.36
1995-12-19,11.0,4.288471859306695,0.30401909632892177,11.0
1995-12-20,6.93,11.664609548522366,1.2372720138178963,6.93
1995-12-21,19.6,7.6239280966274245,2.282097028710248,19.6
1995-12-22,20.2,23.297135940043262,1.3971341189081923,20.2
1995-12-23,10.3,13.953557803398313,1.159558155491558,10.3
1995-12-24,4.66,6.766702671218795,0.943455573093522,4.66
1995-12-25,2.6,3.852402695051353,0.7606729800765151,2.6
1995-12-26,2.01,1.2857542461448077,0.3404697266816258,2.01
1995-12-27,1.72,0.8692231674383213,0.4363510012049697,1.72
1995-12-28,1.53,1.1252346504860884,0.4128500465208694,1.53
1995-12-29,1.53,1.021970402935551,0.3612806005130398,1.53
1995-12-30,1.67,1.5619764989826328,0.2095672881232388,1.67
1995-12-31,2.43,1.6870797769262529,0.24969786920532386,2.43
1996-01-01,2.64,2.596076087761109,0.2697126141185912,2.64
1996-01-02,2.9,2.49347049996771,0.21417871421560816,2.9
1996-01-03,3.54,2.946068139290313,0.15813026174126052,3.54
1996-01-04,3.73,4.0269476459096065,0.1925603926056894,3.73
1996-01-05,5.31,4.497201743984771,0.27183651735926984,5.31
1996-01-06,9.92,7.093354126513156,0.4866196065652626,9.92
1996-01-07,11.6,8.524862430148161,0.4958672588813409,11.6
1996-01-08,17.9,9.007675780300119,0.6964714096926065,17.9
1996-01-09,9.35,14.581920353555935,0.8977938259517043,9.35
1996-01-10,6.37,5.669382291578707,0.6889078916324282,6.37
