,orig
2018-08-20,0.313
2018-08-21,0.288
2019-03-31,0.991
2019-04-01,0.963
2019-04-03,1.13
2019-04-06,3.13
2019-04-08,1.96
2019-04-11,2.41
2019-04-12,1.85
2019-04-13,1.54
2019-04-14,1.4
2019-04-15,1.35
2019-04-16,1.28
2019-04-17,1.19
2019-04-18,1.12
2019-04-19,1.08
2019-04-20,0.987
2019-04-21,0.993
2019-04-22,1.02
2019-04-23,1.01
2019-04-24,1.04
2019-04-25,1.06
2019-04-26,0.997
2019-04-27,0.947
2019-04-28,0.829
2019-04-29,0.785
2019-04-30,0.78
2019-05-01,0.821
2019-05-02,1.05
2019-05-03,1.15
2019-05-04,0.988
2019-05-05,0.856
2019-05-06,0.745
2019-05-07,0.728
2019-05-08,0.995
2019-05-09,2.39
2019-05-10,2.5
2019-05-11,1.44
2019-05-12,1.17
2019-05-13,0.88
2019-05-14,0.776
2019-05-15,0.745
2019-05-16,0.719
2019-05-17,0.72
2019-05-18,0.728
2019-05-19,0.706
2019-05-20,0.699
2019-05-21,0.624
2019-05-22,0.593
2019-05-23,0.581
2019-05-24,0.523
2019-05-25,0.517
2019-05-26,0.496
2019-05-27,0.495
2019-05-28,0.585
2019-05-29,0.547
2019-05-30,0.509
2019-05-31,0.486
2019-06-01,0.466
2019-06-02,0.459
2019-06-03,0.452
2019-06-04,0.459
2019-06-05,0.679
2019-06-06,0.539
2019-06-07,0.466
2019-06-08,4.63
2019-06-09,2.32
2019-06-10,1.58
2019-06-11,3.18
2019-06-12,9.06
2019-06-13,7.8
2019-06-14,34.1
2019-06-15,26.0
2019-06-16,13.7
2019-06-17,7.42
2019-06-18,5.14
2019-06-19,3.81
2019-06-20,3.01
2019-06-21,1.81
2019-06-22,1.35
2019-06-23,1.06
2019-06-24,1.03
2019-06-25,1.1
2019-06-26,8.05
2019-06-27,3.81
2019-06-28,2.46
2019-06-29,1.41
2019-06-30,1.21
2019-07-01,0.813
2019-07-02,0.723
2019-07-03,0.69
2019-07-04,0.798
2019-07-05,0.633
2019-07-06,0.589
2019-07-07,0.613
2019-07-08,0.571
2019-07-09,0.562
2019-07-10,0.547
2019-07-11,0.547
2019-07-12,0.543
2019-07-13,0.517
2019-07-14,0.506
2019-07-15,0.517
2019-07-16,0.51
2019-07-17,0.509
2019-07-18,0.502
2019-07-19,0.579
2019-07-20,0.917
2019-07-21,0.642
2019-07-22,0.541
2019-07-23,0.51
2019-07-24,0.54
2019-07-25,0.474
2019-07-26,0.432
2019-07-27,0.427
2019-07-28,0.438
2019-07-29,0.421
2019-07-30,0.407
2019-07-31,0.636
2019-08-01,0.554
2019-08-02,0.452
2019-08-03,0.434
2019-08-04,0.431
2019-08-05,0.433
2019-08-06,0.404
2019-08-07,0.427
2019-08-08,0.492
2019-08-09,2.55
2019-08-10,2.21
2019-08-11,1.38
2019-08-12,3.03
2019-08-13,1.68
2019-08-14,0.649
2019-08-15,1.1
2019-08-16,0.728
2019-08-17,0.682
2019-08-18,0.776
2019-08-19,0.54
2019-08-20,0.487
2019-08-21,0.415
2019-08-22,0.391
2019-08-23,0.405
2019-08-24,0.405
2019-08-25,0.431
2019-08-26,0.374
2019-08-27,0.374
2019-08-28,0.444
2019-08-29,0.66
2019-08-30,0.524
2019-08-31,0.39899999999999997
2019-09-01,0.381
2019-09-02,0.363
2019-09-03,0.361
2019-09-04,0.371
2019-09-05,0.368
2019-09-06,0.364
2019-09-07,0.364
2019-09-08,0.371
2019-09-09,0.449
2019-09-10,0.506
2019-09-11,0.566
2019-09-12,0.414
2019-09-13,0.4
2019-09-14,0.358
2019-09-15,0.352
2019-09-16,0.35600000000000004
2019-09-17,0.358
2019-09-18,0.349
2019-09-19,0.331
2019-09-20,0.317
2019-09-21,0.313
2019-09-22,0.315
2019-09-23,0.586
2019-09-24,0.649
2019-09-25,2.91
2019-09-26,2.39
2019-09-27,0.988
2019-09-28,2.09
2019-09-29,2.85
2019-09-30,3.68
2019-10-01,3.84
2019-10-02,3.06
2019-10-03,1.46
2019-10-04,0.85
2019-10-05,0.7240000000000001
2019-10-06,1.15
2019-10-07,2.36
2019-10-08,1.58
2019-10-09,0.838
2019-10-10,0.633
2019-10-11,0.585
2019-10-12,0.868
2019-10-13,0.809
2019-10-14,3.11
2019-10-15,3.39
2019-10-16,3.39
2019-10-17,2.54
2019-10-18,2.52
2019-10-19,13.4
2019-10-20,8.7
2019-10-21,3.61
2019-10-22,2.81
2019-10-23,1.38
2019-10-24,1.25
2019-10-25,1.03
2019-10-26,3.37
2019-11-04,7.78
2019-11-05,6.68
2019-11-06,4.87
2019-11-07,4.3
2019-11-08,5.85
2019-11-09,4.24
2019-11-10,6.62
2019-11-11,10.6
2019-11-12,9.22
2019-11-13,6.51
2019-11-14,8.89
