,38029,nn_m,nn_std
1993-08-07,0.033,0.03670757247851695,0.0024149540361563847
1993-08-08,0.032,0.03659823315348609,0.002414397493811903
1993-08-09,0.033,0.03320183809558359,0.005023221139286735
1993-08-10,0.033,0.034350778970829395,0.003343151943370036
1993-08-11,0.043,0.039269463606840214,0.012883821981340764
1993-08-12,0.036000000000000004,0.04211504300217425,0.04207967860715489
1993-08-13,0.033,0.040163934665421196,0.01586622699401975
1993-08-14,0.033,0.0374861626421817,0.013588597374300545
1993-08-15,0.032,0.036993006275838826,0.004717673227784567
1993-08-16,0.032,0.03161208707038305,0.005033156976834195
1993-08-17,0.032,0.033087346543035995,0.005554903271881654
1993-08-18,0.032,0.03475199627442622,0.00461292293196627
1993-08-19,0.032,0.03310236300022593,0.003209030574113087
1993-08-20,0.032,0.032914082996263784,0.003696225520103474
1993-08-21,0.034,0.03853082137996035,0.01045971801542252
1993-08-22,0.033,0.029874455040442536,0.012041396637133137
1993-08-23,0.031,0.035793120243921304,0.013022445866330242
1993-08-24,0.031,0.02902375125101079,0.009987083747480188
1993-08-25,0.031,0.030549408828525557,0.0033866335956495505
1993-08-26,0.03,0.031281039666127115,0.0024755428482509923
1993-08-27,0.03,0.030537469431543868,0.0032290124843108252
1993-08-28,0.028999999999999998,0.03078013661369455,0.002600579418629124
1993-08-29,0.028999999999999998,0.030756242866110905,0.002047571495935407
1993-08-30,0.028999999999999998,0.03023240796386186,0.002399888951973822
1993-08-31,0.028999999999999998,0.029225379045936275,0.0032672762417245704
1993-09-01,0.028999999999999998,0.028579443410405053,0.002710902171665558
1993-09-02,0.03,0.029193815824674788,0.0028328424230266097
1993-09-03,0.028999999999999998,0.029398176922929554,0.004599282710583917
1993-09-04,0.028999999999999998,0.02906922738226299,0.0031671164398531346
1993-09-05,0.027999999999999997,0.027436374635872826,0.006022479991364812
1993-09-06,0.027999999999999997,0.026831487033682357,0.0024539323624321496
1993-09-07,0.03,0.029290416095252018,0.010718723960818497
1993-09-08,0.028999999999999998,0.02934415958343688,0.007970757787381797
1993-09-09,0.028999999999999998,0.04823633358454027,0.019525515118677585
