,76017
2018-08-20,24.1
2018-08-21,21.0
2018-08-22,18.4
2018-08-23,19.8
2018-08-24,27.2
2018-08-25,27.3
2018-08-26,19.6
2018-08-27,21.9
2018-08-28,18.9
2018-08-29,16.2
2018-08-30,14.4
2018-08-31,12.7
2018-09-01,11.6
2018-09-02,11.0
2018-09-03,11.9
2018-09-04,12.4
2018-09-05,11.5
2018-09-06,11.0
2018-09-07,10.7
2018-09-08,10.5
2018-09-09,10.9
2018-09-10,15.1
2018-09-11,45.1
2018-09-12,24.9
2018-09-13,19.2
2018-09-14,19.3
2018-09-15,22.2
2018-09-16,30.4
2018-09-17,28.1
2018-09-18,28.5
2018-09-19,31.1
2018-09-20,47.5
2018-09-21,170.0
2018-09-22,56.6
2018-09-23,37.2
2018-09-24,28.9
2018-09-25,24.2
2018-09-26,21.5
2018-09-27,19.7
2018-09-28,17.1
2018-09-29,15.4
2018-09-30,14.2
2018-10-01,13.2
2018-10-02,13.1
2018-10-03,12.7
2018-10-04,12.8
2018-10-05,37.9
2018-10-06,27.6
2018-10-07,19.9
2018-10-08,17.6
2018-10-09,17.1
2018-10-10,15.4
2018-10-11,14.4
2018-10-12,74.4
2018-10-13,368.0
2018-10-14,175.0
2018-10-15,97.3
2018-10-16,67.2
2018-10-17,52.9
2018-10-18,40.7
2018-10-19,33.4
2018-10-20,28.4
2018-10-21,25.2
2018-10-22,23.0
2018-10-23,20.5
2018-10-24,19.3
2018-10-25,17.7
2018-10-26,17.2
2018-10-27,15.7
2018-10-28,14.6
2018-10-29,14.0
2018-10-30,13.7
2018-10-31,13.5
2018-11-01,15.5
2018-11-02,15.1
2018-11-03,18.4
2018-11-04,57.3
2018-11-05,39.1
2018-11-06,31.0
2018-11-07,28.5
2018-11-08,31.5
2018-11-09,35.6
2018-11-10,81.4
2018-11-11,55.9
2018-11-12,90.2
2018-11-13,106.0
2018-11-14,89.5
2018-11-15,68.2
2018-11-16,49.7
2018-11-17,39.6
2018-11-18,32.8
2018-11-19,28.3
2018-11-20,31.2
2018-11-21,73.8
2018-11-22,35.1
2018-11-23,28.8
2018-11-24,25.0
2018-11-25,22.4
2018-11-26,20.8
2018-11-27,23.8
2018-11-28,74.2
2018-11-29,140.0
2018-11-30,125.0
2018-12-01,93.0
2018-12-02,94.8
2018-12-03,97.5
2018-12-04,59.4
2018-12-05,59.5
2018-12-06,62.0
2018-12-07,107.0
2018-12-08,92.6
2018-12-09,75.9
2018-12-10,52.6
2018-12-11,43.0
2018-12-12,36.7
2018-12-13,31.7
2018-12-14,27.9
2018-12-15,42.3
2018-12-16,83.1
2018-12-17,58.6
2018-12-18,99.3
2018-12-19,87.2
2018-12-20,78.8
2018-12-21,87.8
2018-12-22,65.6
2018-12-23,53.0
2018-12-24,44.3
2018-12-25,37.7
2018-12-26,34.0
2018-12-27,30.3
2018-12-28,27.5
2018-12-29,28.7
2018-12-30,32.6
2018-12-31,28.0
2019-01-01,24.8
2019-01-02,22.3
2019-01-03,20.7
2019-01-04,19.4
2019-01-05,18.4
2019-01-06,17.7
2019-01-07,17.6
2019-01-08,17.6
2019-01-09,16.5
2019-01-10,15.9
2019-01-11,15.4
2019-01-12,15.9
2019-01-13,18.3
2019-01-14,16.7
2019-01-15,15.8
2019-01-16,16.8
2019-01-17,18.0
2019-01-18,15.9
2019-01-19,15.3
2019-01-20,15.0
2019-01-21,14.9
2019-01-22,18.1
2019-01-23,17.7
2019-01-24,16.5
2019-01-25,28.3
2019-01-26,40.8
2019-01-27,61.0
2019-01-28,34.1
2019-01-29,36.2
2019-01-30,33.1
2019-01-31,26.6
2019-02-01,23.0
2019-02-02,20.5
2019-02-03,18.9
2019-02-04,87.3
2019-02-05,46.5
2019-02-06,61.6
2019-02-07,44.8
2019-02-08,167.0
2019-02-09,182.0
2019-02-10,105.0
2019-02-11,66.2
2019-02-12,51.4
2019-02-13,47.0
2019-02-14,39.9
2019-02-15,33.9
2019-02-16,30.2
2019-02-17,27.3
2019-02-18,25.8
2019-02-19,27.4
2019-02-20,32.6
2019-02-21,51.0
2019-02-22,36.3
2019-02-23,30.7
2019-02-24,26.9
2019-02-25,24.4
2019-02-26,22.4
2019-02-27,20.8
2019-02-28,19.6
2019-03-01,18.3
2019-03-02,20.9
2019-03-03,56.0
2019-03-04,81.5
2019-03-05,73.2
2019-03-06,149.0
2019-03-07,113.0
2019-03-08,96.6
2019-03-09,120.0
2019-03-10,91.9
2019-03-11,79.9
2019-03-12,274.0
2019-03-13,167.0
2019-03-14,165.0
2019-03-15,108.0
2019-03-16,273.0
2019-03-17,136.0
2019-03-18,88.9
2019-03-19,66.2
2019-03-20,52.6
2019-03-21,44.2
2019-03-22,39.2
2019-03-23,36.7
2019-03-24,31.7
2019-03-25,28.0
2019-03-26,25.2
2019-03-27,23.0
2019-03-28,21.0
2019-03-29,19.4
2019-03-30,18.3
2019-03-31,17.5
2019-04-01,17.8
2019-04-02,25.7
2019-04-03,33.8
2019-04-04,37.9
2019-04-05,32.0
2019-04-06,24.5
2019-04-07,21.0
2019-04-08,18.9
2019-04-09,19.0
2019-04-10,16.5
2019-04-11,15.6
2019-04-12,14.9
2019-04-13,14.3
2019-04-14,13.8
2019-04-15,13.4
2019-04-16,12.9
2019-04-17,12.5
2019-04-18,12.2
2019-04-19,11.8
2019-04-20,11.5
2019-04-21,11.2
2019-04-22,10.9
2019-04-23,10.6
2019-04-24,10.5
2019-04-25,10.6
2019-04-26,10.9
2019-04-27,13.0
2019-04-28,18.2
2019-04-29,14.8
2019-04-30,13.3
2019-05-01,12.8
2019-05-02,12.9
2019-05-03,12.8
2019-05-04,12.3
2019-05-05,11.7
2019-05-06,11.8
2019-05-07,12.4
2019-05-08,13.4
2019-05-09,18.3
2019-05-10,16.3
2019-05-11,16.1
2019-05-12,13.7
2019-05-13,12.3
2019-05-14,11.8
2019-05-15,11.2
2019-05-16,10.3
2019-05-17,9.9
2019-05-18,9.8
2019-05-19,9.64
2019-05-20,9.66
2019-05-21,9.44
2019-05-22,8.74
2019-05-23,8.45
2019-05-24,8.23
2019-05-25,8.37
2019-05-26,11.1
2019-05-27,10.4
2019-05-28,9.7
2019-05-29,9.23
2019-05-30,15.0
2019-05-31,18.5
2019-06-01,16.5
2019-06-02,13.8
2019-06-03,12.7
2019-06-04,12.6
2019-06-05,19.3
2019-06-06,16.4
2019-06-07,14.8
2019-06-08,64.0
2019-06-09,36.1
2019-06-10,22.5
2019-06-11,18.4
2019-06-12,17.8
2019-06-13,46.5
2019-06-14,37.4
2019-06-15,26.4
2019-06-16,24.5
2019-06-17,36.1
2019-06-18,24.9
