,76017,nn_m,nn_std,orig
1999-03-20,20.1,20.43920801265524,1.5182433424752275,20.1
1999-03-21,38.3,50.49068427723318,2.760391380013913,38.3
1999-03-22,29.7,34.921689115392184,1.6533283973689,29.7
1999-03-23,29.8,35.17891793584382,3.0957001372192563,29.8
1999-03-24,26.2,26.744379419186412,1.6056297140297882,26.2
1999-03-25,28.1,22.169274893860113,0.7886363753645457,28.1
1999-03-26,25.0,23.91172966840012,1.1857718835396938,25.0
1999-03-27,23.1,23.67457494342784,0.4174152972906724,23.1
1999-03-28,21.5,28.40603602406389,1.4832182958813969,21.5
1999-03-29,64.2,49.44418912189121,2.8341073988583823,64.2
1999-03-30,42.6,45.40736342823021,2.5558387936019344,42.6
1999-03-31,34.7,28.968836549179283,1.7227885293589975,34.7
1999-04-01,30.4,29.59003767356431,0.6780541699412215,30.4
1999-04-02,27.2,27.639064803059174,0.2469919293283077,27.2
1999-04-03,24.9,25.357788888978344,0.2395897219272166,24.9
1999-04-04,22.8,23.546950559717818,0.23469602397260264,22.8
1999-04-05,22.4,25.92340456316985,0.6696510047879277,22.4
1999-04-06,38.3,35.413642696980254,0.7947764046988034,38.3
1999-04-07,35.3,30.987882888648766,0.4284313658521252,35.3
1999-04-08,28.5,26.876941038791927,0.6060824231585201,28.5
1999-04-09,26.0,24.71916196934857,0.6373034945742219,26.0
1999-04-10,26.3,31.742398402061962,0.8348284032498832,26.3
1999-04-11,31.9,50.17870324743786,2.364182686385353,31.9
1999-04-12,69.6,51.85482358824371,2.1903445036191997,69.6
1999-04-13,52.1,60.71653779682433,2.2488031794106558,52.1
1999-04-14,41.1,43.73114085266296,1.1320371977484636,41.1
1999-04-15,36.4,40.29114481799114,2.1196697177417545,36.4
1999-04-16,35.1,43.27117172163596,1.4095769444904769,35.1
1999-04-17,30.3,31.53212285286658,1.3778681781583968,30.3
1999-04-18,26.9,26.357518107160093,0.7067405138455126,26.9
1999-04-19,24.8,26.079124290424005,0.6632758816670304,24.8
1999-04-20,47.5,46.269563330566655,2.5139363421490177,47.5
1999-04-21,74.6,75.63906885701691,4.132897826315685,74.6
1999-04-22,91.1,74.57703575040706,2.5386046315097257,91.1
1999-04-23,60.9,65.1772577085883,2.332669427947036,60.9
1999-04-24,46.8,46.49945293999668,0.831665705932208,46.8
1999-04-25,39.0,38.40090240846553,0.8414573417227846,39.0
1999-04-26,33.2,34.49603151448258,0.7324434979812879,33.2
1999-04-27,29.1,30.212523700988363,0.38987543510143385,29.1
1999-04-28,25.9,26.99302196027297,0.3442799199227648,25.9
1999-04-29,23.5,24.44098243711628,0.29394177048019177,23.5
1999-04-30,21.5,22.43907074113687,0.2715657165930841,21.5
1999-05-01,19.7,20.58513454680152,0.2685256476071628,19.7
1999-05-02,18.2,18.974917602746668,0.2504286343975685,18.2
1999-05-03,17.1,17.704935445560746,0.22697291055485164,17.1
1999-05-04,16.0,16.604613646872107,0.21636984098009893,16.0
1999-05-05,15.1,15.60875239431601,0.2218731014495189,15.1
1999-05-06,14.7,15.091970400807845,0.23525198821290655,14.7
