date,54057,nn_m,nn_std
1995-12-04,63.6,62.718627933526356,0.3058348270904133
1995-12-05,61.0,61.56191484032997,0.30406765705578864
1995-12-06,55.5,55.79841666213292,0.2881957405763725
1995-12-07,50.1,50.2055582015855,0.24625067004602066
1995-12-08,46.3,45.28833791520217,0.2587297166078088
1995-12-09,42.1,42.334445935707,0.25166157356111296
1995-12-10,37.9,37.99064760820675,0.18896144550360616
1995-12-11,35.9,35.36033697615618,0.19248305876154087
1995-12-12,34.5,33.917576189416806,0.1594377202378911
1995-12-13,32.8,33.076275533496144,0.15270510018017555
1995-12-14,31.9,31.8952211447466,0.14084776767513524
1995-12-15,31.7,31.822455763569163,0.15137103280146394
1995-12-16,30.6,30.462722747788415,0.13114238614558738
1995-12-17,30.9,31.714149386814952,0.17454318099566932
1995-12-18,33.8,34.728396173786514,0.41738473043532415
1995-12-19,46.5,49.82816573912567,3.1101975819110432
1995-12-20,139.0,129.07519573053935,1.926518276496246
1995-12-21,155.0,173.15177344925715,6.08382030782918
1995-12-22,280.0,270.01770297020016,2.514314789356333
1995-12-23,411.0,386.5397170981056,3.1352334325863174
1995-12-24,446.0,441.3876034771348,3.948797305781316
1995-12-25,415.0,410.01251484586805,2.347376953920941
1995-12-26,324.0,332.5981288506331,2.3440176282359513
1995-12-27,201.0,208.10922833372413,1.553082490802695
1995-12-28,130.0,132.65637074411003,1.4864489705431994
1995-12-29,94.8,101.92020160633334,2.4757065536482306
1995-12-30,78.7,81.73289404429103,0.7382684308868295
1995-12-31,71.9,73.28462535686982,0.4731046630972078
1996-01-01,76.7,76.6757353198506,0.3498702176949809
1996-01-02,79.5,80.19212839196874,0.532187175935885
1996-01-03,84.4,85.1646004551406,0.4946320611188978
1996-01-04,98.7,97.41362127275241,0.8085082565320051
1996-01-05,115.0,118.44359528663766,0.9764011612860544
1996-01-06,136.0,135.70521515445145,2.159926577017208
1996-01-07,178.0,184.54935998426788,1.8150157768913986
1996-01-08,209.0,207.87438168730677,4.060987250100652
1996-01-09,322.0,309.8276698858702,4.798207040726415
1996-01-10,333.0,331.1831479547462,3.222512041144557
1996-01-11,259.0,261.09776904814083,3.22270020023235
1996-01-12,216.0,214.66050570473553,1.5223710070268166
1996-01-13,214.0,216.7794127026529,2.2176112612968253
1996-01-14,215.0,218.66580112048362,2.496339215895714
1996-01-15,186.0,184.70739027337999,1.5441719532751892
1996-01-16,150.0,149.76647580466732,0.9743331737365966
1996-01-17,123.0,122.17005814746855,0.948219524959483
1996-01-18,105.0,104.73259030680772,1.337403122439836
1996-01-19,94.2,93.85023167169662,0.8135426369338111
1996-01-20,86.7,84.94937641558413,0.5827141054556905
1996-01-21,79.8,79.46918070040701,0.6462870304386277
1996-01-22,74.1,73.32262291150231,0.3482292516337836
1996-01-23,68.3,69.88518626058567,0.268804563630383
1996-01-24,68.2,69.44654098144332,0.3514612754186311
1996-01-25,66.0,66.46040177537724,0.3109432858105372
1996-01-26,58.2,59.06799049692144,0.4174773892708178
1996-01-27,52.1,52.06815054564114,0.48529517502698144
1996-01-28,48.7,49.84312531110384,0.39704114005035507
1996-01-29,47.1,47.36220610320126,0.30397371631195197
1996-01-30,45.4,46.09061424091029,0.32623644788084794
1996-01-31,43.4,44.3337967972083,0.2966298360544981
1996-02-01,42.4,43.153617779354924,0.29114041770188903
1996-02-02,41.2,41.737515543333366,0.2911010853695629
1996-02-03,40.3,40.87394470865489,0.31763547951182197
1996-02-04,39.6,40.24979385556044,0.30491881507336366
1996-02-05,40.2,40.06607747469969,0.3471318235259872
1996-02-06,41.7,43.14856251080785,0.38330321886417884
1996-02-07,41.0,42.063224984544746,0.3681955929979421
1996-02-08,39.4,45.211632632628806,2.427910864103051
1996-02-09,74.2,77.61125383612647,4.827166575540995
1996-02-10,182.0,184.29025773509193,2.7792197082279806
1996-02-11,262.0,265.43759030862464,2.74138930352829
1996-02-12,350.0,344.79141482027467,3.934318472297987
1996-02-13,413.0,399.5553449621222,1.8043007490537128
1996-02-14,399.0,402.83352729120514,2.1948012490138407
1996-02-15,313.0,323.4708336976714,1.7797924213095393
1996-02-16,207.0,215.6189983940841,1.4161155590202354
1996-02-17,153.0,148.3500550479155,1.1192240667229079
1996-02-18,134.0,135.28854963030682,1.6262849223767615
1996-02-19,167.0,168.79730706879943,1.2212036786522669
1996-02-20,178.0,176.18038855774094,1.4022652509158375
1996-02-21,141.0,138.84384752375922,0.9222655715465178
1996-02-22,116.0,115.91759487878925,0.6853999125088224
1996-02-23,108.0,108.20216250859035,0.5129633869654816
1996-02-24,117.0,120.21403893486813,0.8208922955546032
1996-02-25,161.0,163.9758857178606,0.9712253067865787
1996-02-26,212.0,211.462366873532,1.2437612269291027
1996-02-27,191.0,193.51160037746203,1.1671670209678464
1996-02-28,153.0,151.69225232654645,0.8137871253655354
1996-02-29,124.0,123.76031792720137,0.8755629389979922
1996-03-01,107.0,105.46400862341703,0.872221722213314
1996-03-02,95.7,96.15261234641079,0.48439198529386907
1996-03-03,88.7,88.9852676305191,0.5597781513223907
1996-03-04,82.9,83.18142487723205,0.47393858116641074
1996-03-05,77.3,76.67007423066049,0.4227640941301749
1996-03-06,71.6,71.82860032427637,0.2579190816872808
1996-03-07,66.7,66.934716376226,0.19192597003677295
1996-03-08,64.5,65.4136689683868,0.18989269873047993
1996-03-09,65.9,66.52128289563699,0.3279855315401136
1996-03-10,61.8,63.58647936091345,0.32202839187378274
1996-03-11,60.0,61.43644475247322,0.4595779375573233
1996-03-12,84.9,85.60150865836175,0.8545646374069177
1996-03-13,129.0,129.529347285885,0.7766330174200828
1996-03-14,128.0,127.14400714980572,0.7982731759623107
1996-03-15,101.0,100.30371393950567,1.0515310015926411
1996-03-16,93.0,90.93358466552999,0.8466373973573594
1996-03-17,98.1,97.48547516536728,1.345316336303622
1996-03-18,105.0,105.56987167719335,1.1362908086819392
1996-03-19,103.0,100.06156729070763,0.9241993667032098
1996-03-20,98.2,99.15377351459823,1.3491607279713507
