station,comb_nRMSE,<q70_nRMSE,q30-q70_nRMSE,>q30_nRMSE,comb_nSTD,<q70_nSTD,q30-q70_nSTD,>q30_nSTD,comb_NSE
33013,0.3670664208930604,0.11183720305741149,0.18813999810732662,0.6240311454450059,0.0437573902212048,0.017622230529400554,0.02753167874523217,0.09152467593182322,0.9004207556473834
34010,0.4626116690821698,0.052867784277325656,0.1351907242814225,0.8283467485414017,0.09041957363520006,0.02262618017626208,0.05216442363617904,0.2092059870696593,0.9333772779734942
34012,0.10350114123969309,0.06248686183277997,0.08963224818929508,0.14522480429158502,0.04950973305633428,0.031759219251499986,0.04786459698900256,0.06945043699753972,0.9656675434677416
34018,0.31084340755927803,0.32881602839089713,0.13479909479013388,0.43554909831687705,0.11684000699035821,0.06560398159300738,0.1023689611488641,0.18735305471698419,0.8794650843814511
39056,0.13097417360124763,0.057772504666484786,0.09909506369852808,0.20184654759930895,0.08093576378706908,0.038738373984910465,0.061669335339786004,0.14879895191206896,0.9899132361353029
40017,0.36253921002889467,0.03425215853536126,0.07754642995245635,0.6548552488256482,0.11852751805562926,0.02832961938376162,0.05958082736572524,0.28726905565873706,0.9689217361933476
46005,0.24918259065650625,0.05438746177270448,0.11120106099308187,0.4330262093593721,0.059742746206908955,0.017072532217537264,0.04432017340254199,0.12296723886874772,0.9635839629394084
47019,0.08770249362166585,0.014179825937216659,0.04141771634206518,0.15214139128067497,0.027424463000231263,0.008365762634458313,0.01683676354588085,0.060591482130555145,0.9961143365370065
48001,0.19513526954793106,0.07269075439766444,0.11994401054161626,0.32007695281034004,0.039506079611619734,0.015413589359204423,0.02814747305806622,0.0787369048685644,0.9606278840267592
49006,0.2566376932646573,0.10920688980145675,0.1703915793926843,0.41086310725769976,0.10751075759589551,0.04306229502534982,0.08051442413659148,0.2078639873345381,0.9427092220251139
