,39065,nn_m,nn_std
1993-02-04,0.105,0.104513820371928,0.0010167149135853284
1993-02-05,0.106,0.1056942539053692,0.001046684027679399
1993-02-06,0.10800000000000001,0.1063372002860976,0.000968494736996307
1993-02-07,0.109,0.10830866381829721,0.001602911332007098
1993-02-08,0.11,0.10867503409408147,0.0024044733077865864
1993-02-09,0.11,0.10972535016801328,0.0015020977858262903
1993-02-10,0.11,0.10906584122125712,0.001202252227434484
1993-02-11,0.109,0.10884700347000828,0.0010245353233925844
1993-02-12,0.10800000000000001,0.10809972295099099,0.0011449648751514245
1993-02-13,0.109,0.10749267419427219,0.000988542644391444
1993-02-14,0.11,0.10874368154953395,0.0009266807564516439
1993-02-15,0.11,0.10974270801310412,0.0008204580973061198
1993-02-16,0.11,0.10964634015441736,0.001166567086015624
1993-02-17,0.11,0.10956917840561475,0.0008593219572371935
1993-02-18,0.11,0.10941448565806491,0.000969197092649952
1993-02-19,0.11,0.109632325148687,0.0007400740139213547
1993-02-20,0.11,0.10966233984525649,0.0007918752322778141
1993-02-21,0.11,0.10973703571078772,0.000836936828862304
1993-02-22,0.11,0.10977234091037429,0.000806501109105566
1993-02-23,0.11,0.10973231426998986,0.0007896600492887733
1993-02-24,0.11,0.10972841344037472,0.0008454130265486625
1993-02-25,0.11,0.10931045920831023,0.00117167925794927
1993-02-26,0.11,0.10715733928868307,0.004413957804983213
1993-02-27,0.11,0.10903378234046116,0.0017623590707393888
1993-02-28,0.11,0.11047646997553585,0.004716079359145173
1993-03-01,0.11199999999999999,0.10956221280243424,0.0022015243984054873
1993-03-02,0.111,0.1114701538301438,0.0007747434244674922
1993-03-03,0.111,0.10978996435037518,0.0007231184857034229
1993-03-04,0.11,0.11020420354076858,0.0006923754927159275
1993-03-05,0.11,0.10892404060042829,0.0006710855098609888
1993-03-06,0.11,0.10922611049774425,0.0009966627068306042
1993-03-07,0.11,0.10903160999879215,0.0009630941613126407
1993-03-08,0.11,0.10869027612519007,0.0012527450198707945
1993-03-09,0.11,0.10864673180841822,0.0012244456007874597
1993-03-10,0.102,0.1083112604379021,0.0013162585563383942
1993-03-11,0.10099999999999999,0.09902409958235109,0.001297060659656147
1993-03-12,0.10099999999999999,0.10165400398425775,0.0016756184510343147
1993-03-13,0.10099999999999999,0.10171194877426099,0.0013077704276198531
1993-03-14,0.10099999999999999,0.10072411728587763,0.0012676959345955454
1993-03-15,0.10099999999999999,0.10138023535034252,0.0011746747739425373
1993-03-16,0.10099999999999999,0.10053437571983348,0.0014435764715707612
1993-03-17,0.10099999999999999,0.1007762192528727,0.001620210212684503
1993-03-18,0.10099999999999999,0.10140401069946738,0.0011151645243377382
1993-03-19,0.10099999999999999,0.1012318425413156,0.0010918400333345681
1993-03-20,0.10099999999999999,0.10098587468411013,0.0012981631855393527
1993-03-21,0.10099999999999999,0.10383184565360586,0.00426521075678896
1993-03-22,0.10099999999999999,0.09618442532741014,0.0073643849512640275
1993-03-23,0.10099999999999999,0.10179290767585959,0.002147166954508797
1993-03-24,0.099,0.09434736204977273,0.005108111089887969
1993-03-25,0.099,0.09797492600846482,0.002001810033664159
1993-03-26,0.10099999999999999,0.09998690411486104,0.0012082929228065537
1993-03-27,0.10099999999999999,0.10166620643351355,0.0009900461866144217
1993-03-28,0.1,0.10077630289457881,0.0010818286996083677
1993-03-29,0.099,0.10016270132569173,0.0010668255263399733
1993-03-30,0.099,0.09913840936097258,0.0015748933329878467
1993-03-31,0.099,0.1004541337308248,0.007941287171618617
1993-04-01,0.10099999999999999,0.0997939492975209,0.004684638281421257
1993-04-02,0.099,0.08951125194918705,0.018490935729609075
1993-04-07,0.094,0.09497303584478155,0.005271163479745764
1993-04-08,0.087,0.08994207012241776,0.006445878801237091
1993-04-09,0.08900000000000001,0.08965067774961172,0.006293444432308626
1993-04-10,0.087,0.08666001853490932,0.009134981563661581
1993-04-11,0.087,0.08347615256150459,0.007243576769920766
1993-04-12,0.087,0.08000278308370873,0.017065539259522162
1993-04-13,0.087,0.08707514499287619,0.0015126436642630137
1993-04-14,0.086,0.08636839433295725,0.001308599984348212
1993-04-15,0.085,0.08494767093842474,0.0029090074314361723
1993-04-16,0.085,0.08510007789593955,0.001235115729025515
1993-04-17,0.085,0.08465475808755103,0.0008500128234317472
1993-04-18,0.085,0.08411608277884455,0.0011761578856921407
1993-04-19,0.085,0.08416538304602932,0.0010660336995031384
1993-04-20,0.085,0.08452481309418211,0.0007278022583876401
1993-04-21,0.085,0.08422263174474869,0.0007194614541967857
1993-04-22,0.083,0.08505054461778229,0.0007570193092657001
1993-04-23,0.084,0.0833259478864951,0.0028799817598232063
1993-04-24,0.08199999999999999,0.08083897404566434,0.005498969956831612
1993-04-25,0.08199999999999999,0.08104321797768008,0.002360762508931125
1993-04-26,0.08,0.07855463271405795,0.004129476025122755
1993-04-27,0.08,0.07924763114217193,0.0012742433418980632
1993-04-28,0.08,0.07932149192447219,0.0014915813620075347
1993-04-29,0.08,0.08051082912970972,0.002259099592355091
1993-04-30,0.078,0.0798715970905871,0.0007226159073598646
1993-05-01,0.08,0.07755186751606663,0.001062329373221955
1993-05-02,0.077,0.07983300628888416,0.0007139067584298513
1993-05-03,0.077,0.07666215051758185,0.0012281725817465331
1993-05-04,0.077,0.07637849355982926,0.0007890295469262409
1993-05-05,0.078,0.07637922685882903,0.0007435760967713955
1993-05-06,0.076,0.077408313771727,0.0007007005623237648
1993-05-07,0.076,0.07486736501587767,0.0007090984016106536
1993-05-08,0.076,0.07493221387073032,0.0009808297761820703
1993-05-09,0.076,0.07666835275639816,0.002553694874424162
1993-05-10,0.076,0.0742557738360097,0.004654723517706927
1993-05-11,0.071,0.07288049368172289,0.004166286939107299
1993-05-12,0.068,0.07168902896475315,0.005397480687387188
1993-05-13,0.069,0.06743839622858432,0.0013965020280958967
1993-05-14,0.069,0.06918652034020634,0.002565013127024537
1993-05-20,0.07400000000000001,0.07660292188602566,0.00761838085211097
1993-05-21,0.073,0.06966813396764243,0.00975114741776026
1993-05-22,0.07,0.07012942720151204,0.004075859729754258
1993-05-23,0.07,0.06966563889314145,0.005539448364752074
1993-05-24,0.07,0.06931186043614156,0.000644293190038117
1993-05-25,0.07,0.0719327625775126,0.0023233078372461285
1993-05-26,0.071,0.06795165931800809,0.018154393926920594
1993-05-27,0.07,0.06540762365994213,0.010511459824158692
1993-05-28,0.07,0.06726066252041454,0.004615395418018814
1993-05-29,0.07,0.07142067967873937,0.006271069521092785
1993-05-30,0.07,0.06409136087528737,0.011669291084971431
1993-05-31,0.068,0.07256253438290741,0.010572624805500749
1993-06-01,0.068,0.0655643507996254,0.016764302204225676
1993-06-02,0.068,0.07308529935863561,0.006524328971972652
1993-06-03,0.068,0.06553622342553507,0.005451963136666038
1993-06-04,0.066,0.07005335136113801,0.006956705104340782
1993-06-05,0.066,0.0655560941471885,0.0015678706899173267
1993-06-06,0.066,0.06595035026312189,0.0012020876788665321
1993-06-07,0.066,0.06641731680937477,0.0009497751333079289
1993-06-08,0.066,0.06645432906781178,0.001180237342773684
1993-06-09,0.066,0.06565574457050524,0.0016528657477425175
1993-06-10,0.067,0.06388077358331663,0.01416574532762614
1993-06-11,0.067,0.06948454993266608,0.01592807222337832
1993-06-16,0.065,0.060158591137513324,0.008218395137837599
1993-06-17,0.064,0.06456529369742135,0.0014916689803809303
1993-06-18,0.064,0.06348004205292852,0.006603268113029491
1993-06-19,0.063,0.06295706686546897,0.0020776521957600125
1993-06-20,0.065,0.0639225040396408,0.0011383416602456242
1993-06-21,0.064,0.06357346404076047,0.0012778576708355163
1993-06-22,0.064,0.06473503520545823,0.0009669831635676115
1993-06-23,0.064,0.06488228477074387,0.0012897816228575833
1993-08-05,0.05,0.04962660652059462,0.001977981354135124
1993-08-12,0.048,0.04771987578581568,0.002723588861023551
1993-08-19,0.048,0.04758506067106694,0.0003499923102675111
1993-08-26,0.044000000000000004,0.04409183699354738,0.0009026263351642549
1993-08-27,0.044000000000000004,0.04385049369799653,0.0002942155499509376
1993-08-28,0.044000000000000004,0.043699120219986946,0.00040095301379171924
1993-08-29,0.044000000000000004,0.04370342387551377,0.0006098824188635262
1993-08-30,0.044000000000000004,0.043610451329682866,0.0007270192067084286
