,0,1,2,3,4,5,6,7,8,9
1993-02-04,0.104964346,0.10349222,0.10562791,0.104172066,0.10605518,0.10316047,0.10590823,0.10336546,0.10393179,0.10434253
1993-02-05,0.10566315,0.10476649,0.10653472,0.10531206,0.10738016,0.10502383,0.10754322,0.10414877,0.1055599,0.10499662
1993-02-06,0.10527862,0.10624287,0.106745556,0.10642219,0.10805605,0.105384305,0.107830025,0.105066836,0.105684906,0.10677217
1993-02-07,0.10606771,0.10804953,0.11084831,0.10819759,0.10888584,0.10784663,0.10982178,0.10523757,0.108800806,0.10949083
1993-02-08,0.10624037,0.10756189,0.113591135,0.108890325,0.108301066,0.10787614,0.109959416,0.10430755,0.10976607,0.110304445
1993-02-09,0.106873706,0.109152116,0.1106658,0.1097311,0.111423254,0.11036079,0.11236892,0.1082721,0.10937595,0.109552994
1993-02-10,0.10810496,0.10797883,0.109954,0.108238004,0.111434594,0.10921161,0.11064835,0.10784523,0.1094959,0.10797129
1993-02-11,0.10684456,0.10838127,0.109043404,0.10832972,0.1100397,0.10798305,0.11017984,0.10880152,0.109503075,0.1099656
1993-02-12,0.10631606,0.1070963,0.10998951,0.10759147,0.10740744,0.10932273,0.10859971,0.10774826,0.109509915,0.107828625
1993-02-13,0.10512215,0.10713066,0.108938694,0.10733541,0.10774237,0.10754153,0.10819118,0.10761858,0.10798235,0.107760586
1993-02-14,0.107653946,0.10847457,0.110751286,0.10849283,0.108829565,0.10765131,0.109503776,0.10852206,0.10951519,0.10806696
1993-02-15,0.10895631,0.10957442,0.1113379,0.10883383,0.11000832,0.108899385,0.11076773,0.10900534,0.11002466,0.11006125
1993-02-16,0.10913916,0.110461056,0.11219612,0.10890419,0.10949505,0.10802555,0.10972724,0.10988248,0.11010999,0.1081036
1993-02-17,0.10810723,0.109184094,0.111340225,0.109305024,0.10984774,0.1090993,0.110355385,0.10963641,0.10994667,0.109029
1993-02-18,0.1082345,0.11020923,0.111104205,0.10885323,0.10975573,0.108333364,0.11019562,0.10984213,0.10939987,0.1080547
1993-02-19,0.10860892,0.110256985,0.11080067,0.10918891,0.10965,0.108483985,0.10988902,0.109086454,0.11025834,0.110084444
1993-02-20,0.10855474,0.11038194,0.110883966,0.10932318,0.10947207,0.108242065,0.10997734,0.1094776,0.11019098,0.11010749
1993-02-21,0.10861426,0.11046733,0.11110279,0.109354965,0.10970062,0.10816844,0.11005198,0.109876834,0.110307366,0.10968127
1993-02-22,0.10887451,0.110776395,0.11046794,0.10900488,0.10975786,0.108442366,0.11006624,0.10964495,0.11104868,0.10961547
1993-02-23,0.10886456,0.110874586,0.11045137,0.108942896,0.10969312,0.1085124,0.110207096,0.10943531,0.11073863,0.10952637
1993-02-24,0.1088886,0.11088574,0.11041108,0.10906706,0.10930724,0.108353406,0.11014308,0.10976303,0.11104441,0.10936065
1993-02-25,0.1077129,0.1098131,0.10720399,0.10865869,0.10947925,0.11048335,0.10989564,0.10955253,0.1112185,0.10977185
1993-02-26,0.11104755,0.109721094,0.10951826,0.09834284,0.109099515,0.09941483,0.10889946,0.104425624,0.109539405,0.1104798
1993-02-27,0.10798537,0.109633975,0.11141947,0.11122576,0.1095048,0.110285625,0.107209615,0.10564032,0.109544665,0.10728182
1993-02-28,0.11064291,0.1050688,0.121709615,0.109359704,0.11158478,0.10766278,0.111397184,0.10401754,0.11049303,0.11221806
1993-03-01,0.11089513,0.11029611,0.11259799,0.10831856,0.106944986,0.111626595,0.11030792,0.105383195,0.11107601,0.107248284
1993-03-02,0.11185095,0.111543246,0.11208591,0.110905744,0.11034521,0.11144328,0.11313412,0.110405974,0.111782834,0.11107022
1993-03-03,0.10989692,0.110363595,0.10985662,0.10912836,0.109762676,0.10906832,0.11104432,0.109172165,0.11080715,0.108670786
1993-03-04,0.10988215,0.110355884,0.1106004,0.10987601,0.10963886,0.10991271,0.11215698,0.11004309,0.110015325,0.10957312
1993-03-05,0.108696915,0.109291315,0.10893023,0.108246095,0.108523756,0.10852069,0.11065235,0.10886205,0.109390244,0.108161226
1993-03-06,0.10879478,0.110079676,0.11010128,0.10813653,0.10817894,0.109361336,0.11150608,0.1085441,0.10870705,0.10870936
1993-03-07,0.10897521,0.10984919,0.10952462,0.10802912,0.10812207,0.108985186,0.1113232,0.10786347,0.108983606,0.108488284
1993-03-08,0.10856071,0.10984093,0.10932408,0.10813863,0.10747598,0.10847713,0.111667015,0.106853575,0.10820283,0.10806892
