date,0,1,2,3,4,5,6,7,8,9
1995-12-04,1.1247679,1.0281732,1.050436,1.0334123,1.0766037,1.0386243,1.156944,1.0623958,1.0725774,1.0345911
1995-12-05,0.9739551,0.82492965,0.88307285,0.8142878,0.8656617,0.85179806,0.89954925,0.82376635,0.8450496,0.7535002
1995-12-06,0.9955729,0.84742665,0.8095729,0.7722304,0.7904593,0.85078835,0.82898134,0.79622674,0.87974155,0.76575047
1995-12-07,0.9491375,0.83334535,0.7764984,0.75031316,0.79697603,0.83448756,0.8632527,0.77525634,0.83054197,0.76393753
1995-12-08,0.85842246,0.75721127,0.7355482,0.71032214,0.77245396,0.77783525,0.82858,0.7291028,0.7591467,0.7269048
1995-12-09,0.7461081,0.64869815,0.6568033,0.6088098,0.6900399,0.68626034,0.723208,0.6458865,0.64539325,0.64165074
1995-12-10,0.69059485,0.6331189,0.63859457,0.5624939,0.64860874,0.6559583,0.69030625,0.62220305,0.6161165,0.63951945
1995-12-11,0.6695642,0.65218014,0.63623196,0.60115063,0.6752241,0.654704,0.71410173,0.61806405,0.6368091,0.6520234
1995-12-12,0.6728751,0.6773398,0.6465485,0.61460793,0.70189565,0.69831824,0.7482613,0.68156546,0.65457666,0.7083773
1995-12-13,0.6568333,0.6305741,0.6307187,0.572807,0.64437103,0.6606568,0.6811315,0.62953544,0.6067623,0.64750457
1995-12-14,0.6491979,0.64645016,0.6543826,0.59796286,0.6491972,0.67634296,0.6978206,0.66141915,0.6054882,0.67499775
1995-12-15,0.6121878,0.60414696,0.63122874,0.58724844,0.63671356,0.6465105,0.657879,0.6179727,0.5850909,0.6331735
1995-12-16,0.6008547,0.60458475,0.6309573,0.5670761,0.6067413,0.64291644,0.6612857,0.6187724,0.5586694,0.6190569
1995-12-17,0.6689848,0.6882287,0.71107405,0.63574207,0.7125265,0.6928614,0.7124031,0.6927655,0.66657144,0.72010905
1995-12-18,0.6287522,0.6213494,0.67023295,0.708514,0.7374052,0.6761569,0.7281648,0.6683571,0.6540734,0.67784613
1995-12-19,4.7265687,4.418202,3.916941,4.0992846,4.2357163,3.9127827,4.8501177,4.0360723,4.2763476,4.409166
1995-12-20,12.176563,10.054975,12.215722,13.259402,13.652785,10.679986,10.018539,11.135855,12.612926,10.785597
1995-12-21,8.950993,12.070556,6.812629,4.6933084,7.287119,7.1474247,10.630769,4.74355,7.8883786,5.81275
1995-12-22,21.927988,22.825066,23.617537,26.688515,22.289173,23.991512,24.3874,23.043118,22.230692,21.937086
1995-12-23,14.231552,11.406211,14.394149,14.12998,13.304801,15.105379,12.543839,14.715347,14.430291,15.383555
1995-12-24,5.691803,5.5735507,6.1447296,8.105256,5.522029,7.1482253,7.2593865,6.770233,7.6982284,7.9048247
1995-12-25,3.4018018,3.4868448,3.6818213,3.4824917,2.8897932,3.3505633,3.9886327,4.579293,4.026546,5.76363
1995-12-26,1.4552761,2.0115924,1.0991256,1.3484863,1.2742021,1.1550827,1.3368654,0.70153356,0.90965027,1.5286474
1995-12-27,1.3011403,0.74954015,0.9454505,0.6742333,1.029255,1.6499708,1.117837,0.38434175,0.010017589,0.78581876
1995-12-28,1.5379256,1.3856388,1.5254049,0.49201563,1.116117,1.8310561,0.938296,0.65993965,0.80652845,0.9052397
1995-12-29,1.3845677,1.4235625,1.3503458,0.32336894,1.1021538,1.285626,0.59471947,1.1625049,0.8309661,0.7170896
1995-12-30,1.5148065,1.2827784,1.7831771,1.5163971,1.428925,1.8186964,1.5218185,1.962307,1.4705774,1.3239589
1995-12-31,1.4495306,2.0695817,1.2892797,1.6963202,1.9509172,1.7526611,1.9715209,1.7255764,1.573178,1.3902744
1996-01-01,2.3237011,3.0997536,2.1405342,2.6078248,2.7364955,2.3700979,2.854785,2.757756,2.608214,2.4704924
1996-01-02,2.4545047,2.8536248,2.1242518,2.304354,2.5307083,2.4568162,2.5729773,2.779407,2.5945969,2.2666647
1996-01-03,3.0422432,3.2765675,2.788302,2.8049362,2.8072653,2.8813548,2.905196,3.1318665,3.0115,2.8037398
1996-01-04,4.202213,3.955011,3.7153337,4.00109,3.7270496,4.1668024,4.0034103,4.336384,4.195372,3.979218
1996-01-05,4.7951875,4.524624,4.1762834,4.4009085,3.9187276,4.8015614,4.544554,4.7801895,4.6236854,4.41125
1996-01-06,6.983459,7.997912,6.5971055,7.74184,6.5374155,7.310573,7.4183297,6.745319,6.973415,6.5898323
1996-01-07,8.648549,8.653133,7.941665,9.043973,7.835567,9.444482,8.271954,8.531737,7.979369,8.895044
1996-01-08,9.83978,10.476253,8.1449795,8.787856,8.222774,9.166238,8.408734,8.727787,9.057762,9.185869
1996-01-09,15.032923,12.957836,14.288842,14.550679,14.351352,15.575657,13.5236635,14.9099045,14.431309,16.27923
1996-01-10,5.393372,6.447655,4.319327,5.9473224,4.617841,6.0189667,6.387902,5.555193,6.2582974,5.794841
1996-01-11,6.4391737,7.7805877,6.2335405,6.397914,5.6849947,5.818287,5.5795116,7.050693,6.0537314,7.2758913
1996-01-12,10.109163,10.854754,9.83973,10.1928835,10.833152,9.905667,12.119882,9.751745,9.569107,10.235011
1996-01-13,7.7860565,8.73739,7.502812,7.693816,8.91206,7.963177,6.9157157,7.89609,6.731112,7.8572216
1996-01-14,4.545378,5.1825557,3.3543284,4.3011837,4.483005,4.7628865,5.1495795,4.0460463,4.902871,5.149781
1996-01-15,4.201699,3.5979555,3.1765492,3.7150757,3.0796623,3.7230875,3.6008492,3.3562293,3.5920942,3.9164975
1996-01-16,3.5639722,3.36826,3.2826633,2.8709896,2.9323516,3.3514855,3.6752431,2.999619,2.8959584,3.3475204
1996-01-17,2.9252388,2.5945866,2.8447616,2.657768,2.4990966,2.403002,3.2297409,2.6581516,2.6688347,2.6563354
1996-01-18,2.4415586,2.1029747,2.3902104,2.513664,2.1365194,2.2025774,2.6654234,2.3160868,2.4904573,2.4452274
1996-01-19,2.2370749,2.278686,2.000912,2.3767598,2.3020096,2.116663,2.4306638,2.2809515,2.3676944,2.3667264
1996-01-20,2.2162368,2.248855,1.8580327,2.0586936,2.1951299,1.9495158,2.1759105,2.0777438,2.1301541,2.0729456
1996-01-21,2.01457,2.0072923,1.5132933,1.6878831,1.9264238,1.7401278,1.912955,1.8312272,1.7535886,1.7066092
1996-01-22,1.9053082,2.1090734,1.4800525,1.6187953,1.9007878,1.6568847,1.8680375,1.7461017,1.65229,1.5879213
1996-01-23,2.1934469,2.417376,1.8919425,1.7539725,2.103826,1.78707,2.0513031,2.0027423,2.03849,1.9028127
1996-01-24,1.7901521,2.3545327,1.746362,1.7484099,2.1194606,1.8203669,2.0096817,1.9750118,1.9413496,1.8507807
1996-01-25,1.636415,1.998608,1.586837,1.4914618,1.8655558,1.6554933,1.8331972,1.7720809,1.6542544,1.5564848
1996-01-26,1.5241225,1.7287191,1.5884233,1.2746948,1.57106,1.4354045,1.4727426,1.4660295,1.4021639,1.2061137
1996-01-27,1.5638597,1.8717911,1.6472647,1.4041102,1.5731952,1.4852535,1.5447276,1.6397656,1.4739017,1.4465237
1996-01-28,1.4718319,1.6275784,1.5380602,1.4215945,1.6252593,1.4560196,1.4827797,1.5946887,1.4110936,1.4186978
1996-01-29,1.5182625,1.4746284,1.4290552,1.4827242,1.5688965,1.4008703,1.453465,1.5656588,1.3589066,1.3739259
1996-01-30,1.4944115,1.4034597,1.3750257,1.431866,1.4864414,1.3589175,1.3904153,1.4461895,1.3324008,1.2916536
1996-01-31,1.5275396,1.4310528,1.4432187,1.4327937,1.375391,1.3856753,1.3933824,1.442725,1.3384851,1.3076491
1996-02-01,1.671799,1.511144,1.5971851,1.5119063,1.3912847,1.4534935,1.4205015,1.5228176,1.4519521,1.3930831
1996-02-02,1.4736283,1.3966315,1.439606,1.421738,1.207563,1.409226,1.3595889,1.3927472,1.3476368,1.2816551
1996-02-03,1.5266349,1.4121569,1.4481616,1.3970095,1.109773,1.3975778,1.2578073,1.3767453,1.2814143,1.2748072
1996-02-04,1.5206923,1.4193784,1.4712486,1.3677803,1.1204054,1.3640043,1.1840687,1.3500144,1.2621267,1.2543688
1996-02-05,1.5804865,1.5249237,1.4629712,1.3791317,1.142096,1.3940783,1.257154,1.4616472,1.3313017,1.3765471
1996-02-06,1.7891341,1.6507384,1.6530542,1.5326251,1.3148184,1.5190896,1.3936647,1.6206591,1.5474368,1.5853753
1996-02-07,1.5531666,1.391622,1.4408693,1.3174824,1.0858138,1.3386226,1.2268177,1.39641,1.2890376,1.3575131
1996-02-08,1.5505896,1.4438825,1.4720597,1.2518605,0.99885243,1.2681421,1.1414417,1.3415992,1.2039984,1.3408589
1996-02-09,9.974231,9.672779,9.673932,11.071547,10.82632,9.108256,9.069655,10.348333,10.722538,8.171322
1996-02-10,15.184672,11.758153,11.676885,11.35851,11.959361,12.018249,10.363208,11.903955,12.314241,11.392562
1996-02-11,8.273491,10.326584,8.0370245,5.889781,7.4803667,7.575408,9.266028,6.1623626,8.178686,6.472705
1996-02-12,10.978676,9.376989,16.122814,15.072854,12.174245,12.769958,10.463592,13.257839,13.216732,12.736018
1996-02-13,4.3066254,3.6263614,6.207388,5.440682,4.2325163,4.4343204,4.9678144,6.1847973,5.49189,5.009562
1996-02-14,3.0488043,2.8336573,3.8722312,2.9795787,2.7347946,2.5487792,3.056542,3.6323214,2.9014304,3.201245
1996-02-15,2.272834,3.239018,2.416326,2.3755324,2.877871,2.778779,2.5042443,3.4310393,2.723582,3.041178
1996-02-16,1.7040323,2.1726177,2.1445105,2.1452157,2.245818,1.9199922,2.4631023,2.4504144,2.2975914,2.4935722
1996-02-17,2.5655391,2.4597826,2.531367,2.3783786,2.7801237,2.6386013,1.8878915,2.695362,2.474145,2.7660065
1996-02-18,2.6639807,2.9058778,2.616933,2.1649268,3.3710637,2.7414396,2.8828936,2.924473,2.3338923,2.7115831
1996-02-19,2.2348971,2.5310676,2.484969,2.1415083,2.8585773,2.4771278,2.553462,2.8123913,2.359601,2.8675358
1996-02-20,0.7829221,1.1172947,0.51299167,0.8818867,1.3255525,1.0046531,1.2420588,0.9669287,1.0502368,1.0009742
1996-02-21,1.5168469,2.0548701,1.1609569,1.6703951,1.6721283,1.0638764,1.2129995,1.722457,0.87672746,1.3507848
1996-02-22,2.1773627,1.9972731,2.4033926,2.2452774,1.9938872,1.9548255,2.2796545,2.14551,2.1011114,2.1068006
1996-02-23,2.5956361,2.0013669,2.6475265,2.701193,2.4170744,2.4692895,2.2060747,2.5152361,2.2754483,2.7090049
1996-02-24,4.4137015,4.0429544,4.303187,4.7927804,4.075538,4.772008,4.147575,4.0915565,4.6317525,4.8202906
1996-02-25,5.387357,4.388286,5.5691285,4.670043,5.089656,5.8392687,5.450169,5.4962254,5.586528,6.2528334
1996-02-26,3.7207108,2.903522,3.7736516,2.6983557,3.2386878,2.8963003,3.317943,3.32976,3.3673823,3.5838053
1996-02-27,2.1947916,3.274375,1.7127743,1.5652395,2.1777039,1.4965694,2.1799202,2.2369561,1.7450373,1.8895624
1996-02-28,2.300629,3.0678527,2.2118561,2.2017624,2.4901338,2.236692,2.5499423,2.8410025,2.3562355,2.5025024
1996-02-29,2.1787767,2.050598,2.2173452,2.3218644,2.132846,2.066767,2.3357108,2.379279,2.1261714,2.3049357
1996-03-01,1.9633331,1.8303809,2.1512196,2.1306286,2.2455878,1.8752435,2.0823658,1.9267628,1.8544778,1.9548049
1996-03-02,1.996813,1.9458045,2.1671646,2.1823657,2.0267522,2.2341146,2.135197,2.1347418,2.1263373,2.087532
1996-03-03,1.8275291,2.2518091,2.004288,2.054668,2.1178617,2.1312263,1.9731394,2.0088089,2.064901,2.0231514
1996-03-04,1.650639,2.0693698,1.5476124,1.7964201,1.9419167,1.658571,1.8734136,1.7599003,1.7615566,1.6828251
1996-03-05,1.6869936,1.8998454,1.6958296,1.6226968,1.8536727,1.5020206,1.7311006,1.6722417,1.7618791,1.5888312
1996-03-06,1.6666777,1.7640184,1.728353,1.5195974,1.7205943,1.43312,1.5661913,1.6123537,1.6337069,1.5884527
1996-03-07,1.5858288,1.6359695,1.6445122,1.5353929,1.6494331,1.3878022,1.5639172,1.60332,1.5129801,1.5936267
1996-03-08,2.0476289,1.7896832,2.0166702,1.813903,1.8820144,1.6205494,1.7964811,1.9314449,1.811145,2.0343308
1996-03-09,1.60923,1.6829718,1.537749,1.7322905,1.8125739,1.5257703,1.857192,1.6772833,1.6983083,1.7578099
1996-03-10,1.2491386,1.3304482,1.2039359,1.37856,1.3888466,1.3170644,1.4404249,1.3024582,1.141452,1.2503563
1996-03-11,2.2011657,1.9238557,2.3037229,1.9387165,1.9245763,1.6925844,1.6956778,1.9474306,1.908012,1.9758235
1996-03-12,4.29125,3.8804545,3.9217339,4.161785,3.9590425,3.9584076,3.805014,4.1618137,4.9908214,4.409233
1996-03-13,2.3353207,1.6850026,2.5304675,2.3389611,2.3325782,3.355186,2.4927216,2.1539273,3.0040033,3.526525
1996-03-14,2.236214,2.6806614,2.143674,1.6269555,2.3308597,2.1858172,1.4445945,2.3121796,2.0132027,1.6979437
1996-03-15,2.8188424,3.2397685,2.6158385,2.7678506,3.128518,2.4864547,2.7678425,3.0045984,2.7781234,3.022385
