,orig
2018-07-29,1.41
2018-07-30,1.07
2018-07-31,0.905
2018-08-01,0.711
2018-08-02,0.65
2018-08-03,0.625
2018-08-04,0.595
2018-08-05,0.569
2018-08-06,0.551
2018-08-07,0.539
2018-08-08,0.55
2018-08-09,0.626
2018-08-10,0.564
2018-08-11,0.731
2018-08-12,1.86
2018-08-13,1.3
2018-08-14,0.848
2018-08-15,0.734
2018-08-16,1.13
2018-08-17,0.942
2018-08-18,0.732
2018-08-19,0.676
2018-08-20,0.658
2018-08-21,0.633
2018-08-22,0.613
2018-08-23,0.598
2018-08-24,0.603
2018-08-25,0.694
2018-08-26,0.8
2018-08-27,1.12
2018-08-28,0.742
2018-08-29,0.653
2018-08-30,0.623
2018-08-31,0.595
2018-09-01,0.581
2018-09-02,0.566
2018-09-03,0.555
2018-09-04,0.563
2018-09-05,0.555
2018-09-06,0.544
2018-09-07,0.556
2018-09-08,0.552
2018-09-09,0.539
2018-09-10,0.522
2018-09-11,0.528
2018-09-12,0.555
2018-09-13,0.548
2018-09-14,0.531
2018-09-15,0.521
2018-09-16,0.531
2018-09-17,0.574
2018-09-18,0.642
2018-09-19,0.731
2018-09-20,2.32
2018-09-21,3.03
2018-09-22,3.08
2018-09-23,3.52
2018-09-24,1.47
2018-09-25,1.05
2018-09-26,0.915
2018-09-27,0.836
2018-09-28,0.788
2018-09-29,0.768
2018-09-30,0.75
2018-10-01,0.727
2018-10-02,0.719
2018-10-03,0.728
2018-10-04,0.71
2018-10-05,0.705
2018-10-06,0.717
2018-10-07,0.703
2018-10-08,0.684
2018-10-09,0.671
2018-10-10,0.689
2018-10-11,0.872
2018-10-12,16.1
2018-10-13,13.0
2018-10-14,6.75
2018-10-15,3.52
2018-10-16,2.56
2018-10-17,2.17
2018-10-18,1.86
2018-10-19,1.65
2018-10-20,1.5
2018-10-21,1.4
2018-10-22,1.29
2018-10-23,1.24
2018-10-24,1.2
2018-10-25,1.17
2018-10-26,1.18
2018-10-27,1.21
2018-10-28,1.17
2018-10-29,1.1
2018-10-30,1.07
2018-10-31,1.24
2018-11-01,2.14
2018-11-02,1.38
2018-11-03,1.26
2018-11-04,4.09
2018-11-05,2.73
2018-11-06,5.38
2018-11-07,13.0
2018-11-08,6.73
2018-11-10,19.8
2018-11-11,12.3
2018-11-12,10.4
2018-11-13,8.46
2018-11-14,6.77
2018-11-15,5.79
2018-11-16,5.09
2018-11-17,4.58
2018-11-18,3.98
2018-11-19,3.59
2018-11-20,3.31
2018-11-21,3.07
2018-11-22,2.91
2018-11-24,24.1
2018-11-25,13.3
2018-11-26,9.5
2018-11-27,26.9
2018-11-28,25.7
2018-11-29,45.1
2018-11-30,21.2
2018-12-01,24.1
2018-12-02,23.2
2018-12-03,17.6
2018-12-04,13.5
2018-12-05,17.8
2018-12-06,14.4
2018-12-07,25.5
2018-12-08,20.6
2018-12-09,22.0
2018-12-10,15.5
2018-12-11,13.2
2018-12-12,12.9
2018-12-13,10.5
2018-12-14,9.26
2018-12-15,27.9
2018-12-16,18.3
2018-12-17,14.3
2018-12-18,26.6
2018-12-19,20.2
2018-12-20,17.1
2018-12-21,18.5
2018-12-22,14.2
2018-12-23,17.4
2018-12-24,15.7
2018-12-25,13.1
2018-12-26,11.5
2018-12-27,10.2
2018-12-28,9.01
2018-12-29,8.19
2018-12-30,7.22
2018-12-31,6.59
2019-01-01,5.94
2019-01-02,5.32
2019-01-03,4.86
2019-01-04,4.49
2019-01-05,4.15
2019-01-06,3.88
2019-01-07,3.82
2019-01-08,3.33
2019-01-09,3.09
2019-01-10,2.96
2019-01-11,2.89
2019-01-12,2.92
2019-01-13,2.89
2019-01-14,2.48
2019-01-15,2.44
2019-01-16,2.9
2019-01-17,3.02
2019-01-18,4.85
2019-01-19,4.37
2019-01-20,3.0
2019-01-21,2.95
2019-01-22,4.08
2019-01-23,3.46
2019-01-24,3.11
2019-01-25,3.54
2019-01-26,4.74
2019-01-27,6.76
2019-01-28,4.05
2019-01-29,4.45
2019-01-30,4.85
2019-01-31,6.55
2019-02-01,6.15
2019-02-02,5.26
2019-02-03,5.73
2019-02-04,16.1
2019-02-05,10.8
2019-02-06,11.9
2019-02-07,12.2
2019-02-08,21.6
2019-02-09,15.7
2019-02-10,19.4
2019-02-11,12.4
2019-02-12,10.5
2019-02-13,9.16
2019-02-14,8.06
2019-02-15,7.31
2019-02-16,6.58
2019-02-17,6.05
2019-02-18,5.5
2019-02-19,4.94
2019-02-20,4.55
2019-02-21,4.04
2019-02-22,3.59
2019-02-23,3.44
2019-02-24,3.2
2019-02-25,2.98
2019-02-26,2.83
2019-02-27,2.75
2019-02-28,3.36
2019-03-01,3.38
2019-03-02,4.32
2019-03-03,9.96
2019-03-04,5.52
2019-03-06,25.8
2019-03-07,12.4
2019-03-08,9.62
2019-03-09,8.93
2019-03-10,9.16
2019-03-11,7.47
2019-03-12,21.8
2019-03-13,11.0
2019-03-14,16.6
2019-03-15,14.1
2019-03-16,14.2
2019-03-17,11.1
2019-03-18,9.14
2019-03-19,8.15
2019-03-20,7.16
2019-03-21,6.53
2019-03-22,5.96
2019-03-23,5.52
2019-03-24,5.06
2019-03-25,4.46
2019-03-26,4.08
2019-03-27,3.77
2019-03-28,3.53
2019-03-29,3.33
2019-03-30,3.15
2019-03-31,2.97
2019-04-01,2.84
2019-04-02,3.0
2019-04-03,3.01
2019-04-04,4.4
2019-04-05,11.2
2019-04-06,7.88
2019-04-07,4.56
2019-04-08,3.8
2019-04-09,3.54
2019-04-10,3.34
2019-04-11,2.99
2019-04-12,2.79
2019-04-13,2.64
2019-04-14,2.53
2019-04-15,2.54
2019-04-16,2.73
2019-04-17,2.4
2019-04-18,2.22
2019-04-19,2.06
2019-04-20,1.94
2019-04-21,1.89
2019-04-22,1.86
2019-04-23,1.82
2019-04-24,2.15
2019-04-25,2.28
2019-04-26,2.09
2019-04-27,2.16
2019-04-28,1.76
2019-04-29,1.76
2019-04-30,1.65
2019-06-04,0.883
2019-06-05,0.86
2019-06-06,0.821
2019-06-07,2.05
2019-06-08,3.37
2019-06-09,1.67
2019-06-10,5.43
2019-06-11,9.92
2019-06-12,4.4
2019-06-13,4.98
2019-06-14,3.23
2019-06-15,2.62
2019-06-16,2.22
2019-06-17,2.01
2019-06-18,1.89
2019-06-19,1.99
2019-06-20,1.7
2019-06-21,1.49
2019-06-22,1.36
2019-06-23,1.35
2019-06-24,1.32
2019-06-25,1.25
2019-06-26,1.2
2019-06-27,1.11
2019-06-28,1.02
2019-06-29,1.0
2019-06-30,0.97
2019-07-01,0.921
2019-07-02,0.892
2019-07-03,0.871
2019-07-04,0.851
2019-07-05,0.822
2019-07-06,0.809
