station,comb_nRMSE,<q70_nRMSE,q30-q70_nRMSE,>q30_nRMSE,comb_nSTD,<q70_nSTD,q30-q70_nSTD,>q30_nSTD,comb_NSE
33013,0.1906245051771415,0.04323516669302196,0.07993808110064597,0.33276118004897376,0.03627945246234708,0.011704937256588497,0.022147960858882553,0.0796918312420722,0.9731254499142
34010,0.413268018172248,0.02761163037649728,0.09198083839993276,0.7464889643662608,0.06411842875098471,0.015434708700509524,0.03620691306304514,0.15001131965506376,0.9471308015092049
34012,0.03722699215165416,0.030385027722461017,0.03491210153415273,0.04550941434979902,0.016973728976910917,0.010914631910877113,0.018872651273169026,0.02050092964793362,0.9957448939628335
34018,0.25639396764252503,0.25610571712307856,0.14841040761228208,0.35236198871881697,0.058696347723343145,0.024775323373278004,0.047479122327637825,0.10756381278237283,0.9241582096403238
39056,0.6514166925560912,1.1599172091645205,0.09526742187094815,0.23931880917434933,0.22680546786523875,0.5711736816044399,0.051483485660295564,0.11631678747022244,0.7442281910830479
40017,0.4828262217954067,0.037912514671968406,0.08307235293688091,0.8753330996339895,0.08699068325079687,0.020898826019277884,0.04413224074934133,0.2101781926852772,0.9437874085853755
46005,0.29609544169549645,0.055215832613191705,0.1265397677134547,0.5175177555081993,0.04499196611103754,0.012929086690902711,0.03224739563462061,0.09404140338716976,0.9486249406406633
47019,0.11178898155469391,0.016586095707975167,0.046544548992074726,0.19619021322517274,0.020718977449541577,0.005471469896423364,0.012320677782948852,0.047161149961049906,0.9938575364196025
48001,0.16809219373283416,0.03527018791749376,0.0798940414635629,0.29054788002796644,0.03256106867227043,0.008948534319506537,0.02206636134183115,0.07015975549735554,0.9707590111530005
49006,0.2490336726940086,0.048204140970422346,0.12652430862611366,0.427717200964511,0.06415872946835344,0.018340881441310082,0.044577765755078234,0.13601970853685486,0.946052377439924
